image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_100417385_0000.tiff,37.4361,-15.8464,871.825,-66.8619,79.588,872.71,-100.303,99.3341,-7.65089,141.374,-0.0474164,-0.999753,0.0219467,-0.00284361,-0.00196528,0.112586
Basler_acA2040-35gm__23324651__20250619_100417385_0001.tiff,37.4423,-15.8711,871.805,-66.8597,79.5553,872.698,-100.309,99.3253,-7.65103,141.372,-0.0498509,-0.999751,0.0220247,-0.00313182,-0.00196395,0.0789859
Basler_acA2040-35gm__23324651__20250619_100417385_0002.tiff,37.4423,-15.8711,871.805,-66.8597,79.5553,872.698,-100.309,99.3253,-7.65103,141.372,-0.0498509,-0.999751,0.0220247,-0.00313182,-0.00196395,0.0889255
Basler_acA2040-35gm__23324651__20250619_100417385_0003.tiff,37.4532,-15.9436,871.834,-66.8558,79.4727,872.686,-100.3,99.3251,-7.73342,141.37,-0.0517049,-0.999759,0.0216894,-0.0028332,-0.00194802,0.0873734
Basler_acA2040-35gm__23324651__20250619_100417385_0004.tiff,37.4509,-15.934,871.812,-66.8551,79.4832,872.69,-100.298,99.325,-7.73642,141.368,-0.0531919,-0.999756,0.0218269,-0.00271075,-0.00196205,0.0744877
Basler_acA2040-35gm__23324651__20250619_100417385_0005.tiff,37.4419,-15.8785,871.808,-66.8591,79.5487,872.707,-100.305,99.3304,-7.62835,141.371,-0.049977,-0.999753,0.0219453,-0.00289775,-0.00194156,0.0947655
Basler_acA2040-35gm__23324651__20250619_100417385_0006.tiff,37.4456,-15.871,871.841,-66.8548,79.553,872.65,-100.299,99.3264,-7.70916,141.368,-0.0531777,-0.999761,0.0216322,-0.00234763,-0.00197137,0.0899115
Basler_acA2040-35gm__23324651__20250619_100417385_0007.tiff,37.4456,-15.871,871.841,-66.8548,79.553,872.65,-100.299,99.3264,-7.70916,141.368,-0.0531777,-0.999761,0.0216322,-0.00234763,-0.00197137,0.0659749
Basler_acA2040-35gm__23324651__20250619_100417385_0008.tiff,37.4568,-15.9272,871.811,-66.8585,79.4785,872.657,-100.303,99.3261,-7.63743,141.367,-0.0543198,-0.999756,0.0217979,-0.00293961,-0.00196018,0.0737488
Basler_acA2040-35gm__23324651__20250619_100417385_0009.tiff,-69.6867,75.5854,872.566,39.1811,-14.6068,871.919,99.8813,-99.978,3.91992,141.376,-0.0451298,0.999756,0.0219183,-0.00169056,-0.00202488,0.0679328
Basler_acA2040-35gm__23324651__20250619_100417385_0010.tiff,-69.6867,75.5854,872.566,39.1811,-14.6068,871.919,99.8813,-99.978,3.91992,141.376,-0.0451298,0.999756,0.0219183,-0.00169056,-0.00202488,0.0720341
Basler_acA2040-35gm__23324651__20250619_100417385_0011.tiff,39.6168,-14.1726,871.87,-70.6269,74.335,872.561,-100.313,99.3075,-7.94003,141.378,-0.0433185,-0.999745,0.0223855,-0.00218453,-0.00202668,0.0859663
Basler_acA2040-35gm__23324651__20250619_100417385_0012.tiff,40.3687,-13.2085,871.974,-72.0197,72.5608,872.441,-100.314,99.309,-7.91073,141.378,-0.0433695,-0.99977,0.0212866,-0.00160135,-0.00206353,0.0686242
Basler_acA2040-35gm__23324651__20250619_100417385_0013.tiff,42.7019,-11.7732,871.985,-73.5445,68.7003,872.376,-100.325,99.2929,-8.07974,141.384,-0.0375586,-0.999775,0.0210806,-0.00111621,-0.00209333,0.073895
Basler_acA2040-35gm__23324651__20250619_100417385_0014.tiff,-73.8897,68.2035,872.466,42.903,-11.4926,872.005,99.8926,-99.9914,3.92403,141.394,-0.0275415,0.99976,0.0217925,-0.000944768,-0.00215288,0.0662807
Basler_acA2040-35gm__23324651__20250619_100417385_0015.tiff,-73.8897,68.2035,872.466,42.903,-11.4926,872.005,99.8926,-99.9914,3.92403,141.394,-0.0275415,0.99976,0.0217925,-0.000944768,-0.00215288,0.10137
Basler_acA2040-35gm__23324651__20250619_100417385_0016.tiff,43.2911,-10.4856,872,-75.2053,66.6636,872.452,-100.333,99.3138,-7.97777,141.399,-0.022608,-0.999766,0.0215243,-0.00100228,-0.00209243,0.0631339
Basler_acA2040-35gm__23324651__20250619_100417385_0017.tiff,-78.1077,62.7436,872.285,44.092,-8.38607,872.008,99.8961,-99.9832,4.05082,141.394,-0.0272928,0.999766,0.0214876,-0.00136583,-0.0021646,0.0736472
Basler_acA2040-35gm__23324651__20250619_100417385_0018.tiff,-78.1077,62.7436,872.285,44.092,-8.38607,872.008,99.8961,-99.9832,4.05082,141.394,-0.0272928,0.999766,0.0214876,-0.00136583,-0.0021646,0.0667866
Basler_acA2040-35gm__23324651__20250619_100417385_0019.tiff,44.6177,-6.68639,872.114,-80.2155,59.7327,872.21,-100.347,99.2917,-8.15725,141.403,-0.0182415,-0.999765,0.0215538,-0.000798716,-0.00218629,0.0685762
Basler_acA2040-35gm__23324651__20250619_100417385_0020.tiff,45.7002,-3.18735,872.188,-83.686,53.8698,872.078,-100.363,99.2773,-8.22038,141.408,-0.0130696,-0.999768,0.0214291,-0.000829795,-0.00222931,0.0696613
Basler_acA2040-35gm__23324651__20250619_100417385_0021.tiff,-84.8939,51.0452,872.067,46.2319,-1.92325,872.229,99.9139,-100.006,3.95666,141.42,-0.00119445,0.999769,0.0213732,-0.000171678,-0.00229333,0.0699908
Basler_acA2040-35gm__23324651__20250619_100417385_0022.tiff,-84.8939,51.0452,872.067,46.2319,-1.92325,872.229,99.9139,-100.006,3.95666,141.42,-0.00119445,0.999769,0.0213732,-0.000171678,-0.00229333,0.0686491
Basler_acA2040-35gm__23324651__20250619_100417385_0023.tiff,46.3694,2.6416,872.308,-89.1408,43.1221,871.947,-100.377,99.297,-8.15081,141.428,0.00644278,0.999793,-0.0201894,-0.000288859,0.00234395,0.0693613
Basler_acA2040-35gm__23324651__20250619_100417385_0024.tiff,-91.2927,34.8828,871.751,47.1408,5.86651,872.434,99.924,-100.025,4.04992,141.443,0.0220838,-0.999773,-0.0211683,-0.000895824,0.00242533,0.0659931
