image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_100722158_0000.tiff,-57.2194,64.9063,874.7,51.2832,-26.0737,871.021,-100.203,99.9469,-5.80631,141.646,0.225027,0.999618,-0.00369492,-0.0273519,0.00171416,0.09622
Basler_acA2040-35gm__23324651__20250619_100722158_0001.tiff,-57.2174,64.8756,874.687,51.2908,-26.0998,871.013,-100.206,99.9434,-5.83526,141.648,0.226273,0.99962,-0.00422126,-0.0272028,0.00168825,0.117337
Basler_acA2040-35gm__23324651__20250619_100722158_0002.tiff,-57.2266,64.9277,874.708,51.2757,-26.055,871.004,-100.206,99.9466,-5.81225,141.649,0.227266,0.99963,-0.00424177,-0.026831,0.00166196,0.0750735
Basler_acA2040-35gm__23324651__20250619_100722158_0003.tiff,-57.2266,64.9277,874.708,51.2757,-26.055,871.004,-100.206,99.9466,-5.81225,141.649,0.227266,0.99963,-0.00424177,-0.026831,0.00166196,0.0832754
Basler_acA2040-35gm__23324651__20250619_100722158_0004.tiff,-57.2232,64.9851,874.729,51.275,-26.0055,871.013,-100.206,99.9498,-5.81786,141.651,0.22947,0.999625,-0.00353889,-0.027106,0.00170022,0.0680135
Basler_acA2040-35gm__23324651__20250619_100722158_0005.tiff,-57.2232,64.9851,874.729,51.275,-26.0055,871.013,-100.206,99.9498,-5.81786,141.651,0.22947,0.999625,-0.00353889,-0.027106,0.00170022,0.11377
Basler_acA2040-35gm__23324651__20250619_100722158_0006.tiff,-57.2139,64.8817,874.686,51.2902,-26.0929,871.008,-100.206,99.9441,-5.73547,141.644,0.222751,0.999626,-0.00432852,-0.0269623,0.00164805,0.0681961
Basler_acA2040-35gm__23324651__20250619_100722158_0007.tiff,-57.2139,64.8817,874.686,51.2902,-26.0929,871.008,-100.206,99.9441,-5.73547,141.644,0.222751,0.999626,-0.00432852,-0.0269623,0.00164805,0.0725048
Basler_acA2040-35gm__23324651__20250619_100728812_0000.tiff,51.0225,-19.6655,852.375,-57.7854,70.8225,861.564,100.332,-100.006,6.63627,141.816,0.394361,0.999962,0.00800687,-0.00338787,-0.00104501,0.077979
Basler_acA2040-35gm__23324651__20250619_100728812_0001.tiff,51.0225,-19.6655,852.375,-57.7854,70.8225,861.564,100.332,-100.006,6.63627,141.816,0.394361,0.999962,0.00800687,-0.00338787,-0.00104501,0.103171
Basler_acA2040-35gm__23324651__20250619_100728812_0002.tiff,51.0427,-19.2435,853.592,-58.0382,70.9673,862.025,100.315,-99.9949,6.76396,141.802,0.380401,0.999978,0.00635932,-0.00132095,-0.00114047,0.0708982
