image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_100417385_0000.tiff,-68.86667743379743,-20.553366244752603,860.9498164247683,26.53861202957028,83.09578068805887,859.8840372156143,99.81574760029577,98.9235973167617,-9.868598062359958,140.87743184346877,-0.5439241565312329,-0.014235245533444234,-0.0058194680128761545,-0.0004340141438246262,0.999881644600186,0.1257
Basler_acA2040-35gm__23324651__20250619_100417385_0001.tiff,-68.86050236188922,-20.58107880935587,861.0669571453352,26.52565379492482,83.01137891340348,859.3138031070359,99.73536966833925,98.77039010692876,-11.412962268430693,140.8296475622083,-0.5917084377917092,-0.012946544887208866,-0.00015064157685074116,-0.0011689259223729893,0.9999154953768777,0.1176
Basler_acA2040-35gm__23324651__20250619_100417385_0002.tiff,-68.86050236188922,-20.58107880935587,861.0669571453352,26.52565379492482,83.01137891340348,859.3138031070359,99.73536966833925,98.77039010692876,-11.412962268430693,140.8296475622083,-0.5917084377917092,-0.012946544887208866,-0.00015064157685074116,-0.0011689259223729893,0.9999154953768777,0.1181
Basler_acA2040-35gm__23324651__20250619_100417385_0003.tiff,-68.83431880835667,-20.65669484209799,860.8162810842836,26.53313733876645,82.97830762050084,859.6005992866437,99.595405508036,98.83633449615942,-12.197438037661602,140.8426189391174,-0.5787370608826166,-0.00965670691931917,0.005636179852089676,-0.0010072200278927498,0.9999369815123175,0.1191
Basler_acA2040-35gm__23324651__20250619_100417385_0004.tiff,-68.8488786256241,-20.64292960658017,861.0297998162465,26.525997061084272,82.9710831291535,859.4563106327221,99.71447705565883,98.77345613612309,-11.64190036499113,140.83574267800955,-0.5856133219904507,-0.012514319333459669,0.0011328461899428588,-0.0011302484658624078,0.9999204123376698,0.1249
Basler_acA2040-35gm__23324651__20250619_100417385_0005.tiff,-68.85857782455932,-20.59262063897089,860.9361826049333,26.535424103138173,83.01056327543243,859.3805682047345,99.7937214515939,98.81316121335074,-10.64084522072295,140.8405313009907,-0.5808246990092982,-0.012102056967553785,-0.004624802640364411,-0.000989992753931719,0.9999155821028287,0.1261
Basler_acA2040-35gm__23324651__20250619_100417385_0006.tiff,-68.8468095679321,-20.580072890855178,860.768433915896,26.552262335322244,83.08509951574145,860.1987071435665,99.80631200245993,98.89145303647231,-10.341957236887577,140.88213328412797,-0.5392227158720289,-0.014027312745815326,-5.671094634384475e-05,-0.0010693893651965965,0.9999010389470476,0.1305
Basler_acA2040-35gm__23324651__20250619_100417385_0007.tiff,-68.8468095679321,-20.580072890855178,860.768433915896,26.552262335322244,83.08509951574145,860.1987071435665,99.80631200245993,98.89145303647231,-10.341957236887577,140.88213328412797,-0.5392227158720289,-0.014027312745815326,-5.671094634384475e-05,-0.0010693893651965965,0.9999010389470476,0.1174
Basler_acA2040-35gm__23324651__20250619_100417385_0008.tiff,-68.83533276147199,-20.649056872815404,860.8498865498635,26.537019657305013,83.00406740227453,859.8341076935342,99.64966056013452,98.79200898898767,-12.28705394850027,140.85768557151437,-0.5636704284856364,-0.016409958498498155,0.002808838283561102,-0.0007497088559761744,0.9998611211694379,0.1242
Basler_acA2040-35gm__23324651__20250619_100417385_0009.tiff,-66.81572678775375,-24.225265807603627,861.0397893354182,23.4020828500537,84.01978479848464,860.1701516192594,99.68374547539995,99.00047310644037,-10.91135367460394,140.91486942943826,-0.5064865705617478,-0.014636789818558343,0.003500553521380972,-0.00042309018975668664,0.9998866593287175,0.1357
Basler_acA2040-35gm__23324651__20250619_100417385_0010.tiff,-66.81572678775375,-24.225265807603627,861.0397893354182,23.4020828500537,84.01978479848464,860.1701516192594,99.68374547539995,99.00047310644037,-10.91135367460394,140.91486942943826,-0.5064865705617478,-0.014636789818558343,0.003500553521380972,-0.00042309018975668664,0.9998866593287175,0.1286
