image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_100722158_0000.tiff,36.012486637204304,72.76501992140993,862.7542300211607,-54.65703472031799,-35.021186735423576,857.0543470810392,99.51085428422904,99.77407639183853,-3.7470887341256587,140.96565934369588,-0.45569665630412715,0.027252955919109288,0.002106442496685696,-0.0009884264702784773,0.9996258611634615,0.1269
Basler_acA2040-35gm__23324651__20250619_100722158_0001.tiff,36.01943572005744,72.74375944362855,862.8549658065452,-54.684853554816705,-35.078445405418535,857.5386138553604,99.59745215651189,99.76934124040207,-2.7542007599888896,141.00056577701662,-0.42079022298338487,0.02458265488666218,-2.8442221541088422e-05,-0.00041258882988308394,0.9996977153321002,0.1246
Basler_acA2040-35gm__23324651__20250619_100722158_0002.tiff,36.028991107624925,72.81932786753423,863.2094029615955,-54.71081230518811,-35.01951349390652,857.5292362125479,99.64264468545805,99.76852187387105,-3.5745387200861733,141.05031699316,-0.37103900683999314,0.026922735673256492,0.0009122120624590991,-0.0010664445954771788,0.9996365323801175,0.1265
Basler_acA2040-35gm__23324651__20250619_100722158_0003.tiff,36.028991107624925,72.81932786753423,863.2094029615955,-54.71081230518811,-35.01951349390652,857.5292362125479,99.64264468545805,99.76852187387105,-3.5745387200861733,141.05031699316,-0.37103900683999314,0.026922735673256492,0.0009122120624590991,-0.0010664445954771788,0.9996365323801175,0.1260
Basler_acA2040-35gm__23324651__20250619_100722158_0004.tiff,36.000728063325525,72.79772307379808,862.3413285651931,-54.70161438398148,-34.960560314114424,857.3927068269433,99.65084873774963,99.64334344603013,-2.040557274159638,140.93704772431732,-0.48430827568267887,0.024299023604330793,-0.007160511960361432,-0.001085646126802634,0.9996785012656964,0.1478
Basler_acA2040-35gm__23324651__20250619_100722158_0005.tiff,36.000728063325525,72.79772307379808,862.3413285651931,-54.70161438398148,-34.960560314114424,857.3927068269433,99.65084873774963,99.64334344603013,-2.040557274159638,140.93704772431732,-0.48430827568267887,0.024299023604330793,-0.007160511960361432,-0.001085646126802634,0.9996785012656964,0.1492
Basler_acA2040-35gm__23324651__20250619_100722158_0006.tiff,36.01007453113941,72.73573199242682,862.6496706613236,-54.68062314621962,-35.06360679418751,857.4805360934589,99.59074087575979,99.7180246874841,-3.1968616581979914,140.96886195262442,-0.4524940473755805,0.02026223763191519,-0.0008307117540060724,-0.000552265775976262,0.999794202146943,0.1354
Basler_acA2040-35gm__23324651__20250619_100722158_0007.tiff,36.01007453113941,72.73573199242682,862.6496706613236,-54.68062314621962,-35.06360679418751,857.4805360934589,99.59074087575979,99.7180246874841,-3.1968616581979914,140.96886195262442,-0.4524940473755805,0.02026223763191519,-0.0008307117540060724,-0.000552265775976262,0.999794202146943,0.1233
Basler_acA2040-35gm__23324651__20250619_100728812_0000.tiff,35.13663378847945,79.01118723249684,838.7586636591644,-54.3771644449364,-29.122707406226947,848.8693336764002,99.65847222269537,99.37829611729167,0.16753259646640206,140.74048775000296,-0.6808682499970473,0.022133629625539334,-0.0039782435898821035,-0.0015906594362167432,0.999745840611551,0.1428
Basler_acA2040-35gm__23324651__20250619_100728812_0001.tiff,35.13663378847945,79.01118723249684,838.7586636591644,-54.3771644449364,-29.122707406226947,848.8693336764002,99.65847222269537,99.37829611729167,0.16753259646640206,140.74048775000296,-0.6808682499970473,0.022133629625539334,-0.0039782435898821035,-0.0015906594362167432,0.999745840611551,0.1457
Basler_acA2040-35gm__23324651__20250619_100728812_0002.tiff,34.960123895099194,79.46856734375784,840.7662995468696,-54.41558950566415,-28.98102248429713,849.9432186181175,99.75631205616273,99.40928645919215,0.13962104693054922,140.83162827791557,-0.589727722084433,0.021186535825158035,-0.006028718198246112,-0.0018310325084198323,0.9997556864437274,0.1412
Basler_acA2040-35gm__23324651__20250619_100728812_0003.tiff,35.20867696374443,79.2748438193998,840.3074595197246,-54.26953671560245,-29.057927173830887,849.4258331697828,99.70449779831644,99.41804101206614,-0.7422751843800812,140.80299972777817,-0.6183562722218312,0.018059479961992374,-0.0037373243227154427,-0.0015921250934223111,0.9998286616856391,0.1430
Basler_acA2040-35gm__23324651__20250619_100728812_0004.tiff,35.2133294473069,80.05839930997323,839.4584241236581,-54.06926894414286,-28.354125677015602,848.7384660858681,99.61906487257693,99.42610252568247,-1.1265783903243731,140.75076244341898,-0.670593556581025,0.020074276745165407,-0.004546213926196235,-0.0014626578157280498,0.9997870853257756,0.1529
Basler_acA2040-35gm__23324651__20250619_100728812_0005.tiff,35.2133294473069,80.05839930997323,839.4584241236581,-54.06926894414286,-28.354125677015602,848.7384660858681,99.61906487257693,99.42610252568247,-1.1265783903243731,140.75076244341898,-0.670593556581025,0.020074276745165407,-0.004546213926196235,-0.0014626578157280498,0.9997870853257756,0.1391
Basler_acA2040-35gm__23324651__20250619_100728812_0006.tiff,35.2133294473069,80.05839930997323,839.4584241236581,-54.06926894414286,-28.354125677015602,848.7384660858681,99.61906487257693,99.42610252568247,-1.1265783903243731,140.75076244341898,-0.670593556581025,0.020074276745165407,-0.004546213926196235,-0.0014626578157280498,0.9997870853257756,0.1424
