image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250617_172119087_0000.tiff,3.546506430141913,-94.99231226889287,859.8052091643402,-102.36051192808299,-2.0576079957934854,858.518022245345,99.78054102617189,98.498262527152,-14.02670872581757,140.90710644258596,-0.5142495574140469,-0.02740710207459155,0.014077505077018215,-0.0007577114604958974,0.999524937397773,0.0908
Basler_acA2040-35gm__23324651__20250617_172119087_0001.tiff,3.546506430141913,-94.99231226889287,859.8052091643402,-102.36051192808299,-2.0576079957934854,858.518022245345,99.78054102617189,98.498262527152,-14.02670872581757,140.90710644258596,-0.5142495574140469,-0.02740710207459155,0.014077505077018215,-0.0007577114604958974,0.999524937397773,0.0868
Basler_acA2040-35gm__23324651__20250617_172119087_0002.tiff,3.546506430141913,-94.99231226889287,859.8052091643402,-102.36051192808299,-2.0576079957934854,858.518022245345,99.78054102617189,98.498262527152,-14.02670872581757,140.90710644258596,-0.5142495574140469,-0.02740710207459155,0.014077505077018215,-0.0007577114604958974,0.999524937397773,0.0969
Basler_acA2040-35gm__23324651__20250617_172119087_0003.tiff,3.551694690186867,-94.99380115280746,859.8056307853277,-102.31259198728576,-2.0553317914318097,858.1238679576414,99.7441251531055,98.44547911944537,-14.395546031968575,140.88163332093384,-0.5397226790661591,-0.02431085372809675,0.016408633731832628,-0.0011670504886670146,0.9995690957223631,0.0912
Basler_acA2040-35gm__23324651__20250617_172119087_0004.tiff,3.551694690186867,-94.99380115280746,859.8056307853277,-102.31259198728576,-2.0553317914318097,858.1238679576414,99.7441251531055,98.44547911944537,-14.395546031968575,140.88163332093384,-0.5397226790661591,-0.02431085372809675,0.016408633731832628,-0.0011670504886670146,0.9995690957223631,0.1042
Basler_acA2040-35gm__23324651__20250617_172119087_0005.tiff,3.5411470756764594,-94.96520106765064,859.5858224945817,-102.33659885386658,-2.051515924831958,858.3246550828715,99.82774740125164,98.48412056391064,-13.414147707740408,140.87100664501574,-0.5503493549842631,-0.02892239529110318,0.010077048829763808,-0.0006383912034551454,0.9995306601571454,0.0978
Basler_acA2040-35gm__23324651__20250617_172119087_0006.tiff,3.5458566190284118,-94.97181918574432,859.6151501142508,-102.37749288215065,-2.055725539824707,858.70180830993,99.73590342175558,98.53075911377692,-14.086507669641257,140.90418950910492,-0.5171664908950788,-0.026320615444764616,0.019483297652720073,-0.0012031595423469407,0.9994629451471926,0.0924
Basler_acA2040-35gm__23324651__20250617_172119087_0007.tiff,3.5552353338587985,-94.95429574825789,859.4895600208895,-102.35033855698731,-2.045715047864986,858.5014768787945,99.81363047919334,98.46617908663163,-13.806592767551917,140.88637711718826,-0.5349788828117426,-0.027118790396715206,0.016430779661172987,-0.0012663601185950142,0.9994963716888596,0.0907
Basler_acA2040-35gm__23324651__20250617_172119087_0008.tiff,3.5451535073348084,-94.94971482607379,859.4250943680325,-102.31944118871856,-2.049419587326948,858.2328058061715,99.77177090563657,98.40261069601466,-14.202772834290833,140.85169085822406,-0.5696651417759426,-0.026259061296348994,0.014775112623362865,-0.0010251502157377448,0.9995454500991122,0.0860
Basler_acA2040-35gm__23324651__20250617_172119087_0009.tiff,3.5451535073348084,-94.94971482607379,859.4250943680325,-102.31944118871856,-2.049419587326948,858.2328058061715,99.77177090563657,98.40261069601466,-14.202772834290833,140.85169085822406,-0.5696651417759426,-0.026259061296348994,0.014775112623362865,-0.0010251502157377448,0.9995454500991122,0.0842
Basler_acA2040-35gm__23324651__20250617_172119087_0010.tiff,3.549934418633431,-95.01185686763729,859.9616201807066,-102.31994757554557,-2.052023632951379,858.1927410361482,99.70073089699427,98.59905575753541,-13.82323783480599,140.9009987257367,-0.52035727426329,-0.020211013245784986,0.016704602637768868,-0.0005374464095127795,0.9996560320158377,0.0914
Basler_acA2040-35gm__23324651__20250617_172119087_0011.tiff,3.54843747635146,-94.95476355212729,859.5250291679844,-102.33881063438638,-2.0437606732858353,858.372256019729,99.6399362466812,98.33260356340269,-15.763084582288368,140.8754508576579,-0.5459051423420931,-0.030105622753902963,0.02182541854025536,-0.0011392096489777333,0.9993077627965861,0.0887
Basler_acA2040-35gm__23324651__20250617_172119087_0012.tiff,3.554023438786996,-94.99010136381469,859.7486929118589,-102.28878036714764,-2.050143846317465,858.0041410479506,99.85393686905492,98.52313866756973,-12.882574311963047,140.8672363683679,-0.5541196316320907,-0.02141973589769836,0.009414795877104759,-0.0008253782084823934,0.999725900076355,0.0941
