image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_161355582_0000.tiff,-25.427844258800512,96.59365982992918,784.5663648254431,-123.40367087868312,-4.398973800000775,786.1578333598594,99.68717288020758,99.22918490455069,4.164594552256817,140.71711843785957,-0.7042375621404346,0.025906340973875116,0.0073705248355530485,-0.0008195169025018871,0.9996368666936211,0.0588
Basler_acA2040-35gm__23324651__20250619_161355582_0001.tiff,-25.427844258800512,96.59365982992918,784.5663648254431,-123.40367087868312,-4.398973800000775,786.1578333598594,99.68717288020758,99.22918490455069,4.164594552256817,140.71711843785957,-0.7042375621404346,0.025906340973875116,0.0073705248355530485,-0.0008195169025018871,0.9996368666936211,0.0576
Basler_acA2040-35gm__23324651__20250619_161355582_0002.tiff,-25.439452585851384,96.60342724686141,784.64556069612,-123.4060403402344,-4.395933309475845,786.1233519278798,99.680191328583,99.24008068349146,3.9715058330684894,140.71427438590197,-0.7070816140980298,0.02546792893248425,0.00729788283260769,-0.0007254832379404777,0.9996487378955284,0.0590
Basler_acA2040-35gm__23324651__20250619_161355582_0003.tiff,-25.439452585851384,96.60342724686141,784.64556069612,-123.4060403402344,-4.395933309475845,786.1233519278798,99.680191328583,99.24008068349146,3.9715058330684894,140.71427438590197,-0.7070816140980298,0.02546792893248425,0.00729788283260769,-0.0007254832379404777,0.9996487378955284,0.0561
Basler_acA2040-35gm__23324651__20250619_161355582_0004.tiff,-25.4282917883977,96.59270508642906,784.5905315952643,-123.40056909634811,-4.402643303675485,786.15579633896,99.68591765033294,99.22174109352922,4.340678246781637,140.7163017246488,-0.7050542753512161,0.027788755189484135,0.007870716496437214,-0.0009002782240436555,0.9995824260189706,0.0601
Basler_acA2040-35gm__23324651__20250619_161355582_0005.tiff,-25.4282917883977,96.59270508642906,784.5905315952643,-123.40056909634811,-4.402643303675485,786.15579633896,99.68591765033294,99.22174109352922,4.340678246781637,140.7163017246488,-0.7050542753512161,0.027788755189484135,0.007870716496437214,-0.0009002782240436555,0.9995824260189706,0.0558
Basler_acA2040-35gm__23324651__20250619_161355582_0006.tiff,-25.42432177209173,96.59216843022836,784.6060839751811,-123.38564479431963,-4.405746147996339,786.0742964924599,99.6671813517132,99.24738007715311,3.9453408772079923,140.7094709158255,-0.7118850841744973,0.026230697653545125,0.006722703646003882,-0.0007320227892156658,0.9996330426206069,0.0532
Basler_acA2040-35gm__23324651__20250619_161355582_0007.tiff,-25.433895903825498,96.61257000831375,784.7739768441627,-123.40282193790334,-4.4038863182628845,786.1980929357616,99.68491380741453,99.25620859010255,3.9225042024855217,140.72761997451718,-0.6937360254828207,0.02482643659399615,0.006733880431912215,-0.0008224447169960984,0.9996687583820255,0.0526
Basler_acA2040-35gm__23324651__20250619_161355582_0008.tiff,-25.433895903825498,96.61257000831375,784.7739768441627,-123.40282193790334,-4.4038863182628845,786.1980929357616,99.68491380741453,99.25620859010255,3.9225042024855217,140.72761997451718,-0.6937360254828207,0.02482643659399615,0.006733880431912215,-0.0008224447169960984,0.9996687583820255,0.0511
Basler_acA2040-35gm__23324651__20250619_161355582_0009.tiff,-25.436506701783614,96.59237776752511,784.6714090214792,-123.40437003575485,-4.409900743952103,786.1169503860878,99.67868719719216,99.24723096473609,3.9241005398842344,140.7169218700099,-0.7044341299900907,0.025559067749917314,0.007047171115781169,-0.0007791465589557468,0.9996481702907578,0.0566
Basler_acA2040-35gm__23324651__20250619_161355582_0010.tiff,-25.442390364619246,96.6098858766759,784.815695426505,-123.40722751876685,-4.411175320390398,786.1324016723545,99.67787547159998,99.27467437413021,3.599723425008472,140.72703307949732,-0.6943229205026853,0.02479508476971706,0.007083246089052471,-0.0008992765638340489,0.9996670559230039,0.0583
Basler_acA2040-35gm__23324651__20250619_161355582_0011.tiff,-25.430232556783444,96.59147146788737,784.6171003773638,-123.4176747267491,-4.408108679984639,786.2411508555776,99.6921964785247,99.24366978530057,4.15349513639085,140.7305636775984,-0.6907923224015917,0.02626272258137334,0.007344780260322485,-0.0008098852581410601,0.9996277645660959,0.0567
Basler_acA2040-35gm__23324651__20250619_161355582_0012.tiff,-25.440502862275387,96.61709353103043,784.8040309832401,-123.41209958285283,-4.404231486416693,786.1899859692958,99.68928894263489,99.26721030143496,3.7053167969908207,140.7325930390097,-0.6887629609902888,0.025151479959580298,0.007713604937580037,-0.000791984601412999,0.9996535780534679,0.0529
Basler_acA2040-35gm__23324651__20250619_161355582_0013.tiff,-25.440502862275387,96.61709353103043,784.8040309832401,-123.41209958285283,-4.404231486416693,786.1899859692958,99.68928894263489,99.26721030143496,3.7053167969908207,140.7325930390097,-0.6887629609902888,0.025151479959580298,0.007713604937580037,-0.000791984601412999,0.9996535780534679,0.0532
Basler_acA2040-35gm__23324651__20250619_161355582_0014.tiff,-25.44303404725564,96.60897446092137,784.7335607267823,-123.42483213093803,-4.40634306597551,786.2262802731417,99.69624883949717,99.25531886747719,3.974290661724722,140.73647481166844,-0.6848811883315591,0.0252432906561607,0.0065885920173478826,-0.0008816666504441493,0.9996592366381631,0.0580
Basler_acA2040-35gm__23324651__20250619_161355582_0015.tiff,-25.44131059008205,96.60944567698779,784.750224732775,-123.41889360142383,-4.403470484247669,786.2059197916952,99.6947261741905,99.25934013492387,3.7255900577471968,140.73142880055514,-0.6899271994448668,0.024889900724265186,0.007258882727996424,-0.0008478339657509854,0.9996634846992482,0.0540
Basler_acA2040-35gm__23324651__20250619_161355582_0016.tiff,-25.439028776245454,96.61197132533785,784.7925145178954,-123.39402521048262,-4.40596033074625,786.061876759681,99.67218632432234,99.26904449213417,3.5393787525250797,140.71750112550168,-0.7038548744983188,0.025359295245616455,0.007808652779215261,-0.0009061791595658541,0.9996474928322233,0.0520
Basler_acA2040-35gm__23324651__20250619_161355582_0017.tiff,-25.439028776245454,96.61197132533785,784.7925145178954,-123.39402521048262,-4.40596033074625,786.061876759681,99.67218632432234,99.26904449213417,3.5393787525250797,140.71750112550168,-0.7038548744983188,0.025359295245616455,0.007808652779215261,-0.0009061791595658541,0.9996474928322233,0.0531
Basler_acA2040-35gm__23324651__20250619_161355582_0018.tiff,-25.438749041575086,96.6019361248003,784.7375709212719,-123.40444811179682,-4.4123712623781035,786.1277614602299,99.66228047567492,99.28359376433127,3.6467767398573603,140.72349171678204,-0.6978642832179673,0.02597967947528149,0.00815667786705608,-0.0007680532399485092,0.9996288986192603,0.0520
Basler_acA2040-35gm__23324651__20250619_161355582_0019.tiff,-25.42002072633418,96.58909235281932,784.660450175848,-123.40038444795539,-4.418609532605693,786.1909122530927,99.7034866595395,99.23596141335102,4.060608287547396,140.73041543804933,-0.6909405619506686,0.02472328253161891,0.006806169449466895,-0.0008226201185272912,0.9996708251491725,0.0513
Basler_acA2040-35gm__23324651__20250619_161355582_0020.tiff,-25.426150587483264,96.59315760806939,784.6707768950541,-123.40075872601669,-4.412407545025227,786.1494249312676,99.67543084552123,99.25854466153662,3.985502382846118,140.72432068342067,-0.6970353165793313,0.026378267737417003,0.007106404085982942,-0.0007740916180480918,0.9996264736361812,0.0528
