image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_163451303_0000.tiff,-125.568,107.906,997.315,-23.4807,9.74184,1002.08,-100.556,99.6579,-6.1336,141.707,0.285434,-0.999982,-0.00424798,0.00373975,-0.00192864,0.0985234
Basler_acA2040-35gm__23324651__20250619_163451303_0001.tiff,-125.568,107.906,997.315,-23.4807,9.74184,1002.08,-100.556,99.6579,-6.1336,141.707,0.285434,-0.999982,-0.00424798,0.00373975,-0.00192864,0.0847936
Basler_acA2040-35gm__23324651__20250619_163451303_0002.tiff,-125.574,107.911,997.302,-23.488,9.7432,1002.05,-100.548,99.6677,-6.1088,141.707,0.285768,-0.999979,-0.00494887,0.00372197,-0.00189995,0.0765226
Basler_acA2040-35gm__23324651__20250619_163451303_0003.tiff,-125.575,107.912,997.306,-23.4925,9.74375,1002.03,-100.55,99.6618,-6.11971,141.705,0.283496,-0.999975,-0.00549607,0.00412891,-0.00193153,0.0748092
Basler_acA2040-35gm__23324651__20250619_163451303_0004.tiff,-125.574,107.919,997.347,-23.4831,9.74578,1002.03,-100.556,99.6576,-6.27221,141.713,0.291185,-0.999975,-0.00552947,0.00403162,-0.00193825,0.0818144
Basler_acA2040-35gm__23324651__20250619_163451303_0005.tiff,-125.552,107.915,997.357,-23.4601,9.74634,1002.08,-100.545,99.6678,-6.25338,141.711,0.289684,-0.999974,-0.00524741,0.00445297,-0.0019077,0.069648
Basler_acA2040-35gm__23324651__20250619_163451303_0006.tiff,-125.552,107.915,997.357,-23.4601,9.74634,1002.08,-100.545,99.6678,-6.25338,141.711,0.289684,-0.999974,-0.00524741,0.00445297,-0.0019077,0.0729567
Basler_acA2040-35gm__23324651__20250619_163451303_0007.tiff,-125.542,107.913,997.327,-23.4566,9.7447,1002.1,-100.54,99.6768,-6.12229,141.708,0.286996,-0.99998,-0.00461437,0.00399183,-0.00187917,0.0723537
Basler_acA2040-35gm__23324651__20250619_163451303_0008.tiff,-125.534,107.901,997.296,-23.452,9.73889,1002.14,-100.544,99.6692,-6.06727,141.704,0.282242,-0.999981,-0.00442555,0.00391128,-0.00189948,0.0839423
Basler_acA2040-35gm__23324651__20250619_163451303_0009.tiff,-125.534,107.901,997.296,-23.452,9.73889,1002.14,-100.544,99.6692,-6.06727,141.704,0.282242,-0.999981,-0.00442555,0.00391128,-0.00189948,0.0687876
Basler_acA2040-35gm__23324651__20250619_163451303_0010.tiff,-125.527,107.902,997.261,-23.4516,9.74147,1002.16,-100.542,99.6766,-5.88534,141.7,0.278216,-0.999983,-0.00434574,0.00346043,-0.00188085,0.0703102
