image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_161106326_0000.tiff,-122.812,101.811,895.948,-20.8755,3.67191,901.858,-100.528,99.6621,-4.32797,141.623,0.201943,-0.999993,-0.00311537,0.000536203,-0.001842,0.217867
Basler_acA2040-35gm__23324651__20250619_161106326_0001.tiff,-122.812,101.811,895.948,-20.8755,3.67191,901.858,-100.528,99.6621,-4.32797,141.623,0.201943,-0.999993,-0.00311537,0.000536203,-0.001842,0.0968956
Basler_acA2040-35gm__23324651__20250619_161106326_0002.tiff,-122.8,101.799,895.95,-20.8692,3.65925,901.89,-100.527,99.66,-4.32508,141.621,0.199602,-0.999994,-0.00297634,0.000420551,-0.00186541,0.101865
Basler_acA2040-35gm__23324651__20250619_161106326_0003.tiff,-122.808,101.79,895.913,-20.8783,3.65286,901.823,-100.522,99.6634,-4.25603,141.617,0.196075,-0.999991,-0.0038038,0.000655947,-0.00184615,0.103064
Basler_acA2040-35gm__23324651__20250619_161106326_0004.tiff,-122.816,101.795,895.9,-20.8871,3.65726,901.874,-100.52,99.6665,-4.27791,141.619,0.19812,-0.999992,-0.00336612,0.000913618,-0.00184927,0.0917348
Basler_acA2040-35gm__23324651__20250619_161106326_0005.tiff,-122.816,101.795,895.9,-20.8871,3.65726,901.874,-100.52,99.6665,-4.27791,141.619,0.19812,-0.999992,-0.00336612,0.000913618,-0.00184927,0.0872415
Basler_acA2040-35gm__23324651__20250619_161106326_0006.tiff,-122.806,101.803,895.963,-20.8691,3.65913,901.861,-100.525,99.6691,-4.36535,141.627,0.205764,-0.999992,-0.00344322,0.00109179,-0.00185032,0.105353
Basler_acA2040-35gm__23324651__20250619_161106326_0007.tiff,-122.797,101.808,895.961,-20.8605,3.66748,901.881,-100.526,99.6634,-4.39137,141.625,0.203408,-0.999994,-0.00289214,0.00106985,-0.00186253,0.075804
Basler_acA2040-35gm__23324651__20250619_161106326_0008.tiff,-122.796,101.807,895.937,-20.8606,3.67138,901.862,-100.524,99.6631,-4.33464,141.621,0.199586,-0.999993,-0.00331485,0.000479001,-0.00182986,0.080247
Basler_acA2040-35gm__23324651__20250619_161106326_0009.tiff,-122.796,101.807,895.937,-20.8606,3.67138,901.862,-100.524,99.6631,-4.33464,141.621,0.199586,-0.999993,-0.00331485,0.000479001,-0.00182986,0.0753445
Basler_acA2040-35gm__23324651__20250619_161106326_0010.tiff,-122.788,101.805,895.924,-20.857,3.66791,901.851,-100.517,99.6718,-4.22951,141.619,0.197744,-0.999991,-0.00369227,0.000740578,-0.00182503,0.100019
Basler_acA2040-35gm__23324651__20250619_161106326_0011.tiff,-122.799,101.8,895.964,-20.861,3.65741,901.848,-100.523,99.6715,-4.3239,141.626,0.20496,-0.99999,-0.00386312,0.00115843,-0.00184666,0.0742792
Basler_acA2040-35gm__23324651__20250619_161106326_0012.tiff,-122.804,101.796,895.954,-20.8659,3.65405,901.858,-100.533,99.6584,-4.39795,141.627,0.205203,-0.999994,-0.0028251,0.000760997,-0.00186599,0.0750756
Basler_acA2040-35gm__23324651__20250619_161106326_0013.tiff,-122.804,101.796,895.954,-20.8659,3.65405,901.858,-100.533,99.6584,-4.39795,141.627,0.205203,-0.999994,-0.0028251,0.000760997,-0.00186599,0.0787956
Basler_acA2040-35gm__23324651__20250619_161106326_0014.tiff,-122.804,101.795,895.909,-20.8738,3.65442,901.848,-100.526,99.6615,-4.33699,141.622,0.200245,-0.999993,-0.00319124,0.000644327,-0.00186407,0.0803645
Basler_acA2040-35gm__23324651__20250619_161106326_0015.tiff,-122.807,101.797,895.906,-20.8791,3.65847,901.841,-100.525,99.6599,-4.28309,141.618,0.196963,-0.999993,-0.00335841,0.000403072,-0.00185248,0.0762443
