image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_161106326_0000.tiff,-29.109756179424835,102.47119776709815,884.0892826925403,-127.03047962242236,1.4061432015557707,885.308929083376,99.69695496012643,99.24142038155591,3.9697006920620392,140.72704385175842,-0.694312148241579,0.02665621115688586,0.004891946401051996,-0.0011603766556612615,0.9996320166907349,0.0544
Basler_acA2040-35gm__23324651__20250619_161106326_0001.tiff,-29.109756179424835,102.47119776709815,884.0892826925403,-127.03047962242236,1.4061432015557707,885.308929083376,99.69695496012643,99.24142038155591,3.9697006920620392,140.72704385175842,-0.694312148241579,0.02665621115688586,0.004891946401051996,-0.0011603766556612615,0.9996320166907349,0.0507
Basler_acA2040-35gm__23324651__20250619_161106326_0002.tiff,-29.093325140653914,102.4387600195133,883.943515043862,-127.00917874775247,1.3874207204114184,885.2393813690919,99.69581319194351,99.21672453499136,4.16572152532757,140.71448692754356,-0.7068690724564419,0.027977291609496833,0.007221508017983725,-0.0011524945130101207,0.9995818089243826,0.0509
Basler_acA2040-35gm__23324651__20250619_161106326_0003.tiff,-29.107346301066226,102.44139785128564,883.978928565511,-127.01697950166047,1.3890117999378615,885.2042857184754,99.69398551492505,99.21317775770761,4.151760068365484,140.7102785879477,-0.7110774120523047,0.028098076437356706,0.004625026775769856,-0.0011973219542656271,0.999593754306209,0.0462
Basler_acA2040-35gm__23324651__20250619_161106326_0004.tiff,-29.116019725642836,102.44221115866861,883.9338826999503,-127.04658213144629,1.3897236935129231,885.3313426726039,99.70361158569867,99.21114569988055,4.504617194922567,140.7265190729437,-0.6948369270563148,0.02702759790277006,0.004664955974530799,-0.001056438082178223,0.9996232445656414,0.0462
Basler_acA2040-35gm__23324651__20250619_161106326_0005.tiff,-29.116019725642836,102.44221115866861,883.9338826999503,-127.04658213144629,1.3897236935129231,885.3313426726039,99.70361158569867,99.21114569988055,4.504617194922567,140.7265190729437,-0.6948369270563148,0.02702759790277006,0.004664955974530799,-0.001056438082178223,0.9996232445656414,0.0457
Basler_acA2040-35gm__23324651__20250619_161106326_0006.tiff,-29.09690710581985,102.45109465508884,883.9500149163548,-127.03831791143155,1.3946908568714043,885.4186894012975,99.71543694053081,99.22171346767469,4.353954095115964,140.7376058627,-0.6837501372999952,0.027433975125951544,0.006270495787635671,-0.0010894411869192514,0.9996033568417356,0.0465
Basler_acA2040-35gm__23324651__20250619_161106326_0007.tiff,-29.093871805039015,102.46972623151845,884.0957283548728,-126.99076706116838,1.396988403430728,885.1811516771959,99.681714002137,99.24942245318475,3.713032850513387,140.7148839911527,-0.7064720088472995,0.02928463024475653,0.005305538449904429,-0.0013040764407790419,0.9995561820517249,0.0466
Basler_acA2040-35gm__23324651__20250619_161106326_0008.tiff,-29.088747699542612,102.44531268905338,883.9077363335261,-126.98384909460292,1.404365986387199,885.0946396353563,99.68775590902199,99.1981849889651,4.02541226290809,140.69162209303033,-0.7297339069696704,0.02925190124727606,0.005734262794376405,-0.001309436775773604,0.999554765822741,0.0473
Basler_acA2040-35gm__23324651__20250619_161106326_0009.tiff,-29.088747699542612,102.44531268905338,883.9077363335261,-126.98384909460292,1.404365986387199,885.0946396353563,99.68775590902199,99.1981849889651,4.02541226290809,140.69162209303033,-0.7297339069696704,0.02925190124727606,0.005734262794376405,-0.001309436775773604,0.999554765822741,0.0499
Basler_acA2040-35gm__23324651__20250619_161106326_0010.tiff,-29.080559480439735,102.43348626120289,883.7522692647988,-127.01430453848123,1.4012311417631595,885.3715804848374,99.70269863220352,99.20742288158993,4.291421103755022,140.71658453942223,-0.7047714605777742,0.028409741347917947,0.007474096375937149,-0.0010668155280953906,0.9995678498153773,0.0473
Basler_acA2040-35gm__23324651__20250619_161106326_0011.tiff,-29.09052757100735,102.44953411629665,883.980110417748,-126.990430452814,1.38960778532779,885.1665993402509,99.67749844575884,99.23454687655853,3.9759854188743393,140.70859053466228,-0.7127654653377249,0.02708733751851595,0.005175495844843217,-0.001145502967484717,0.9996190165317332,0.0467
Basler_acA2040-35gm__23324651__20250619_161106326_0012.tiff,-29.089754463656558,102.41329358206045,883.7400589668285,-127.01233449016142,1.3894094814512896,885.2529189767018,99.68976886560314,99.18233405926722,4.664780520944323,140.7016189787098,-0.7197370212902001,0.029565822493974412,0.005089746184736895,-0.0011282570218975883,0.9995492402378796,0.0484
Basler_acA2040-35gm__23324651__20250619_161106326_0013.tiff,-29.089754463656558,102.41329358206045,883.7400589668285,-127.01233449016142,1.3894094814512896,885.2529189767018,99.68976886560314,99.18233405926722,4.664780520944323,140.7016189787098,-0.7197370212902001,0.029565822493974412,0.005089746184736895,-0.0011282570218975883,0.9995492402378796,0.0579
Basler_acA2040-35gm__23324651__20250619_161106326_0014.tiff,-29.101801201488772,102.43230906625772,883.8580325846516,-127.03213605289233,1.394539179541035,885.352618002715,99.70985520576153,99.19843894556905,4.339320104498778,140.71679080110175,-0.7045651988982513,0.029128860052426958,0.007788231837742287,-0.0011224883674735868,0.9995446928360696,0.0539
Basler_acA2040-35gm__23324651__20250619_161106326_0015.tiff,-29.099902794233426,102.42253956955999,883.7746464878039,-127.05889690400446,1.3937411303306668,885.4813474617602,99.74354126241505,99.16922874253578,4.731333462207776,140.73270930841588,-0.6886466915841254,0.027588824115859535,0.005253215921355679,-0.0011164328705402084,0.9996049290014698,0.0455
Basler_acA2040-35gm__23324651__20250619_161106326_0016.tiff,-29.10800156029306,102.45664730233936,884.0263017139465,-127.07104967137676,1.393817502474394,885.5978200428697,99.75190884605868,99.21111607634889,4.431157939177033,140.75838885206488,-0.6629671479351202,0.027995819599667272,0.008412200680009632,-0.0012299897907829221,0.999571886404263,0.0466
