image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_160808329_0000.tiff,-116.722,-92.9077,675.982,-8.64741,23.0422,678.817,-111.282,-112.91,-0.366937,158.532,2.96891,-0.706438,0.00635344,0.0072557,-0.707709,0.118196
Basler_acA2040-35gm__23324651__20250529_160808329_0001.tiff,-111.511,-88.5287,676.183,-17.8238,39.347,674.112,-111.341,-112.856,-0.739989,158.537,2.97301,0.706192,-0.00575072,-0.00123702,0.707996,0.0972013
Basler_acA2040-35gm__23324651__20250529_160808329_0002.tiff,-119.799,-98.2146,654.735,-100.605,58.988,646.204,-111.484,-112.8,-1.1616,158.6,3.03606,0.705595,-0.00465469,0.000375206,0.7086,0.090023
Basler_acA2040-35gm__23324651__20250529_160808329_0003.tiff,-156.72,-69.6664,664.361,-72.6689,51.2001,606.249,-110.972,-112.848,0.935767,158.273,2.70943,-0.705521,-0.00050475,-0.00352936,-0.70868,0.0787272
Basler_acA2040-35gm__23324651__20250529_160808329_0007.tiff,-142.568,55.6181,657.264,-142.568,55.6181,657.264,1.30478e-07,2.38429e-07,-9.70928e-07,1.00825e-06,-155.563,-1,5.39561e-09,-5.92332e-09,-1.53042e-09,0.221591
Basler_acA2040-35gm__23324651__20250529_160808329_0008.tiff,-14.8267,33.7239,645.893,-106.16,-95.5778,655.727,112.552,-111.751,1.02699,158.611,3.0475,0.705868,0.00885831,-0.000685242,-0.708287,0.0891527
Basler_acA2040-35gm__23324651__20250529_160808329_0009.tiff,-25.7896,-70.9456,672.65,86.8996,40.3371,669.847,-111.127,-112.87,1.33394,158.4,2.83652,0.706405,-0.00404863,-0.000145925,0.707796,0.0741902
Basler_acA2040-35gm__23324651__20250529_160808329_0010.tiff,34.5766,-36.4042,706.922,144.144,76.9271,689.701,-111.354,-112.896,0.475201,158.573,3.00985,-0.7066,0.00496024,0.0179583,-0.707368,0.0670554
Basler_acA2040-35gm__23324651__20250529_160808329_0011.tiff,-16.9362,-52.475,688.961,94.4771,59.9441,679.673,-111.29,-112.921,0.85007,158.547,2.98383,-0.706313,-0.00237505,0.0117209,-0.707798,0.0694511
Basler_acA2040-35gm__23324651__20250529_160808329_0013.tiff,-62.6666,-78.7656,701.908,49.976,32.5501,694.921,-111.258,-112.915,0.19966,158.519,2.95578,-0.706403,0.00720616,0.0118133,-0.707674,0.0700123
Basler_acA2040-35gm__23324651__20250529_160808329_0014.tiff,-88.8282,-9.8269,716.924,23.8709,101.124,706.723,-111.261,-112.854,-0.482775,158.478,2.9144,0.706354,-0.00719361,-0.0042656,0.70781,0.072602
Basler_acA2040-35gm__23324651__20250529_160808329_0015.tiff,-75.792,-24.7959,725.996,36.2441,86.9076,716.547,-111.221,-112.911,0.153129,158.49,2.92643,0.706416,-0.00767913,-0.00733518,0.707717,0.0711852
Basler_acA2040-35gm__23324651__20250529_160808329_0016.tiff,-70.2271,-6.7325,725.617,43.9623,97.4535,688.378,-111.225,-113.598,-2.31164,158.999,3.43547,0.706224,0.0100072,0.00489996,0.707901,0.0694361
Basler_acA2040-35gm__23324651__20250529_160808329_0017.tiff,-60.6266,1.72819,750.414,50.4827,99.63,691.596,-111.016,-114.285,-2.03327,159.341,3.77783,0.705995,0.0047224,0.00304081,0.708194,0.0650002
Basler_acA2040-35gm__23324651__20250529_160808329_0018.tiff,-47.8506,-10.8145,761.291,60.6239,82.9361,691.571,-110.908,-114.515,-1.54225,159.426,3.86277,0.705719,0.00331791,0.00207806,0.708481,0.0639899
Basler_acA2040-35gm__23324651__20250529_160808329_0019.tiff,-56.8682,-1.04048,749.439,52.2752,90.4894,677.968,-111.023,-114.325,-1.36798,159.368,3.80432,0.705807,0.00334867,0.00232329,0.708393,0.0633498
Basler_acA2040-35gm__23324651__20250529_160808329_0020.tiff,-55.2473,-44.9858,742.54,41.0086,79.175,720.512,-111.297,-113.044,-0.702678,158.639,3.07545,0.705707,-0.0227259,-0.00100073,0.708138,0.0643493
Basler_acA2040-35gm__23324651__20250529_160808329_0021.tiff,30.2724,30.5289,772.265,-75.8569,-74.2679,721.112,111.612,-111.355,2.2982,157.678,2.11474,0.706791,0.00407087,-3.63948e-05,-0.707411,0.0609454
Basler_acA2040-35gm__23324651__20250529_160808329_0022.tiff,23.1172,21.156,769.66,-82.8669,-61.7377,689.273,110.309,-111.317,2.54155,156.736,1.17227,0.707269,0.00174703,-0.000374386,-0.706942,0.0597397
Basler_acA2040-35gm__23324651__20250529_160808329_0023.tiff,17.2491,62.2079,778.682,-80.0943,-57.7941,745.232,112.118,-111.455,1.55966,158.098,2.53492,0.706471,0.00563268,0.000530394,-0.707719,0.0638471
Basler_acA2040-35gm__23324651__20250529_160808329_0024.tiff,-74.0576,-15.9206,767.377,25.4659,102.489,731.685,-111.612,-112.878,-0.93037,158.744,3.18037,0.705675,-0.00574537,0.00350527,0.708504,0.0775902
Basler_acA2040-35gm__23324651__20250529_160808329_0027.tiff,-1.84169,-45.7686,729.37,69.6981,69.482,647.923,-110.906,-112.842,0.926369,158.222,2.65869,-0.705798,0.00125784,-0.00340457,-0.708404,0.0741438
Basler_acA2040-35gm__23324651__20250529_160808329_0028.tiff,3.15908,-53.8579,725.01,73.6844,61.9388,643.533,-110.859,-112.83,0.990878,158.181,2.61764,-0.705815,0.000997233,-0.00332189,-0.708388,0.0661533
Basler_acA2040-35gm__23324651__20250529_160808329_0029.tiff,-117.165,-55.8461,719.641,-22.1093,68.4102,744.275,-110.72,-113.196,-3.14455,158.373,2.80977,-0.704718,-0.00537163,0.00797609,-0.709422,0.220419
Basler_acA2040-35gm__23324651__20250529_160808329_0030.tiff,-166.907,-64.5137,713.692,-102.72,62.2349,782.309,-109.888,-113.203,-1.80366,157.777,2.21328,0.704572,0.00129528,-0.000860259,0.709631,0.0740539
Basler_acA2040-35gm__23324651__20250529_160808329_0031.tiff,-130.314,-55.3566,728.413,-73.2153,75.6178,794.895,-109.578,-113.243,-1.70869,157.589,2.02573,0.704443,0.00137966,-0.000112291,0.709759,0.0717792
Basler_acA2040-35gm__23324651__20250529_160808329_0032.tiff,-53.8337,83.4918,769.576,-144.894,-45.0901,754.015,112.797,-111.077,2.45677,158.327,2.76341,0.704689,-0.00532445,0.00180323,-0.709494,0.0744447
Basler_acA2040-35gm__23324651__20250529_160808329_0033.tiff,-123.688,-37.6716,756.558,-14.8913,77.3707,748.347,-111.323,-112.894,-0.944134,158.552,2.98889,0.706151,-0.0101585,-0.0030347,0.707982,0.0676027
Basler_acA2040-35gm__23324651__20250529_160808329_0034.tiff,-124.66,-59.3542,852.941,-18.1097,56.3482,831.904,-111.344,-113.072,-0.088769,158.69,3.12696,-0.706191,-0.00519441,-0.00975587,-0.707935,0.0602425
Basler_acA2040-35gm__23324651__20250529_160808329_0035.tiff,-24.87,64.5011,869.565,-126.867,-56.7381,865.095,112.681,-111.459,-1.47499,158.5,2.93641,0.706316,0.00609743,0.00432942,-0.707857,0.0601594
Basler_acA2040-35gm__23324651__20250529_160808329_0036.tiff,-24.8783,64.5137,869.688,-126.87,-56.7204,865.131,112.68,-111.454,-1.46358,158.496,2.93207,0.706311,0.00610903,0.00427365,-0.707862,0.0631935
