image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-71.611,-57.7127,615.222,32.6596,61.5431,615.92,-111.054,-112.894,4.07239,158.413,2.84982,-0.706176,0.00652394,-0.0115728,-0.707912,0.107109
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,34.2594,70.86,614.673,-68.4064,-49.7366,617.143,112.648,-111.356,0.47571,158.398,2.8344,-0.706051,-0.00745008,0.0130173,0.708002,0.0884158
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,19.8476,78.0491,582.48,-72.4516,-50.4548,589.585,112.557,-111.411,1.19059,158.376,2.81222,-0.705605,-0.00653634,0.0146351,0.708424,0.0901504
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-48.8974,-52.4914,588.601,40.1105,78.604,591.818,-111.075,-112.932,5.23969,158.489,2.92555,-0.70618,0.00425522,-0.0149157,-0.707862,0.091858
Basler_acA2040-35gm__23324651__20250529_164358463_0006.tiff,5.31647,-54.0431,653.292,52.9257,97.1089,659.767,-111.376,-112.851,3.95587,158.605,3.04134,-0.70663,-0.00709161,-0.0104249,-0.707471,0.084472
Basler_acA2040-35gm__23324651__20250529_164358463_0007.tiff,14.2043,-52.9916,654.854,48.7126,100.418,675.726,-111.277,-113.039,-0.773903,158.623,3.05906,0.706064,0.00504199,-0.00281285,0.708125,0.0923576
Basler_acA2040-35gm__23324651__20250529_164358463_0008.tiff,11.6456,-51.7997,640.611,55.7778,97.5086,671.615,-111.435,-113.066,-0.554794,158.751,3.18763,-0.706138,-0.00203939,0.00462402,-0.708056,0.0774075
Basler_acA2040-35gm__23324651__20250529_164358463_0009.tiff,-5.59401,-50.6812,659.438,64.5687,91.4405,665.368,-111.327,-112.862,5.00295,158.608,3.04471,-0.706545,-0.00333904,-0.0124788,-0.70755,0.0803621
Basler_acA2040-35gm__23324651__20250529_164358463_0010.tiff,78.9852,89.8322,661.481,-14.5819,-36.1139,683.303,112.515,-111.469,-2.92598,158.409,2.84567,0.706362,0.00218854,-0.00111045,-0.707847,0.0751629
Basler_acA2040-35gm__23324651__20250529_164358463_0011.tiff,93.7642,72.1674,652.213,-0.0377133,-51.6954,683.935,112.771,-111.486,0.722401,158.578,3.01477,0.706779,-0.00578341,-0.00516429,-0.707392,0.0813798
