image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250612_171526586_0007.tiff,18.7362,-67.8834,895.791,-95.3949,42.4101,900.589,-111.289,-113.132,5.43377,158.788,3.22441,0.7067,0.00661468,0.00195597,0.70748,0.096386
Basler_acA2040-35gm__23324651__20250612_171526586_0008.tiff,18.7339,-67.885,895.765,-95.3994,42.4082,900.614,-111.286,-113.129,5.644,158.791,3.22734,0.706701,0.00690989,0.00231277,0.707475,0.0972517
Basler_acA2040-35gm__23324651__20250612_171526586_0009.tiff,18.7339,-67.885,895.765,-95.3994,42.4082,900.614,-111.286,-113.129,5.644,158.791,3.22734,0.706701,0.00690989,0.00231277,0.707475,0.0649925
Basler_acA2040-35gm__23324651__20250612_171526586_0010.tiff,18.7365,-67.8876,895.824,-95.3929,42.4083,900.587,-111.291,-113.129,5.43588,158.787,3.22375,0.706691,0.00669427,0.00197409,0.707488,0.0631245
Basler_acA2040-35gm__23324651__20250612_171526586_0011.tiff,18.7356,-67.8859,895.815,-95.4023,42.4118,900.651,-111.289,-113.139,5.54757,158.797,3.23335,0.706709,0.00687661,0.00191469,0.707468,0.0619675
Basler_acA2040-35gm__23324651__20250612_171526586_0012.tiff,18.7349,-67.8876,895.809,-95.3963,42.4071,900.591,-111.287,-113.131,5.50536,158.788,3.2248,0.706683,0.00687961,0.00207613,0.707494,0.0685318
Basler_acA2040-35gm__23324651__20250612_171526586_0013.tiff,18.7349,-67.8876,895.809,-95.3963,42.4071,900.591,-111.287,-113.131,5.50536,158.788,3.2248,0.706683,0.00687961,0.00207613,0.707494,0.0755659
Basler_acA2040-35gm__23324651__20250612_171526586_0014.tiff,18.7319,-67.8907,895.799,-95.3957,42.403,900.571,-111.284,-113.126,5.56422,158.785,3.22115,0.706692,0.0067643,0.00237608,0.707485,0.0633843
Basler_acA2040-35gm__23324651__20250612_171526586_0015.tiff,18.7319,-67.8907,895.799,-95.3957,42.403,900.571,-111.284,-113.126,5.56422,158.785,3.22115,0.706692,0.0067643,0.00237608,0.707485,0.0613215
Basler_acA2040-35gm__23324651__20250612_171526586_0016.tiff,18.7319,-67.8907,895.799,-95.3957,42.403,900.571,-111.284,-113.126,5.56422,158.785,3.22115,0.706692,0.0067643,0.00237608,0.707485,0.06224
Basler_acA2040-35gm__23324651__20250612_171533954_0000.tiff,18.7314,-67.8804,895.799,-95.3998,42.4136,900.591,-111.285,-113.133,5.49328,158.788,3.22456,0.706692,0.00685853,0.00211498,0.707485,0.0649312
Basler_acA2040-35gm__23324651__20250612_171533954_0001.tiff,18.7314,-67.8804,895.799,-95.3998,42.4136,900.591,-111.285,-113.133,5.49328,158.788,3.22456,0.706692,0.00685853,0.00211498,0.707485,0.0611866
Basler_acA2040-35gm__23324651__20250612_171533954_0002.tiff,18.7339,-67.8838,895.781,-95.4017,42.4108,900.622,-111.287,-113.134,5.59276,158.793,3.22967,0.706698,0.00711977,0.00239025,0.707476,0.0638313
Basler_acA2040-35gm__23324651__20250612_171533954_0003.tiff,18.7343,-67.8796,895.746,-95.4,42.4124,900.619,-111.281,-113.134,5.64958,158.791,3.22794,0.706703,0.00705226,0.00215577,0.707472,0.0617342
Basler_acA2040-35gm__23324651__20250612_171533954_0004.tiff,18.7321,-67.8859,895.788,-95.3978,42.4065,900.578,-111.289,-113.128,5.4569,158.786,3.22242,0.706695,0.00674382,0.00193149,0.707483,0.0611539
Basler_acA2040-35gm__23324651__20250612_171533954_0005.tiff,18.7321,-67.886,895.786,-95.3979,42.4065,900.586,-111.284,-113.13,5.53686,158.786,3.22295,0.706683,0.0068523,0.00225521,0.707493,0.0574951
Basler_acA2040-35gm__23324651__20250612_171533954_0006.tiff,18.7359,-67.8803,895.774,-95.3949,42.4113,900.59,-111.286,-113.132,5.47648,158.787,3.22339,0.7067,0.00689246,0.00197528,0.707477,0.0576067
Basler_acA2040-35gm__23324651__20250612_171533954_0007.tiff,18.7359,-67.8803,895.774,-95.3949,42.4113,900.59,-111.286,-113.132,5.47648,158.787,3.22339,0.7067,0.00689246,0.00197528,0.707477,0.0586705
Basler_acA2040-35gm__23324651__20250612_171533954_0008.tiff,18.7314,-67.8843,895.786,-95.3989,42.4081,900.593,-111.284,-113.133,5.47685,158.787,3.2233,0.706687,0.00703229,0.00193116,0.707488,0.0679593
Basler_acA2040-35gm__23324651__20250612_171533954_0009.tiff,18.7295,-67.8866,895.777,-95.3995,42.4054,900.573,-111.284,-113.127,5.56907,158.785,3.22179,0.706699,0.00677329,0.00216628,0.707479,0.0579236
Basler_acA2040-35gm__23324651__20250612_171533954_0010.tiff,18.7363,-67.8832,895.804,-95.3974,42.4115,900.602,-111.288,-113.134,5.48318,158.791,3.22717,0.706683,0.00670008,0.00207897,0.707495,0.057994
Basler_acA2040-35gm__23324651__20250612_171533954_0011.tiff,18.7363,-67.8832,895.804,-95.3974,42.4115,900.602,-111.288,-113.134,5.48318,158.791,3.22717,0.706683,0.00670008,0.00207897,0.707495,0.0587626
Basler_acA2040-35gm__23324651__20250612_171533954_0012.tiff,18.7361,-67.8815,895.777,-95.397,42.4112,900.603,-111.281,-113.133,5.6291,158.79,3.22607,0.706696,0.00699757,0.0023192,0.707479,0.0614359
Basler_acA2040-35gm__23324651__20250612_171533954_0013.tiff,18.73,-67.8817,895.786,-95.3998,42.4112,900.58,-111.284,-113.13,5.53351,158.786,3.22294,0.706703,0.00696911,0.00217876,0.707473,0.0680572
Basler_acA2040-35gm__23324651__20250612_171533954_0014.tiff,18.73,-67.8817,895.786,-95.3998,42.4112,900.58,-111.284,-113.13,5.53351,158.786,3.22294,0.706703,0.00696911,0.00217876,0.707473,0.0580078
Basler_acA2040-35gm__23324651__20250612_171533954_0015.tiff,18.7347,-67.8814,895.762,-95.3937,42.408,900.566,-111.28,-113.131,5.50863,158.783,3.21973,0.70669,0.0069512,0.00213429,0.707486,0.0577969
Basler_acA2040-35gm__23324651__20250612_171533954_0016.tiff,18.7363,-67.8847,895.778,-95.396,42.407,900.597,-111.287,-113.129,5.53492,158.788,3.22456,0.706691,0.00701473,0.00213605,0.707484,0.0591888
Basler_acA2040-35gm__23324651__20250612_171533954_0017.tiff,18.7324,-67.8861,895.776,-95.402,42.4064,900.625,-111.284,-113.135,5.57327,158.791,3.22766,0.706693,0.00711123,0.00194451,0.707482,0.0567376
Basler_acA2040-35gm__23324651__20250612_171533954_0018.tiff,18.7324,-67.8861,895.776,-95.402,42.4064,900.625,-111.284,-113.135,5.57327,158.791,3.22766,0.706693,0.00711123,0.00194451,0.707482,0.0689622
Basler_acA2040-35gm__23324651__20250612_171533954_0019.tiff,18.736,-67.8866,895.805,-95.396,42.4069,900.594,-111.286,-113.131,5.51611,158.788,3.22477,0.706696,0.00684795,0.002095,0.707481,0.0613479
