image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-108.51295661499073,66.40833050745593,863.091280622519,10.825489612631161,-33.46087778889126,857.6349271993183,110.02739789369284,-110.15456785995481,-2.2887111592915232,155.70900843060127,0.14551843060127112,0.03508807834902367,-0.020107285215074006,0.7055402166411909,0.7075150362649218,0.0625
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-108.50643925082085,66.40775721945928,863.0728657060607,10.83050359195805,-33.46003272324985,857.5900801674478,110.03296488813457,-110.14780719080186,-2.269260088365588,155.70787498506354,0.1443849850635388,0.03538068862296472,-0.020144947410273836,0.7055394306698467,0.7075001764921833,0.0526
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,-108.50163791944311,66.3983786094676,863.0042633002628,10.82557886093488,-33.46360077996585,857.6568946461977,109.99640370557462,-110.16600646268176,-2.0581874438548864,155.69198419844687,0.12849419844687304,0.03480460382856697,-0.019559874895100606,0.7054959074442269,0.7075885636624377,0.0560
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-108.47860159831409,66.39006787919274,862.8235712806481,10.827137693901493,-33.465340413233704,857.7371327425932,109.96546271706111,-110.16277901721804,-1.6102729386455739,155.66256406185371,0.09907406185371315,0.0335917331705667,-0.01923393537621485,0.705478182881651,0.7076737840774837,0.0636
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-108.47137186965602,66.39054592003703,862.8296641227164,10.832360162223262,-33.458876126009656,857.6357267299658,109.96657381960455,-110.15823082570019,-1.6677436952511338,155.6607354001125,0.0972454001124845,0.03543265439424641,-0.019243287055849045,0.7054172398318151,0.7076445016065112,0.0579
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,-108.57068197108075,66.12449502674473,862.6988446142175,10.8498629594053,-33.53943522773304,857.4860313694536,109.88052489769929,-110.19980506679623,-1.9005732384287377,155.63206278652365,0.06857278652364585,0.03595062995557333,-0.02078214579465736,0.7049604074734156,0.7080299983170791,0.0530
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-127.1871246761162,37.224018661148286,861.648475377365,22.66221527780909,-4.332608817848848,857.9617744657681,109.71812876109502,-110.2539661754015,-1.1682891011958185,155.54860891588447,-0.014881084115529575,0.03994189305215812,-0.0015401875384745036,0.7045023148914907,0.7085751627839401,0.0558
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-125.23886920539582,40.83279829716636,861.5322500085415,21.48903978955146,-10.537128136541785,857.898961692023,109.67291966056538,-110.23973665996553,-0.4478371285244753,155.50289194682222,-0.06059805317778455,0.04131705224595087,-0.00042109823108784245,0.7045440328447258,0.708456371029914,0.0558
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,-115.20889152325408,68.54229117881833,863.0034237778397,10.565043538344705,-23.046809521340215,857.9515408527988,109.86933766757957,-110.27675592256041,-0.9661121647022153,155.67006015618855,0.10657015618855326,0.024447468800221816,-0.009807437577416431,0.7052831890562956,0.7084361359162933,0.0548
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-93.81630616200378,87.27776606135514,863.8957439319518,-2.148729725940553,-38.50943514921478,857.4124268520396,109.96158114958452,-110.31755072755404,-2.426238027370853,155.77996648609403,0.2164764860940238,0.03295297216666681,-0.027236440425495386,0.7049158806096004,0.7080013271193233,0.0474
