image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250612_171526586_0007.tiff,-98.00440949881158,-68.90481596237738,859.202216384405,10.692000526331,42.52016070781024,860.0955022669291,109.76090030905323,-110.3775452576085,-0.7584221940042379,155.6638459565152,0.10035595651518747,-0.01486158533723962,0.036041818894666344,0.7052858159674468,0.7078502937536727,0.1879
Basler_acA2040-35gm__23324651__20250612_171526586_0008.tiff,-97.99263498233081,-68.89290594227626,858.9949373550199,10.692293988465641,42.530410084970434,860.3295147603808,109.74650168904974,-110.38571926935587,-0.2204203892925971,155.657798509248,0.09430850924800893,-0.013738913006280511,0.038991508731853176,0.7052706777016209,0.7077317116609345,0.1941
Basler_acA2040-35gm__23324651__20250612_171526586_0009.tiff,-97.99263498233081,-68.89290594227626,858.9949373550199,10.692293988465641,42.530410084970434,860.3295147603808,109.74650168904974,-110.38571926935587,-0.2204203892925971,155.657798509248,0.09430850924800893,-0.013738913006280511,0.038991508731853176,0.7052706777016209,0.7077317116609345,0.1886
Basler_acA2040-35gm__23324651__20250612_171526586_0010.tiff,-97.96227733915869,-68.87859554959373,858.7735948373306,10.695291944788764,42.50023927003396,859.8322050156,109.71375253555112,-110.34364538961391,0.0727370763157209,155.6047327814398,0.04124278143979154,-0.019270006137308917,0.044421987842467016,0.7051063301660262,0.707446405757631,0.2219
Basler_acA2040-35gm__23324651__20250612_171526586_0011.tiff,-97.97097647952167,-68.87822195964144,858.8458894196729,10.68958154508478,42.51591328607915,860.1031452192592,109.74254682093762,-110.33530356680299,-0.2124466570582184,155.61924986808782,0.05575986808781863,-0.015704986551274842,0.039443026358190414,0.7052623089428616,0.7076741316833017,0.2057
Basler_acA2040-35gm__23324651__20250612_171526586_0012.tiff,-97.91004014035882,-68.83601493244981,858.3329931836863,10.690019480445207,42.51439936974865,860.1657576428407,109.76905763209258,-110.20987481440747,0.8855622118955075,155.55142796026067,-0.01206203973933384,-0.01447331142991588,0.03992183450158073,0.7053731183228971,0.7075630956555841,0.2243
Basler_acA2040-35gm__23324651__20250612_171526586_0013.tiff,-97.91004014035882,-68.83601493244981,858.3329931836863,10.690019480445207,42.51439936974865,860.1657576428407,109.76905763209258,-110.20987481440747,0.8855622118955075,155.55142796026067,-0.01206203973933384,-0.01447331142991588,0.03992183450158073,0.7053731183228971,0.7075630956555841,0.1955
Basler_acA2040-35gm__23324651__20250612_171526586_0014.tiff,-97.94896918284677,-68.8729763074119,858.6426502755515,10.686617017732436,42.489172478999095,859.7318676475782,109.75302259584682,-110.2636143479562,0.7839310903774432,155.57764995639232,0.014159956392319373,-0.01992256722339305,0.04166825800230376,0.7053370722348064,0.707365861574839,0.2301
Basler_acA2040-35gm__23324651__20250612_171526586_0015.tiff,-97.94896918284677,-68.8729763074119,858.6426502755515,10.686617017732436,42.489172478999095,859.7318676475782,109.75302259584682,-110.2636143479562,0.7839310903774432,155.57764995639232,0.014159956392319373,-0.01992256722339305,0.04166825800230376,0.7053370722348064,0.707365861574839,0.2183
Basler_acA2040-35gm__23324651__20250612_171526586_0016.tiff,-97.94896918284677,-68.8729763074119,858.6426502755515,10.686617017732436,42.489172478999095,859.7318676475782,109.75302259584682,-110.2636143479562,0.7839310903774432,155.57764995639232,0.014159956392319373,-0.01992256722339305,0.04166825800230376,0.7053370722348064,0.707365861574839,0.2034
Basler_acA2040-35gm__23324651__20250612_171533954_0000.tiff,-98.03261483980268,-68.91247623688368,859.3253421187002,10.696003118991806,42.54223207809236,860.5014602565653,109.798573493573,-110.40661651817624,-0.3160861669161408,155.7094975352502,0.14600753525019172,-0.013784086596381296,0.03790113267032606,0.7053988192346443,0.7076623551676176,0.2091
Basler_acA2040-35gm__23324651__20250612_171533954_0001.tiff,-98.03261483980268,-68.91247623688368,859.3253421187002,10.696003118991806,42.54223207809236,860.5014602565653,109.798573493573,-110.40661651817624,-0.3160861669161408,155.7094975352502,0.14600753525019172,-0.013784086596381296,0.03790113267032606,0.7053988192346443,0.7076623551676176,0.1976
Basler_acA2040-35gm__23324651__20250612_171533954_0002.tiff,-97.96774069743172,-68.8707762974891,858.7569180117861,10.688555793964467,42.51660277556032,860.0200811376869,109.79088439182237,-110.27602734533886,0.3066960443319777,155.61148596768825,0.04799596768825154,-0.017325222802150424,0.039502674035858165,0.7055643662409858,0.7073318178124242,0.2017
Basler_acA2040-35gm__23324651__20250612_171533954_0003.tiff,-97.97318810208787,-68.87862538809985,858.8862668966403,10.698781878918929,42.535855503041475,860.3853600374503,109.80784455186372,-110.30531202328616,0.07941258947952168,155.64392340223293,0.08043340223292716,-0.01674467292135354,0.038318616408570864,0.705442773530365,0.7075321850199295,0.2016
Basler_acA2040-35gm__23324651__20250612_171533954_0004.tiff,-97.99695657920654,-68.89476024002205,859.0352798617287,10.688239780149821,42.51389418343398,860.0134952953399,109.78936740402733,-110.3247138879226,-0.26344662262756113,155.6448428106484,0.08135281064841138,-0.015989607933046227,0.037798980802575065,0.7055197823647681,0.7075008170881532,0.1831
Basler_acA2040-35gm__23324651__20250612_171533954_0005.tiff,-98.0009632844952,-68.9020129691142,859.0819603108521,10.687242259165592,42.527033712273585,860.260040594071,109.81743405391178,-110.32259967502696,0.038994052669494295,155.66292539258558,0.09943539258557621,-0.01440500500046471,0.03461932147301408,0.7054201247441916,0.7077968960214323,0.1830
Basler_acA2040-35gm__23324651__20250612_171533954_0006.tiff,-97.94740106855993,-68.85429547666511,858.6623310688099,10.700745855173707,42.53586807498322,860.4805076388333,109.75235200844453,-110.31536632736595,0.6597823410026127,155.61328391902782,0.049793919027820266,-0.014542975011850048,0.03965484826839141,0.7052206052979236,0.7077286858322517,0.2260
Basler_acA2040-35gm__23324651__20250612_171533954_0007.tiff,-97.94740106855993,-68.85429547666511,858.6623310688099,10.700745855173707,42.53586807498322,860.4805076388333,109.75235200844453,-110.31536632736595,0.6597823410026127,155.61328391902782,0.049793919027820266,-0.014542975011850048,0.03965484826839141,0.7052206052979236,0.7077286858322517,0.1820
Basler_acA2040-35gm__23324651__20250612_171533954_0008.tiff,-97.96746221760554,-68.88241841829412,858.7950989133022,10.690632772646605,42.53116383520547,860.3034335931484,109.79853236818548,-110.29747028544024,0.7702787802833511,155.63368205814064,0.07019205814063412,-0.019025256416796612,0.03659257293805557,0.7054359224767242,0.7075727400793937,0.1859
Basler_acA2040-35gm__23324651__20250612_171533954_0009.tiff,-98.02628645678918,-68.9155988690637,859.2459988637106,10.686350307964416,42.51401381155508,859.9745703985633,109.78459317399611,-110.37452764220048,-0.577529532282961,155.6776374145605,0.11414741456050592,-0.01583208002964446,0.03727259167575618,0.705458051022176,0.7075938364624867,0.1847
Basler_acA2040-35gm__23324651__20250612_171533954_0010.tiff,-98.00899859756085,-68.90725928730102,859.1544769196457,10.696013270226311,42.52120734880914,860.1468173663976,109.81673405288545,-110.3370873058952,0.2821496443464744,155.67295051360952,0.1094605136095197,-0.01939693498594753,0.03657341629498694,0.705555626135952,0.7074442752341481,0.1837
Basler_acA2040-35gm__23324651__20250612_171533954_0011.tiff,-98.00899859756085,-68.90725928730102,859.1544769196457,10.696013270226311,42.52120734880914,860.1468173663976,109.81673405288545,-110.3370873058952,0.2821496443464744,155.67295051360952,0.1094605136095197,-0.01939693498594753,0.03657341629498694,0.705555626135952,0.7074442752341481,0.1875
Basler_acA2040-35gm__23324651__20250612_171533954_0012.tiff,-97.9401284605594,-68.85467964974517,858.5616300067376,10.69527255311726,42.53256225825089,860.337843391586,109.77316058393626,-110.27686157908326,0.8887985949259658,155.60180894598008,0.03831894598008034,-0.016376245322976886,0.03873936394876316,0.7052537474665066,0.7077063175883173,0.2055
Basler_acA2040-35gm__23324651__20250612_171533954_0013.tiff,-97.98719689216337,-68.8811743342326,858.9057308896677,10.682173413747865,42.511740961905495,859.9676371547622,109.7812129197444,-110.30241501288113,-0.061627652766294005,155.62307433594708,0.059584335947079126,-0.017765180839659164,0.03689138318305875,0.705655142720418,0.7073713619795485,0.2012
Basler_acA2040-35gm__23324651__20250612_171533954_0014.tiff,-97.98719689216337,-68.8811743342326,858.9057308896677,10.682173413747865,42.511740961905495,859.9676371547622,109.7812129197444,-110.30241501288113,-0.061627652766294005,155.62307433594708,0.059584335947079126,-0.017765180839659164,0.03689138318305875,0.705655142720418,0.7073713619795485,0.1993
Basler_acA2040-35gm__23324651__20250612_171533954_0015.tiff,-98.01329520454523,-68.90543361779613,859.2182527917313,10.69779579350269,42.539825519670494,860.5750885013512,109.7663115104463,-110.41358259959671,-0.43096201636849685,155.69196541037644,0.1284754103764385,-0.012042310482356032,0.039098356302663353,0.7052295648673634,0.7077976844619273,0.1908
Basler_acA2040-35gm__23324651__20250612_171533954_0016.tiff,-97.96641326607109,-68.88048768782588,858.8424252883335,10.683486171786098,42.514906197264935,860.1430030285825,109.77884182971663,-110.29053094682052,0.17492605272217965,155.61306477648154,0.049574776481534855,-0.012904473425440308,0.042763518761838745,0.705351930341943,0.70744852137213,0.1911
Basler_acA2040-35gm__23324651__20250612_171533954_0017.tiff,-97.93514864236033,-68.85469832775263,858.5059182858055,10.696345142151822,42.51996361885135,860.2937937533288,109.7828501436234,-110.24872823728961,1.1211604101007966,155.59020941004673,0.026719410046723624,-0.01744895311730681,0.038331779619167325,0.7053521210389817,0.7076048290198048,0.1847
Basler_acA2040-35gm__23324651__20250612_171533954_0018.tiff,-97.93514864236033,-68.85469832775263,858.5059182858055,10.696345142151822,42.51996361885135,860.2937937533288,109.7828501436234,-110.24872823728961,1.1211604101007966,155.59020941004673,0.026719410046723624,-0.01744895311730681,0.038331779619167325,0.7053521210389817,0.7076048290198048,0.2008
Basler_acA2040-35gm__23324651__20250612_171533954_0019.tiff,-97.96248427270126,-68.87571893927827,858.7679783224793,10.68927633486394,42.50494506461388,859.984267410114,109.76129759594576,-110.29405760837889,0.12313630699156697,155.6031386451323,0.03964864513230282,-0.017625965926641837,0.040733754976947666,0.7053050523807459,0.7075131586174379,0.1973
Basler_acA2040-35gm__23324651__20250612_171533954_0020.tiff,-97.95056168897358,-68.86406880202337,858.6748936568446,10.67535139857969,42.5365376045328,860.527471539274,109.77156501094163,-110.28365552393237,0.9137756786161688,155.6056430424796,0.04215304247961171,0.05864004707777102,0.004738752467767523,0.7028630566190606,0.7088881524922512,0.1860
Basler_acA2040-35gm__23324651__20250612_171533954_0021.tiff,-97.97381390988691,-68.88061774849383,858.8800788432833,10.686044680182306,42.51803879102684,860.0396941336422,109.75640504574253,-110.32452253105838,-0.03917875013637051,155.62123973046081,0.057749730460813,-0.019756171142975166,0.03867173297160637,0.7053714886750873,0.7075063630350142,0.1966
Basler_acA2040-35gm__23324651__20250612_171533954_0022.tiff,-97.97381390988691,-68.88061774849383,858.8800788432833,10.686044680182306,42.51803879102684,860.0396941336422,109.75640504574253,-110.32452253105838,-0.03917875013637051,155.62123973046081,0.057749730460813,-0.019756171142975166,0.03867173297160637,0.7053714886750873,0.7075063630350142,0.1852
Basler_acA2040-35gm__23324651__20250612_171533954_0023.tiff,-98.00227005865489,-68.90535284355553,859.1150694976841,10.687668760305414,42.50657431189904,859.8430693461258,109.79862482855798,-110.31973028019405,-0.6851229114384072,155.64912558938764,0.08563558938763549,-0.017083601974301085,0.04036837565279497,0.7054835878809628,0.7073693886657398,0.2017
Basler_acA2040-35gm__23324651__20250612_171533954_0024.tiff,-98.00327582747298,-68.90149743461144,859.1527762577049,10.687046221461577,42.50763161063045,859.8982747466044,109.76438858237967,-110.35147079732846,-0.6839603205816003,155.6474731877052,0.08398318770520063,-0.01695648656377522,0.04006904911103852,0.7053859375902637,0.7074868393946664,0.1788
Basler_acA2040-35gm__23324651__20250612_171533954_0025.tiff,-98.00327582747298,-68.90149743461144,859.1527762577049,10.687046221461577,42.50763161063045,859.8982747466044,109.76438858237967,-110.35147079732846,-0.6839603205816003,155.6474731877052,0.08398318770520063,-0.01695648656377522,0.04006904911103852,0.7053859375902637,0.7074868393946664,0.1709
Basler_acA2040-35gm__23324651__20250612_171533954_0026.tiff,-98.00327582747298,-68.90149743461144,859.1527762577049,10.687046221461577,42.50763161063045,859.8982747466044,109.76438858237967,-110.35147079732846,-0.6839603205816003,155.6474731877052,0.08398318770520063,-0.01695648656377522,0.04006904911103852,0.7053859375902637,0.7074868393946664,0.1867
Basler_acA2040-35gm__23324651__20250612_171533954_0027.tiff,-97.93399084250336,-68.8519756347308,858.5290182633,10.706618062441581,42.551233902826866,860.7842027606932,109.83107282012311,-110.23192482928427,2.1450051830478323,155.62307944396764,0.059589443967638545,-0.017366427426123855,0.039669469996273674,0.705316018389658,0.707569116448441,0.1959
Basler_acA2040-35gm__23324651__20250612_171533954_0028.tiff,-98.00201386387039,-68.90144193060827,859.1176169534601,10.692027157183114,42.51950351482891,860.3249480872021,109.76965419676654,-110.3678524462157,0.19861983964797325,155.66142516984755,0.09793516984754547,-0.01307176979757982,0.04030420174162738,0.7052973009297862,0.7076442732457375,0.2022
Basler_acA2040-35gm__23324651__20250612_171533954_0029.tiff,-98.00201386387039,-68.90144193060827,859.1176169534601,10.692027157183114,42.51950351482891,860.3249480872021,109.76965419676654,-110.3678524462157,0.19861983964797325,155.66142516984755,0.09793516984754547,-0.01307176979757982,0.04030420174162738,0.7052973009297862,0.7076442732457375,0.1810
Basler_acA2040-35gm__23324651__20250612_171533954_0030.tiff,-97.99412131944847,-68.89078862736739,859.0385496188401,10.702486413546646,42.518896667054946,860.0878266422533,109.77388480980798,-110.35336091989325,-0.037944452444871324,155.65401213054125,0.09052213054124536,-0.013941860058117334,0.037613454116155506,0.7053992545085245,0.7076741795108745,0.1805
Basler_acA2040-35gm__23324651__20250612_171533954_0031.tiff,-97.94859732367468,-68.87656203302426,858.6895134329935,10.664202053076957,42.50196276550758,860.0443795778815,109.78395498695248,-110.22922667300847,0.8674396322164712,155.5755496118276,0.012059611827595518,0.061845015347566194,0.005086246337315032,0.7029329258702669,0.7085440183237179,0.1902
Basler_acA2040-35gm__23324651__20250612_171533954_0032.tiff,-98.0021501571007,-68.89900105622075,859.0694517172054,10.665423199936013,42.517494438488,860.3905703534862,109.75639887660519,-110.35180544797511,0.18510022239925927,155.64068337706738,0.07719337706737406,0.06464238535259582,0.008628669005138909,0.7023522596927245,0.708835814128808,0.1853
Basler_acA2040-35gm__23324651__20250612_171533954_0033.tiff,-98.0021501571007,-68.89900105622075,859.0694517172054,10.665423199936013,42.517494438488,860.3905703534862,109.75639887660519,-110.35180544797511,0.18510022239925927,155.64068337706738,0.07719337706737406,0.06464238535259582,0.008628669005138909,0.7023522596927245,0.708835814128808,0.2318
