image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_160713264_0000.tiff,-137.479,-29.5592,866.112,-37.9116,93.6621,870.804,-111.235,-112.898,-0.254552,158.49,2.92648,0.706202,-0.00557015,-0.00268937,0.707983,0.0941213
Basler_acA2040-35gm__23324651__20250529_160713264_0001.tiff,-137.478,-29.556,866.12,-37.9098,93.665,870.803,-111.235,-112.898,-0.241941,158.49,2.92682,0.706198,-0.00553622,-0.0025975,0.707988,0.0717991
Basler_acA2040-35gm__23324651__20250529_160713264_0002.tiff,-137.478,-29.5575,866.127,-37.908,93.6631,870.793,-111.239,-112.895,-0.256315,158.491,2.92715,0.706204,-0.00547358,-0.0026587,0.707982,0.0643822
Basler_acA2040-35gm__23324651__20250529_160713264_0003.tiff,-137.483,-29.5655,866.134,-37.9114,93.6576,870.803,-111.238,-112.899,-0.275727,158.493,2.92982,0.7062,-0.00559487,-0.00271041,0.707985,0.0632985
Basler_acA2040-35gm__23324651__20250529_160713264_0004.tiff,-137.473,-29.5644,866.103,-37.9038,93.6547,870.751,-111.235,-112.896,-0.241796,158.489,2.92516,0.70619,-0.00571122,-0.00243124,0.707996,0.0684289
Basler_acA2040-35gm__23324651__20250529_160713264_0005.tiff,-127.082,-35.9136,862.454,-33.8799,92.276,858.647,-111.261,-112.934,-0.887708,158.536,2.97272,0.706294,-0.0120378,-0.00667087,0.707785,0.0894639
Basler_acA2040-35gm__23324651__20250529_160713264_0006.tiff,-163.793,-25.9191,822.511,-32.8965,63.541,820.411,-111.391,-112.838,-1.04345,158.56,2.99687,0.70613,-0.00812182,0.000598792,0.708035,0.0783102
Basler_acA2040-35gm__23324651__20250529_160713264_0007.tiff,-151.127,-53.8489,810.605,-45.0537,63.8852,813.982,-111.316,-112.836,-1.09456,158.506,2.94286,0.706235,-0.00816723,-0.00322526,0.707923,0.0700576
Basler_acA2040-35gm__23324651__20250529_160713264_0008.tiff,-133.496,-51.7496,817.21,-55.8957,84.2059,790.94,-111.431,-113.042,-0.779009,158.732,3.16857,0.705326,-0.00765157,0.00497313,0.708825,0.0625034
Basler_acA2040-35gm__23324651__20250529_160713264_0009.tiff,-43.063,71.9989,827.622,-144.378,-48.9272,813.361,112.349,-111.657,1.29131,158.402,2.83863,0.70636,0.00516847,0.000390396,-0.707834,0.0664929
Basler_acA2040-35gm__23324651__20250529_160713264_0010.tiff,-133.067,-81.0537,864.303,-23.3322,33.2471,868.579,-111.285,-112.872,-0.587998,158.508,2.94417,0.706461,-0.00856005,-0.00313889,0.707693,0.0663251
