image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-115.025,-54.8211,865.486,-13.8458,67.0594,870.246,-111.188,-112.923,0.458034,158.476,2.9129,0.706403,-0.00504231,-0.00492547,0.707775,0.0888037
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-115.021,-54.8234,865.499,-13.8421,67.0583,870.262,-111.188,-112.925,0.48854,158.477,2.91387,0.706401,-0.00508003,-0.00486491,0.707777,0.0950838
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,-115.025,-54.8252,865.493,-13.8451,67.0555,870.243,-111.189,-112.923,0.466301,158.477,2.91306,0.706408,-0.00507809,-0.00487381,0.70777,0.0711058
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-115.026,-54.8207,865.489,-13.8462,67.0613,870.26,-111.189,-112.925,0.484446,158.478,2.91455,0.706402,-0.00500401,-0.00486945,0.707776,0.0782015
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-13.8353,67.057,870.227,-115.018,-54.8206,865.515,112.706,-111.391,-1.9323,158.475,2.91143,0.706406,0.00517654,0.0046693,-0.707773,0.0680701
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,-13.9621,66.9428,870.13,-114.989,-55.0733,865.572,112.706,-111.394,-1.94358,158.477,2.91397,0.706411,0.00551368,0.00513884,-0.707761,0.0662319
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-88.822,-70.1611,865.58,-47.1608,82.7014,870.784,-111.215,-112.965,-0.00934236,158.523,2.95997,-0.706187,0.00568095,0.0059013,-0.707978,0.0689544
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-93.4594,-69.9627,865.286,-41.7571,79.7817,870.95,-111.215,-112.959,-0.00537905,158.52,2.95654,-0.70622,0.00534597,0.00579186,-0.707949,0.100237
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,-114.414,-51.5957,865.422,-21.697,76.8224,871.07,-111.199,-112.935,0.348152,158.492,2.92806,0.70632,-0.00475197,-0.00413709,0.707864,0.0695981
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,0.225919,61.0413,870.292,-127.438,-32.7054,865.906,112.692,-111.374,-1.4804,158.448,2.88433,0.706437,0.00576284,0.00264121,-0.707747,0.0749577
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,10.2543,45.9562,869.826,-131.308,-25.0726,866.148,112.681,-111.352,-1.47063,158.425,2.86146,0.706493,0.00576715,0.00187045,-0.707694,0.0707256
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,16.9365,27.981,869.218,-135.213,-15.9742,866.301,112.667,-111.33,-1.3008,158.398,2.83448,0.70657,0.00635322,0.00103064,-0.707614,0.0734252
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,17.9638,27.2189,869.332,-134.454,-15.8139,866.291,112.704,-111.295,-1.89592,158.405,2.84188,0.706679,0.00673832,0.00262991,-0.707498,0.0683956
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,-114.407,-34.4689,866.25,6.07154,68.3675,870.846,-111.171,-112.922,1.04708,158.466,2.90246,0.706407,-0.00434079,-0.00236819,0.707788,0.0672971
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,-104.576,-40.0787,866.264,-0.982958,79.7612,871.226,-111.17,-112.951,0.979619,158.486,2.92206,0.706312,-0.00394812,-0.00286836,0.707884,0.0663701
Basler_acA2040-35gm__23324651__20250529_163603290_0014.tiff,-103.255,-64.2269,865.159,0.29416,55.6428,870.725,-111.195,-112.946,0.95435,158.5,2.93606,-0.706445,0.00292716,0.00527157,-0.707742,0.0675768
Basler_acA2040-35gm__23324651__20250529_163603290_0015.tiff,7.78327,21.7684,869.799,-97.9088,-96.2116,863.983,112.744,-111.327,-4.36468,158.505,2.94175,-0.706607,-0.00319756,-0.0118518,0.7075,0.0701286
Basler_acA2040-35gm__23324651__20250529_163603290_0016.tiff,16.2262,1.9928,869.524,-89.1327,-116.299,863.333,112.709,-111.368,-5.06754,158.53,2.9663,-0.706548,-0.00121071,-0.0150625,0.707504,0.0842638
