image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-86.0122,-65.4427,593.017,18.18,53.9053,597.099,-111.17,-112.947,0.885509,158.482,2.91878,-0.706325,-0.706325,-0.706325,-0.706325,0.119663
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-86.0122,-65.4427,593.017,18.18,53.9053,597.099,-111.17,-112.947,0.885509,158.482,2.91878,-0.000652939,-0.000652939,-0.000652939,-0.000652939,0.119663
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-86.0122,-65.4427,593.017,18.18,53.9053,597.099,-111.17,-112.947,0.885509,158.482,2.91878,0.00354401,0.00354401,0.00354401,0.00354401,0.119663
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-86.0122,-65.4427,593.017,18.18,53.9053,597.099,-111.17,-112.947,0.885509,158.482,2.91878,-0.707879,-0.707879,-0.707879,-0.707879,0.119663
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,19.794,63.2379,595.849,-82.8394,-57.4784,595.053,112.684,-111.387,-1.41572,158.451,2.8874,-0.706315,-0.706315,-0.706315,-0.706315,0.0975184
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,19.794,63.2379,595.849,-82.8394,-57.4784,595.053,112.684,-111.387,-1.41572,158.451,2.8874,-0.00153631,-0.00153631,-0.00153631,-0.00153631,0.0975184
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,19.794,63.2379,595.849,-82.8394,-57.4784,595.053,112.684,-111.387,-1.41572,158.451,2.8874,-0.00178723,-0.00178723,-0.00178723,-0.00178723,0.0975184
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,19.794,63.2379,595.849,-82.8394,-57.4784,595.053,112.684,-111.387,-1.41572,158.451,2.8874,0.707894,0.707894,0.707894,0.707894,0.0975184
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,6.12774,70.8085,564.282,-86.2424,-57.8597,568.24,112.629,-111.433,-0.938575,158.441,2.87707,0.706047,0.706047,0.706047,0.706047,0.0899121
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,6.12774,70.8085,564.282,-86.2424,-57.8597,568.24,112.629,-111.433,-0.938575,158.441,2.87707,0.00331488,0.00331488,0.00331488,0.00331488,0.0899121
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,6.12774,70.8085,564.282,-86.2424,-57.8597,568.24,112.629,-111.433,-0.938575,158.441,2.87707,0.000931393,0.000931393,0.000931393,0.000931393,0.0899121
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,6.12774,70.8085,564.282,-86.2424,-57.8597,568.24,112.629,-111.433,-0.938575,158.441,2.87707,-0.708156,-0.708156,-0.708156,-0.708156,0.0899121
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-62.6824,-59.8743,567.914,26.167,71.2708,573.732,-111.141,-113.014,1.63296,158.515,2.95176,0.706105,0.706105,0.706105,0.706105,0.0877371
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-62.6824,-59.8743,567.914,26.167,71.2708,573.732,-111.141,-113.014,1.63296,158.515,2.95176,0.00287312,0.00287312,0.00287312,0.00287312,0.0877371
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-62.6824,-59.8743,567.914,26.167,71.2708,573.732,-111.141,-113.014,1.63296,158.515,2.95176,-0.00160318,-0.00160318,-0.00160318,-0.00160318,0.0877371
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-62.6824,-59.8743,567.914,26.167,71.2708,573.732,-111.141,-113.014,1.63296,158.515,2.95176,0.708099,0.708099,0.708099,0.708099,0.0877371
Basler_acA2040-35gm__23324651__20250529_164358463_0006.tiff,-10.0159,-62.2423,631.767,37.3582,88.9243,639.534,-111.211,-113.072,-1.67217,158.606,3.04288,-0.705601,-0.705601,-0.705601,-0.705601,0.0821516
Basler_acA2040-35gm__23324651__20250529_164358463_0006.tiff,-10.0159,-62.2423,631.767,37.3582,88.9243,639.534,-111.211,-113.072,-1.67217,158.606,3.04288,-0.00952345,-0.00952345,-0.00952345,-0.00952345,0.0821516
