image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250606_110634956_0000.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,-0.706848,-0.706848,-0.706848,-0.706848,0.118779
Basler_acA2040-35gm__23324651__20250606_110634956_0000.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,0.00188128,0.00188128,0.00188128,0.00188128,0.118779
Basler_acA2040-35gm__23324651__20250606_110634956_0000.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,0.00437394,0.00437394,0.00437394,0.00437394,0.118779
Basler_acA2040-35gm__23324651__20250606_110634956_0000.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,-0.70735,-0.70735,-0.70735,-0.70735,0.118779
Basler_acA2040-35gm__23324651__20250606_110634956_0001.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,-0.706848,-0.706848,-0.706848,-0.706848,0.0765642
Basler_acA2040-35gm__23324651__20250606_110634956_0001.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,0.00188128,0.00188128,0.00188128,0.00188128,0.0765642
Basler_acA2040-35gm__23324651__20250606_110634956_0001.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,0.00437394,0.00437394,0.00437394,0.00437394,0.0765642
Basler_acA2040-35gm__23324651__20250606_110634956_0001.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,-0.70735,-0.70735,-0.70735,-0.70735,0.0765642
Basler_acA2040-35gm__23324651__20250606_110634956_0002.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,-0.706848,-0.706848,-0.706848,-0.706848,0.0798905
Basler_acA2040-35gm__23324651__20250606_110634956_0002.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,0.00188128,0.00188128,0.00188128,0.00188128,0.0798905
Basler_acA2040-35gm__23324651__20250606_110634956_0002.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,0.00437394,0.00437394,0.00437394,0.00437394,0.0798905
Basler_acA2040-35gm__23324651__20250606_110634956_0002.tiff,-117.803,-64.732,865.246,-8.27225,49.8864,870.411,-111.346,-112.972,0.6473,158.622,3.05865,-0.70735,-0.70735,-0.70735,-0.70735,0.0798905
Basler_acA2040-35gm__23324651__20250606_110634956_0003.tiff,-117.8,-64.7321,865.236,-8.27144,49.8855,870.398,-111.345,-112.97,0.64467,158.62,3.05673,-0.706855,-0.706855,-0.706855,-0.706855,0.0649262
Basler_acA2040-35gm__23324651__20250606_110634956_0003.tiff,-117.8,-64.7321,865.236,-8.27144,49.8855,870.398,-111.345,-112.97,0.64467,158.62,3.05673,0.00198115,0.00198115,0.00198115,0.00198115,0.0649262
Basler_acA2040-35gm__23324651__20250606_110634956_0003.tiff,-117.8,-64.7321,865.236,-8.27144,49.8855,870.398,-111.345,-112.97,0.64467,158.62,3.05673,0.00424186,0.00424186,0.00424186,0.00424186,0.0649262
Basler_acA2040-35gm__23324651__20250606_110634956_0003.tiff,-117.8,-64.7321,865.236,-8.27144,49.8855,870.398,-111.345,-112.97,0.64467,158.62,3.05673,-0.707343,-0.707343,-0.707343,-0.707343,0.0649262
Basler_acA2040-35gm__23324651__20250606_110634956_0004.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,-0.706848,-0.706848,-0.706848,-0.706848,0.0677329
Basler_acA2040-35gm__23324651__20250606_110634956_0004.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,0.00193883,0.00193883,0.00193883,0.00193883,0.0677329
Basler_acA2040-35gm__23324651__20250606_110634956_0004.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,0.00422576,0.00422576,0.00422576,0.00422576,0.0677329
Basler_acA2040-35gm__23324651__20250606_110634956_0004.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,-0.707351,-0.707351,-0.707351,-0.707351,0.0677329
Basler_acA2040-35gm__23324651__20250606_110634956_0005.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,-0.706848,-0.706848,-0.706848,-0.706848,0.0678998
Basler_acA2040-35gm__23324651__20250606_110634956_0005.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,0.00193883,0.00193883,0.00193883,0.00193883,0.0678998
Basler_acA2040-35gm__23324651__20250606_110634956_0005.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,0.00422576,0.00422576,0.00422576,0.00422576,0.0678998
Basler_acA2040-35gm__23324651__20250606_110634956_0005.tiff,-117.801,-64.7345,865.236,-8.27219,49.8833,870.409,-111.343,-112.973,0.683592,158.621,3.05704,-0.707351,-0.707351,-0.707351,-0.707351,0.0678998
Basler_acA2040-35gm__23324651__20250606_110634956_0006.tiff,-117.805,-64.732,865.236,-8.27576,49.8847,870.401,-111.346,-112.969,0.626782,158.62,3.05677,-0.706855,-0.706855,-0.706855,-0.706855,0.0711908
Basler_acA2040-35gm__23324651__20250606_110634956_0006.tiff,-117.805,-64.732,865.236,-8.27576,49.8847,870.401,-111.346,-112.969,0.626782,158.62,3.05677,0.00189309,0.00189309,0.00189309,0.00189309,0.0711908
Basler_acA2040-35gm__23324651__20250606_110634956_0006.tiff,-117.805,-64.732,865.236,-8.27576,49.8847,870.401,-111.346,-112.969,0.626782,158.62,3.05677,0.00433805,0.00433805,0.00433805,0.00433805,0.0711908
Basler_acA2040-35gm__23324651__20250606_110634956_0006.tiff,-117.805,-64.732,865.236,-8.27576,49.8847,870.401,-111.346,-112.969,0.626782,158.62,3.05677,-0.707343,-0.707343,-0.707343,-0.707343,0.0711908
Basler_acA2040-35gm__23324651__20250606_110634956_0007.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,-0.706856,-0.706856,-0.706856,-0.706856,0.0738012
Basler_acA2040-35gm__23324651__20250606_110634956_0007.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,0.00208044,0.00208044,0.00208044,0.00208044,0.0738012
Basler_acA2040-35gm__23324651__20250606_110634956_0007.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,0.00425917,0.00425917,0.00425917,0.00425917,0.0738012
Basler_acA2040-35gm__23324651__20250606_110634956_0007.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,-0.707342,-0.707342,-0.707342,-0.707342,0.0738012
Basler_acA2040-35gm__23324651__20250606_110634956_0008.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,-0.706856,-0.706856,-0.706856,-0.706856,0.0663324
Basler_acA2040-35gm__23324651__20250606_110634956_0008.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,0.00208044,0.00208044,0.00208044,0.00208044,0.0663324
Basler_acA2040-35gm__23324651__20250606_110634956_0008.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,0.00425917,0.00425917,0.00425917,0.00425917,0.0663324
Basler_acA2040-35gm__23324651__20250606_110634956_0008.tiff,-117.804,-64.7313,865.242,-8.27386,49.8856,870.388,-111.345,-112.97,0.638783,158.62,3.05665,-0.707342,-0.707342,-0.707342,-0.707342,0.0663324
Basler_acA2040-35gm__23324651__20250606_110634956_0009.tiff,-117.801,-64.7299,865.236,-8.27167,49.8873,870.397,-111.346,-112.969,0.641602,158.621,3.05707,-0.706863,-0.706863,-0.706863,-0.706863,0.066194
Basler_acA2040-35gm__23324651__20250606_110634956_0009.tiff,-117.801,-64.7299,865.236,-8.27167,49.8873,870.397,-111.346,-112.969,0.641602,158.621,3.05707,0.00199431,0.00199431,0.00199431,0.00199431,0.066194
Basler_acA2040-35gm__23324651__20250606_110634956_0009.tiff,-117.801,-64.7299,865.236,-8.27167,49.8873,870.397,-111.346,-112.969,0.641602,158.621,3.05707,0.00430664,0.00430664,0.00430664,0.00430664,0.066194
Basler_acA2040-35gm__23324651__20250606_110634956_0009.tiff,-117.801,-64.7299,865.236,-8.27167,49.8873,870.397,-111.346,-112.969,0.641602,158.621,3.05707,-0.707334,-0.707334,-0.707334,-0.707334,0.066194
Basler_acA2040-35gm__23324651__20250606_110634956_0010.tiff,-117.805,-64.7315,865.231,-8.27539,49.8848,870.395,-111.344,-112.97,0.656927,158.62,3.05634,-0.706857,-0.706857,-0.706857,-0.706857,0.0685702
Basler_acA2040-35gm__23324651__20250606_110634956_0010.tiff,-117.805,-64.7315,865.231,-8.27539,49.8848,870.395,-111.344,-112.97,0.656927,158.62,3.05634,0.00191691,0.00191691,0.00191691,0.00191691,0.0685702
Basler_acA2040-35gm__23324651__20250606_110634956_0010.tiff,-117.805,-64.7315,865.231,-8.27539,49.8848,870.395,-111.344,-112.97,0.656927,158.62,3.05634,0.00426641,0.00426641,0.00426641,0.00426641,0.0685702
Basler_acA2040-35gm__23324651__20250606_110634956_0010.tiff,-117.805,-64.7315,865.231,-8.27539,49.8848,870.395,-111.344,-112.97,0.656927,158.62,3.05634,-0.707341,-0.707341,-0.707341,-0.707341,0.0685702
Basler_acA2040-35gm__23324651__20250606_110634956_0011.tiff,-117.804,-64.7333,865.245,-8.2731,49.8848,870.405,-111.346,-112.972,0.6389,158.622,3.05851,-0.706849,-0.706849,-0.706849,-0.706849,0.0781638
Basler_acA2040-35gm__23324651__20250606_110634956_0011.tiff,-117.804,-64.7333,865.245,-8.2731,49.8848,870.405,-111.346,-112.972,0.6389,158.622,3.05851,0.0018999,0.0018999,0.0018999,0.0018999,0.0781638
Basler_acA2040-35gm__23324651__20250606_110634956_0011.tiff,-117.804,-64.7333,865.245,-8.2731,49.8848,870.405,-111.346,-112.972,0.6389,158.622,3.05851,0.00424365,0.00424365,0.00424365,0.00424365,0.0781638
