image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250617_164146449_0000.tiff,43.8634,-63.137,871.402,-67.496,44.0374,873.19,109.567,109.01,1.52645,154.565,-0.998129,0.70894,0.00818822,-0.00745965,-0.705182,0.10105
Basler_acA2040-35gm__23324651__20250617_164146449_0001.tiff,43.8689,-63.1393,871.461,-67.4883,44.0418,873.143,109.573,109.011,1.18097,154.567,-0.996171,0.708937,0.00770915,-0.00743928,-0.705191,0.0786285
Basler_acA2040-35gm__23324651__20250617_164146449_0002.tiff,43.8689,-63.1393,871.461,-67.4883,44.0418,873.143,109.573,109.011,1.18097,154.567,-0.996171,0.708937,0.00770915,-0.00743928,-0.705191,0.0670278
Basler_acA2040-35gm__23324651__20250617_164146449_0003.tiff,43.8639,-63.1358,871.38,-67.4898,44.041,873.133,109.571,109.004,1.38276,154.563,-1.00096,0.708932,0.00817364,-0.00805373,-0.705184,0.0650434
Basler_acA2040-35gm__23324651__20250617_164146449_0004.tiff,43.8632,-63.1391,871.416,-67.4914,44.0399,873.136,109.575,109.004,1.23821,154.564,-0.999057,0.708934,0.00793931,-0.00753284,-0.70519,0.0637214
Basler_acA2040-35gm__23324651__20250617_164146449_0005.tiff,43.8672,-63.1352,871.402,-67.4841,44.0402,873.099,109.57,109.002,1.24372,154.559,-1.00426,0.708942,0.00812247,-0.00746352,-0.70518,0.0641031
Basler_acA2040-35gm__23324651__20250617_164146449_0006.tiff,43.8599,-63.1389,871.38,-67.494,44.0382,873.155,109.568,109.007,1.44423,154.563,-1.00033,0.708939,0.0081893,-0.00773249,-0.70518,0.0993181
Basler_acA2040-35gm__23324651__20250617_164146449_0007.tiff,43.8599,-63.1389,871.38,-67.494,44.0382,873.155,109.568,109.007,1.44423,154.563,-1.00033,0.708939,0.0081893,-0.00773249,-0.70518,0.067692
Basler_acA2040-35gm__23324651__20250617_164146449_0008.tiff,43.8645,-63.1396,871.402,-67.4939,44.0402,873.179,109.573,109.011,1.35394,154.568,-0.995126,0.70895,0.0080955,-0.00710379,-0.705177,0.0647456
Basler_acA2040-35gm__23324651__20250617_164146449_0009.tiff,43.8664,-63.1392,871.435,-67.4881,44.0405,873.104,109.573,109.007,1.16273,154.564,-0.999264,0.70895,0.00797846,-0.00766695,-0.705171,0.0639805
Basler_acA2040-35gm__23324651__20250617_164146449_0010.tiff,43.8639,-63.1381,871.422,-67.4925,44.0441,873.15,109.577,109.007,1.30302,154.568,-0.995485,0.708947,0.00804133,-0.00775249,-0.705174,0.0664358
Basler_acA2040-35gm__23324651__20250617_164146449_0011.tiff,43.8639,-63.1381,871.422,-67.4925,44.0441,873.15,109.577,109.007,1.30302,154.568,-0.995485,0.708947,0.00804133,-0.00775249,-0.705174,0.0743932
Basler_acA2040-35gm__23324651__20250617_164146449_0012.tiff,43.8607,-63.1377,871.396,-67.4915,44.0379,873.111,109.564,109.009,1.24966,154.56,-1.00329,0.708962,0.00796781,-0.00710488,-0.705166,0.066442
Basler_acA2040-35gm__23324651__20250617_164146449_0013.tiff,43.8635,-63.135,871.361,-67.4903,44.0403,873.141,109.57,109.003,1.47269,154.562,-1.00163,0.708927,0.00831469,-0.00765663,-0.705191,0.0637912
Basler_acA2040-35gm__23324651__20250617_164146449_0014.tiff,43.8642,-63.1381,871.408,-67.488,44.0386,873.105,109.571,109.002,1.28895,154.561,-1.00266,0.708931,0.00834408,-0.00783271,-0.705185,0.0658687
Basler_acA2040-35gm__23324651__20250617_164146449_0015.tiff,43.8642,-63.1381,871.408,-67.488,44.0386,873.105,109.571,109.002,1.28895,154.561,-1.00266,0.708931,0.00834408,-0.00783271,-0.705185,0.0624983
Basler_acA2040-35gm__23324651__20250617_164146449_0016.tiff,43.862,-63.1375,871.361,-67.4907,44.0378,873.122,109.571,109.002,1.39117,154.561,-1.00264,0.708933,0.00833857,-0.00794698,-0.705182,0.0763666
Basler_acA2040-35gm__23324651__20250617_164146449_0017.tiff,43.868,-63.1348,871.415,-67.4866,44.0429,873.117,109.57,109.007,1.32688,154.563,-1.0002,0.708949,0.00840248,-0.00778307,-0.705167,0.0594132
Basler_acA2040-35gm__23324651__20250617_164146449_0018.tiff,43.8621,-63.1301,871.361,-67.4889,44.0451,873.124,109.567,109.002,1.48929,154.56,-1.00392,0.708936,0.00883729,-0.00777853,-0.705175,0.0593815
Basler_acA2040-35gm__23324651__20250617_164146449_0019.tiff,43.8621,-63.1301,871.361,-67.4889,44.0451,873.124,109.567,109.002,1.48929,154.56,-1.00392,0.708936,0.00883729,-0.00777853,-0.705175,0.0611811
Basler_acA2040-35gm__23324651__20250617_164146449_0020.tiff,43.8656,-63.1398,871.418,-67.4883,44.0378,873.114,109.572,109.006,1.1803,154.563,-1.00087,0.708952,0.00777644,-0.00750296,-0.705173,0.0618618
Basler_acA2040-35gm__23324651__20250617_164146449_0021.tiff,43.8656,-63.1398,871.418,-67.4883,44.0378,873.114,109.572,109.006,1.1803,154.563,-1.00087,0.708952,0.00777644,-0.00750296,-0.705173,0.0726727
Basler_acA2040-35gm__23324651__20250617_164153905_0000.tiff,43.8614,-63.1376,871.371,-67.4899,44.0375,873.108,109.57,109.001,1.38567,154.559,-1.00404,0.708938,0.00848499,-0.00753851,-0.705179,0.0593549
Basler_acA2040-35gm__23324651__20250617_164153905_0001.tiff,43.8614,-63.1376,871.371,-67.4899,44.0375,873.108,109.57,109.001,1.38567,154.559,-1.00404,0.708938,0.00848499,-0.00753851,-0.705179,0.0613763
Basler_acA2040-35gm__23324651__20250617_164153905_0002.tiff,43.8614,-63.1376,871.371,-67.4899,44.0375,873.108,109.57,109.001,1.38567,154.559,-1.00404,0.708938,0.00848499,-0.00753851,-0.705179,0.061587
Basler_acA2040-35gm__23324651__20250617_164153905_0003.tiff,43.8636,-63.1342,871.384,-67.4888,44.0417,873.119,109.579,108.993,1.44325,154.561,-1.0027,0.70891,0.00845882,-0.00798545,-0.705203,0.0600667
Basler_acA2040-35gm__23324651__20250617_164153905_0004.tiff,43.8636,-63.1342,871.384,-67.4888,44.0417,873.119,109.579,108.993,1.44325,154.561,-1.0027,0.70891,0.00845882,-0.00798545,-0.705203,0.0665518
Basler_acA2040-35gm__23324651__20250617_164153905_0005.tiff,43.8663,-63.1411,871.402,-67.4875,44.0377,873.119,109.572,109.003,1.4544,154.564,-0.999775,0.708928,0.0086621,-0.00684713,-0.705194,0.0605371
Basler_acA2040-35gm__23324651__20250617_164153905_0006.tiff,43.8642,-63.1406,871.406,-67.4886,44.0369,873.11,109.572,109.002,1.33094,154.562,-1.00162,0.708941,0.00827813,-0.00770584,-0.705177,0.0596782
Basler_acA2040-35gm__23324651__20250617_164153905_0007.tiff,43.8642,-63.1406,871.406,-67.4886,44.0369,873.11,109.572,109.002,1.33094,154.562,-1.00162,0.708941,0.00827813,-0.00770584,-0.705177,0.0636835
Basler_acA2040-35gm__23324651__20250617_164153905_0008.tiff,43.8638,-63.1372,871.393,-67.4893,44.0389,873.126,109.568,109.006,1.40112,154.561,-1.00207,0.708926,0.00842342,-0.00711601,-0.705197,0.058302
Basler_acA2040-35gm__23324651__20250617_164153905_0009.tiff,43.8638,-63.1372,871.393,-67.4893,44.0389,873.126,109.568,109.006,1.40112,154.561,-1.00207,0.708926,0.00842342,-0.00711601,-0.705197,0.0596798
Basler_acA2040-35gm__23324651__20250617_164153905_0010.tiff,43.8638,-63.1372,871.393,-67.4893,44.0389,873.126,109.568,109.006,1.40112,154.561,-1.00207,0.708926,0.00842342,-0.00711601,-0.705197,0.0606727
Basler_acA2040-35gm__23324651__20250617_164159869_0000.tiff,43.8638,-63.133,871.362,-67.4889,44.0404,873.144,109.569,109.002,1.38852,154.56,-1.00363,0.708938,0.0082889,-0.00773883,-0.70518,0.0585035
Basler_acA2040-35gm__23324651__20250617_164159869_0001.tiff,43.8638,-63.133,871.362,-67.4889,44.0404,873.144,109.569,109.002,1.38852,154.56,-1.00363,0.708938,0.0082889,-0.00773883,-0.70518,0.0611654
Basler_acA2040-35gm__23324651__20250617_164159869_0002.tiff,43.8638,-63.133,871.362,-67.4889,44.0404,873.144,109.569,109.002,1.38852,154.56,-1.00363,0.708938,0.0082889,-0.00773883,-0.70518,0.0612921
