image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-108.52299593758048,66.41486353579177,863.1827048052861,10.826592766248151,-33.463660937212325,857.6955428481019,110.03406461331609,-110.16837422602282,-2.3636552391306243,155.7246060230107,0.16111602301069183,0.034738975117190235,-0.0194779647896067,0.7055472126965723,0.7075428913864938,0.0650
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-108.49563606444192,66.40341194767444,862.9946993939034,10.831297124504813,-33.46231953039602,857.6406278871323,110.02195363491282,-110.14303379514193,-2.104569882034557,155.6944038481443,0.13091384814430285,0.034887239490643304,-0.01994323268858648,0.7055616618205551,0.7075082256480613,0.0567
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,-108.49178777757709,66.39438423106837,862.9383704954174,10.826957483075931,-33.46653281256588,857.7259546820055,109.98871311812796,-110.16184499691053,-1.7849076947901166,155.68023317680417,0.1167431768041638,0.03371560639028477,-0.019210947551596157,0.705532558463786,0.7076143061919039,0.0537
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-108.46620261617367,66.38475777991361,862.7388441633507,10.828187854376413,-33.46801809278986,857.7937072975122,109.95498738833298,-110.15607014260199,-1.3129299356731128,155.64762390041906,0.08413390041906155,0.03262195816174561,-0.01879084734354295,0.7055241977702,0.7076851830175059,0.0580
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-108.49059017236466,66.40374263201412,862.9980567346588,10.833441840637267,-33.46210825975497,857.7019616922622,109.99076689448707,-110.17224079404215,-1.889436227360597,155.69027398291476,0.126783982914759,0.035265378739153655,-0.01932525780278994,0.7054383884064492,0.7076295412401544,0.0596
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,-108.57428345345124,66.12668116990793,862.7276629740785,10.850138871254668,-33.53989139534898,857.494009744543,109.88416568062837,-110.20326495074,-1.9287269095379367,155.6374294976063,0.0739394976062897,0.0359040593257127,-0.02132703365593067,0.704957516968092,0.7080190360643962,0.0574
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-127.18965479120718,37.22494243052689,861.6691750542421,22.663273212832195,-4.3317795655316065,858.0184527627764,109.72204883840764,-110.2541024273198,-1.1374727860771205,155.55124219269644,-0.01224780730356656,0.03937248561166228,-0.001847166563218352,0.7045109646067532,0.7085976969348046,0.0605
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-125.23902000905282,40.83228097051751,861.5332278089936,21.490179708489396,-10.536950012038547,857.9175049346524,109.66717462704852,-110.24647879946426,-0.39257487610744324,155.5034706795756,-0.06001932042440217,0.041638996397058155,0.0001675726567086645,0.7044913526595024,0.7084900139920359,0.0586
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,-115.22189200222219,68.55268049612005,863.1047325736233,10.567190605734265,-23.050395747308134,858.0655246047603,109.88765718064496,-110.28625298191577,-1.0274726867317563,155.69011046808356,0.12662046808355853,0.024190453756898937,-0.009330513874088679,0.7053048455902386,0.7084298400299145,0.0532
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-93.81998895363563,87.28144397352325,863.9310434141478,-2.149082984256364,-38.511378323832595,857.4715225450138,109.96815439146651,-110.31861773781371,-2.433547368023259,155.7854760644897,0.22198606448969826,0.033233367934716346,-0.026634318259708707,0.7049145722127073,0.7080124308433661,0.0554
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,-79.60896195107026,90.4867339426333,864.1946939914931,-10.305099882300166,-48.85129175271981,857.1303497861828,110.00978668588562,-110.2688134518235,-2.579006519958349,155.7819490871041,0.2184590871040939,0.032993635806929565,-0.04147253416754964,0.7045684497314024,0.7076543990883187,0.0565
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,-64.92799809700742,91.40314018645103,864.7651750850755,-22.212321991336854,-58.266288015497004,857.1344089734456,110.10810732556645,-110.21723872752088,-3.4871626539708656,155.8325874613941,0.2690974613940966,0.04524915254026161,-0.04636344310775727,0.7041725843591166,0.7070671232454419,0.0540
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,-63.62281711127034,91.27361352657984,864.7287907929223,-21.786160893472218,-58.66185918147754,856.9694336020526,110.12953345367052,-110.18275861099383,-4.7333888323983775,155.85621387577186,0.29272387577185555,0.047225489187304,-0.05239082873751585,0.7037932302202803,0.7068946479719022,0.0627
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,-89.08938608468256,86.40991285512419,863.4356455146868,11.433618418671202,-32.34584021477591,857.8526903107584,109.87079663376839,-110.29480576353944,-1.5609545264538838,155.68870450482092,0.12521450482091723,0.0330786369896076,-0.013668680232359759,0.7049346924200384,0.7083685837036261,0.0550
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,-96.07501215027021,80.85584162229387,862.812001150429,21.090639004176264,-21.338490269849636,857.1572850852718,109.76883824894972,-110.23646625365352,-1.473347375060663,155.57457084981652,0.011080849816522687,0.0421250423285626,-0.008775214959503754,0.7045120642506961,0.7083863548491418,0.0587
