image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-108.50149458843104,66.40054905105242,862.9948706925909,10.824077351353663,-33.45950494879768,857.5875279558818,110.00603509096068,-110.15249186132367,-2.2276982267154244,155.69156001235893,0.12807001235893267,0.03577754572392397,-0.020069769899583846,0.7055310602132144,0.7074907028594565,0.0882
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-108.49932489906574,66.40316419252518,863.012075334391,10.829011138639704,-33.45856060067039,857.54507533505,110.02269155996883,-110.14291092315185,-2.2473238455719136,155.69683345910502,0.13334345910502066,0.036068399364954026,-0.020262120512544893,0.7055560342411353,0.707445545314625,0.0623
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,-108.49516008434587,66.39414619238576,862.9495944378535,10.825570255875855,-33.46295987087461,857.6451782606019,109.98866902168311,-110.16145841341596,-1.990205593024652,155.68241760466924,0.11892760466923846,0.03505872236869425,-0.019111368103915814,0.7055095502639595,0.7075746717353705,0.0749
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-108.47297255822538,66.38647039704347,862.77602299084,10.825668128718858,-33.46391956864601,857.6866499516165,109.95785099379341,-110.15843310831724,-1.59949489914335,155.6540001541408,0.09051015414078734,0.03432074836110729,-0.019514047262690425,0.7054931393639907,0.7076162226106069,0.0694
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-108.49010548262453,66.40095610611043,862.9748961136546,10.832038838881065,-33.45731361896668,857.6115213367442,109.98625150867936,-110.16854624633238,-2.0322017629434974,155.6862676891127,0.12277768911269504,0.036315904327322186,-0.01895432509104888,0.7054079573680698,0.7076167764652271,0.0674
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,-108.57277615969387,66.12560890315847,862.710060004667,10.847645619783151,-33.535813142089374,857.3947825491528,109.87722310479653,-110.20251781596018,-2.0710543933099013,155.63382780262876,0.07033780262875666,0.036796860746610385,-0.02157427598106811,0.704932427377688,0.7079906881354356,0.0641
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-127.1879917026689,37.224471481476066,861.6550715339058,22.661125293652834,-4.331696038029138,857.9420640003086,109.72220329067098,-110.24982093879383,-1.2142637421936886,155.54889696950934,-0.01459303049065852,0.03946480926955084,-0.001645592961391056,0.704513424629778,0.7085906119682547,0.0711
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-125.24198768345141,40.83410849686974,861.5544332448379,21.488414781883165,-10.53624484661898,857.9140068725952,109.67522782426228,-110.2410571706893,-0.4802395554828198,155.505552680429,-0.05793731957101045,0.0409310458329933,-0.0004018640855777834,0.7045821399465688,0.7084408910139137,0.0718
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,-115.22039668901894,68.55117321550958,863.0927209506083,10.564752565365335,-23.046797966288675,857.9423214805,109.88222429426935,-110.28677015106649,-1.1592351188085548,155.68756762269413,0.1240776226941307,0.024708544385033292,-0.009832722950346725,0.7052886985967735,0.7084212426412864,0.0704
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-93.81880851527288,87.28026150389853,863.9204844997562,-2.1492235722520987,-38.50953529326261,857.4149447532375,109.96576442490661,-110.3182240791926,-2.475463542311651,155.7841706634224,0.22068066342239945,0.03323593763509386,-0.02670593839010893,0.7049200912272805,0.7080041174232974,0.0682
