image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-82.03956096858657,53.05415392502765,593.4748311796943,34.7951050643049,-49.79856442125272,587.5467055614785,109.96486184709336,-110.32515261520619,-0.5033795417407338,155.76958474484647,0.2060947448464674,-0.014158473944538218,0.0028636206492376258,0.7054138947716622,0.7086484137817665,0.0671
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,-80.36488532379848,60.73809501746523,595.1788084018764,37.70240346111439,-40.59551379557296,586.746862339612,110.01693027836298,-110.33205575445955,-1.6109610831559484,155.81874941896686,0.2552594189668582,0.06622673268722594,-0.03496660669717944,0.7036510869898018,0.7065879308845642,0.0505
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,-92.8813139933031,58.87467248431291,568.0762536244429,32.77083794125783,-32.568763968784594,556.4189571114857,110.09210026798193,-110.29938244163829,-0.18332950252020197,155.84048869959523,0.27699869959522516,0.03664926680957041,-0.056361727205843426,0.7047601107469564,0.7062530518508453,0.0474
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-72.98290522613271,56.2908161493866,568.0254593527952,55.35401271196633,-31.526065135181387,563.8614552456777,109.70411371110323,-110.27885010867075,1.7580466925070093,155.56191074489402,-0.0015792551059803372,0.08833717984259382,0.009134138132688117,0.7020145444658151,0.7066036297221266,0.0520
Basler_acA2040-35gm__23324651__20250529_164358463_0006.tiff,-50.78257429068057,44.108857488881576,627.8449512300004,97.20384787933362,-3.1952711640084037,629.8630302270918,109.69162239248979,-109.93048126758845,4.977111844147175,155.37610619760468,-0.18738380239531693,-0.020685137616833993,0.012674710615756745,0.7061923141798574,0.7076043330745488,0.0488
Basler_acA2040-35gm__23324651__20250529_164358463_0007.tiff,-49.33300503736227,41.16745954348741,628.1073625249055,100.12546714757198,4.029768799985757,647.9250026195706,109.66811538766623,-109.84075501114285,4.206524270231493,155.2732489533739,-0.2902410466261074,-0.019006841332474392,-0.005445646821555184,0.7068329449770896,0.70710414565909,0.0638
Basler_acA2040-35gm__23324651__20250529_164358463_0008.tiff,-46.18252307815489,45.127675877280105,623.3130948426011,101.55705372256602,-1.622308504517552,635.3402092153916,109.79107039292565,-109.94349954042065,3.9424413593351915,155.42585072339358,-0.1376392766064214,-0.015704511166547076,-0.0008183224996800646,0.7068866208570856,0.7071520373516272,0.0603
Basler_acA2040-35gm__23324651__20250529_164358463_0009.tiff,-46.0429234971238,54.0741165227433,634.9800172179399,93.04678022748249,-15.274602201608065,634.4869679745016,109.68617557748104,-110.06920422160238,3.0243573984586325,155.42018391593936,-0.14330608406064016,-0.017413710258255933,0.010497457596994237,0.7061463680922191,0.7077738854388519,0.0474
Basler_acA2040-35gm__23324651__20250529_164358463_0010.tiff,-36.320988265311485,72.33631836275423,644.9988560752505,88.26540197658986,-20.727014640087837,644.9693541368025,110.0766015660274,-109.79141564640695,-3.397100455027169,155.50740642641298,-0.0560835735870171,-0.005686889317107775,0.00259213658121626,0.7057942028159313,0.708389358608148,0.0478
Basler_acA2040-35gm__23324651__20250529_164358463_0011.tiff,-21.980305870173105,54.11911378301636,628.1312693759311,102.56539650282207,-34.8494141137666,652.2971759433044,109.7730390296705,-109.35759913945142,-1.3481055492234884,154.9549030393242,-0.6085869606758081,-0.004077486200787074,-0.00862075416180471,0.7059958781337302,0.7081517328667263,0.0533
Basler_acA2040-35gm__23324651__20250529_164358463_0012.tiff,-19.269234614664267,54.130109915314236,627.8188601799831,103.07946649608266,-28.38316360643238,674.0056409022206,109.68604093869938,-108.99451326865692,-0.17940113720749107,154.63138001145012,-0.9321099885498825,-0.005921170251574293,-0.006934556818646585,0.7057317017462366,0.7084205084657994,0.0553
Basler_acA2040-35gm__23324651__20250529_164358463_0013.tiff,-12.303398095065623,84.75279555926785,631.3872552214801,87.50211647051088,-31.867682845602943,653.8632321987727,110.23532912413566,-109.14990441878214,-1.0568067129103076,155.13428461228114,-0.4292053877188664,-0.0044189780030892915,-0.006347087432192533,0.70607612614755,0.708093702273227,0.0501
Basler_acA2040-35gm__23324651__20250529_164358463_0014.tiff,-4.679076796661963,84.79797370250397,616.9794761149572,90.86366025298003,-33.137345425391175,648.0398968410069,109.83791332464315,-109.25293402351002,-1.1545735825254644,154.92547833205074,-0.6380116679492573,-0.004191957594644632,-0.008619728426467943,0.705943518454735,0.7082032734498817,0.0501
Basler_acA2040-35gm__23324651__20250529_164428530_0000.tiff,-72.7272458956393,47.642220697251624,613.3648479148256,43.89521252577581,-55.31292277694892,605.3006507758204,110.02744046019897,-110.26227168686464,-1.335829245849629,155.77416554597443,0.21067554597442495,-0.013580027460379415,0.0010718637295620197,0.7054187827236668,0.7086598443138858,0.0483
Basler_acA2040-35gm__23324651__20250529_164428530_0001.tiff,-81.23560412452773,47.80012081682487,591.9222249072712,40.140402009094004,-49.68354839293181,587.825303665555,109.98627293027403,-110.24557269706803,-0.9585712335691277,155.73048960048595,0.1669996004859513,-0.014916927804220407,0.0019909713698915885,0.7052730365303947,0.7087760332016626,0.0526
Basler_acA2040-35gm__23324651__20250529_164428530_0002.tiff,-83.0199255466578,34.883176264180506,578.1097720665804,40.499796659779705,-59.70646645226804,579.0550597095219,110.08167174700903,-109.93725669682173,-1.020287836669298,155.58025534080082,0.016765340800816375,-0.011863595115221589,-0.0008837825336024696,0.7053644970502342,0.70874494731211,0.0476
Basler_acA2040-35gm__23324651__20250529_164428530_0003.tiff,-72.20780965712105,33.13395148208037,572.9971517020407,75.86230054711474,-14.410896076125914,567.0210662526295,109.87479142735056,-110.21804773429433,0.7041483957942463,155.63092129305883,0.06743129305883144,-0.015763327317730055,0.0015126689984159137,0.7050456085743747,0.7089851332534166,0.0463
Basler_acA2040-35gm__23324651__20250529_164428530_0004.tiff,-67.40794237172072,55.22788420391174,566.0048110368306,67.9349421408765,-21.54142522671362,564.7208913899992,109.8495446973312,-110.20812078887087,0.3454710979612363,155.60485759867797,0.041367598677965134,-0.015364175823199717,0.00313629567578806,0.7051351359399449,0.708899531537201,0.0439
Basler_acA2040-35gm__23324651__20250529_164428530_0005.tiff,-55.482111768063056,73.0443875492155,559.3147853987688,65.29577575544859,-25.00059990859346,562.9762287236858,110.03708505143517,-110.02155883202936,-0.787624922823027,155.6069530820057,0.043463082005700926,-0.01050408079288656,0.0009577833388840747,0.7053590693226082,0.7087717053199263,0.0455
Basler_acA2040-35gm__23324651__20250529_164428530_0006.tiff,-47.239239562715056,71.85041341016158,558.9820112419922,72.11409592635609,-27.841055927264964,562.6439085462232,110.05647149160657,-109.92806776228298,-0.6405027374379868,155.55390462115875,-0.009585378841251213,-0.009771030932028909,-0.0007592487663078403,0.7053093889428009,0.7088318674869021,0.0460
Basler_acA2040-35gm__23324651__20250529_164428530_0007.tiff,-37.097616267589494,66.32096542326882,594.7881982808811,80.16103761292345,-35.76536197066827,596.8063520575164,110.09015586322572,-109.76427704191919,-2.691498243295398,155.4840284251671,-0.07946157483289085,-0.005581217591993119,0.0004439308831331739,0.7057482096341723,0.7084406238589951,0.0443
Basler_acA2040-35gm__23324651__20250529_164428530_0008.tiff,-31.29546427937282,77.42417882296346,594.7681086408352,77.45258929491588,-32.43576956683876,609.1991278168184,110.15587689357423,-109.38964138162491,-1.786302066054124,155.25334692322733,-0.3101430767726754,-0.005520256888865949,-0.00454062057484563,0.7059357374887786,0.708239821010405,0.0442
Basler_acA2040-35gm__23324651__20250529_164428530_0009.tiff,-20.044457392494504,85.88583736996499,591.2266672928572,86.4141592732408,-24.626169103513853,614.2618810086298,110.2706824459174,-109.16104917730998,-1.0971068899933156,155.16752787908786,-0.3959621209121451,-0.0036971746308106512,-0.006834668134330538,0.7061813138042518,0.7079883969705605,0.0473
Basler_acA2040-35gm__23324651__20250529_164428530_0011.tiff,-34.31003632710136,22.916604032766298,610.2169525773215,102.04701235455227,-50.92674725466863,616.8291993281325,109.54372602238286,-109.69088021000277,7.608544506798154,155.2089142466501,-0.35457575334990565,-0.03713290482871763,0.03439557804357701,0.7048409969664907,0.707557248980825,0.0454
Basler_acA2040-35gm__23324651__20250529_164428530_0012.tiff,-52.15022631849961,20.119645091212348,635.2293057009107,88.75753726089269,-44.85122649895981,640.2994342177259,109.81939073548922,-109.68743908091496,-3.207073692027329,155.24792493076868,-0.3155650692313259,-0.005344748234045361,0.005651594482358519,0.7061081928208832,0.7080612354714442,0.0518
Basler_acA2040-35gm__23324651__20250529_164428530_0013.tiff,-51.36628308115976,30.15416414046422,640.8603682775087,78.34735297440781,-55.47355186729824,639.4496898529903,110.04210794619515,-109.73642795747378,-2.8937862691919003,155.4339832246464,-0.12950677535360455,-0.007685892197926089,0.001224587709045571,0.705803797876772,0.7083646139868857,0.0477
Basler_acA2040-35gm__23324651__20250529_164428530_0014.tiff,-47.530985861882705,38.72278526667428,634.630613926,70.27063856379355,-62.702789275991975,633.8740831747766,110.17587289484716,-109.63817353019705,-2.3854065138814162,155.45077107372475,-0.11271892627524949,-0.006385578375596972,-0.0024875305674712527,0.7058752502369625,0.7083030196768829,0.0515
Basler_acA2040-35gm__23324651__20250529_164428530_0015.tiff,-44.31088202830866,42.956613142718524,630.5812534951887,72.53380003350685,-55.575474469372175,656.2358476218402,109.93439147547886,-109.23860439004399,-0.8758407151493453,154.9819673869405,-0.5815226130594908,-0.005682170313955971,-0.007164106704372106,0.7059429500083552,0.7082096722363742,0.0513
Basler_acA2040-35gm__23324651__20250529_164428530_0016.tiff,-41.46085288113953,39.38340449010382,621.4050564415662,69.38226974122952,-37.698322257837695,696.1844923805908,109.3756462872257,-108.88840297989543,0.1953617672845187,154.33649753211495,-1.2269924678850543,-0.005889507513434744,-0.0065620726995142325,0.7056484721615046,0.708507224126381,0.0449
Basler_acA2040-35gm__23324651__20250529_164428530_0017.tiff,-40.97244214645286,43.58564132308872,627.3481016915044,72.13477304998997,-42.56331397466058,687.1817642018199,109.35139191581986,-108.79766357296735,-0.541557866287179,154.25612402036543,-1.307365979634568,-0.006727180015470754,-0.007286015461704781,0.7055881733979149,0.7085527422773307,0.0460
Basler_acA2040-35gm__23324651__20250529_164428530_0018.tiff,-37.19578113949043,54.355743285574846,634.2875052004122,81.77761156667204,-45.28930623650899,640.5314258038329,110.11361666824376,-109.4821975509186,-3.380895507970827,155.31513323168198,-0.24835676831801834,-0.0018437752509636014,-0.002423841967834821,0.7061778483982792,0.7080279457157859,0.0527
Basler_acA2040-35gm__23324651__20250529_164428530_0019.tiff,-33.66289020319465,55.0775434682521,652.2538016041615,70.23896905552161,-39.15451932257476,582.5101547536822,110.52159172956613,-111.01500155090227,-0.318564676391464,156.6507398362254,1.0872498362253964,-0.002313041294866941,-0.004713302160115566,0.7057955979801085,0.708396081648266,0.0464
Basler_acA2040-35gm__23324651__20250529_164428530_0020.tiff,-31.75692117700864,53.801243923387375,659.083466552952,57.79205723149224,-28.54088061564693,559.2629406700263,110.92358074888406,-111.62113071648844,-0.25457134609413457,157.36385352155003,1.8003635215500253,-0.0031978106587691115,-0.0047154580031585624,0.7058019534271249,0.7083862936288827,0.0526
Basler_acA2040-35gm__23324651__20250529_164428530_0021.tiff,-34.356308110266674,56.091061558621455,649.8555895650215,79.05991924339264,-40.069866691759565,601.7445434420199,110.29420522245591,-110.72357179885694,-0.5625394311554732,156.28447622256488,0.7209862225648749,0.0013126591721753641,-0.005583567672447812,0.7057697529442035,0.7084180662059819,0.0457
Basler_acA2040-35gm__23324651__20250529_164428530_0022.tiff,-31.392757171670983,57.984259181909046,631.0200408200554,89.40551745679012,-39.175185406099715,640.5756911893418,109.71886493878058,-109.76816504319397,6.017632378207072,155.31738885212914,-0.2461011478708599,-0.025185934651334573,0.012892840050016424,0.7062669039890216,0.7073800277792309,0.0483
Basler_acA2040-35gm__23324651__20250529_164428530_0023.tiff,-26.988179681919327,65.29537122689955,616.1439302212777,83.46074830181752,-40.79666470576102,642.3770062200689,109.74836710297662,-109.93181818740705,3.598795033499469,155.37908500648334,-0.18440499351666517,-0.015622189818672834,-0.0011278154199008726,0.7070692985636708,0.7069707789196994,0.0466
Basler_acA2040-35gm__23324651__20250529_164428530_0025.tiff,-24.267366791408598,74.68348991791726,615.3051998279545,88.88687499699364,-29.4473947830294,636.9176776344343,109.69670100129817,-109.7998726638549,4.984429022331871,155.28754869675038,-0.27594130324962407,-0.022824322980637583,0.0005410125990546945,0.7067093468192017,0.707135529233414,0.0473
Basler_acA2040-35gm__23324651__20250529_164428530_0026.tiff,-26.248649907657615,70.0397390001058,627.7344049315452,92.67772866441135,-29.426045278101455,612.4719527547392,110.02322419994204,-110.28312721894953,-1.5460259549870958,155.78789493665806,0.22440493665806116,-0.01502442828118364,0.0022204671685638515,0.7052217217519314,0.7088241384501647,0.0497
Basler_acA2040-35gm__23324651__20250529_164428530_0027.tiff,-22.449525521523004,69.64680245665,643.3909717540118,92.21031714497163,-29.46003367164519,605.3367043555435,110.64111500816068,-110.34304690209332,-0.3569664040133924,156.25994929891726,0.6964592989172615,-0.004616493522411526,-0.008403649603744442,0.7059961383110652,0.7081507744476161,0.0492
Basler_acA2040-35gm__23324651__20250529_164428530_0028.tiff,-24.035917783178448,71.29283311467478,648.0438025900032,82.07169174887738,-28.46624503154844,590.5907889486114,111.12443633452457,-110.28531141202366,-0.2387168964230746,156.5616404157464,0.9981504157464087,-0.004433460058844024,-0.005340903617226321,0.7060817394790866,0.7080963185574726,0.0480
Basler_acA2040-35gm__23324651__20250529_164428530_0029.tiff,-26.077738462442863,72.45833800974455,649.9532143415005,71.32834980270131,-28.036956557932548,579.2054836812962,111.48483672959108,-110.28870536443648,0.1558952949014536,156.81993385705158,1.256443857051579,-0.005340375660883147,-0.004904633575613441,0.7060643584467344,0.7081105469405823,0.0438
Basler_acA2040-35gm__23324651__20250529_164428530_0030.tiff,-30.867006214772264,68.77837411694507,647.5236812740053,60.085571518968635,-33.790344733466064,571.0918773107237,111.79836799392918,-110.1619000966467,0.1217419350414417,156.95392362126,1.3904336212600015,-0.004867739688072032,-0.004844709117335519,0.7061522028035395,0.7080267652988878,0.0438
Basler_acA2040-35gm__23324651__20250529_164428530_0031.tiff,-35.97769754888816,68.06401927869572,643.8249932670622,44.0412214224896,-37.76185737607104,560.052612109201,111.71004743391505,-110.18268130189125,0.7729498004799829,156.90747403471818,1.3439840347181757,-0.005519698465538258,-0.004666039132315776,0.706022690458521,0.7081523293510915,0.0500
Basler_acA2040-35gm__23324651__20250529_164428530_0032.tiff,-29.9344271724226,63.70282055667842,625.0114351421661,94.64054583235666,-25.520068274192248,594.8703074754802,110.3233643984756,-110.52806304561277,0.6617512168911599,156.1670111370735,0.6035211370734999,-0.009403010842664745,-0.005798753895925468,0.7052374327141343,0.7088851256297625,0.0464
Basler_acA2040-35gm__23324651__20250529_164428530_0033.tiff,-38.26861955852369,58.60151055674893,630.5089773967987,97.69145287002262,-10.639190504353854,657.561025639092,109.5959893737506,-109.54154009568637,-0.77420860612476,154.9555719950461,-0.6079180049538877,-0.005843165156118107,-0.011407225306744432,0.7057956478944842,0.7082995383628062,0.0546
