image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_164358463_0000.tiff,-82.03776869673915,53.05220650717245,593.459327047442,34.79950138720741,-49.80595474372782,587.628705279802,109.97404982203817,-110.31901929951718,-0.40928390534833436,155.77145170660302,0.20796170660301527,-0.013325571318084654,0.0031917072688450693,0.7054848638499207,0.7085925126844168,0.0803
Basler_acA2040-35gm__23324651__20250529_164358463_0001.tiff,-80.3732100455899,60.74204273400133,595.2316805464566,37.70643887511222,-40.59982615099436,586.8169293918157,110.02603166703744,-110.34149409688749,-1.6771855607146113,155.83255730217113,0.2690673021711234,0.06585143899057272,-0.035723556118417626,0.7036204655298883,0.7066156352704264,0.0771
Basler_acA2040-35gm__23324651__20250529_164358463_0002.tiff,-92.88808721587226,58.877400594153904,568.113538960793,32.76870797566686,-32.566720857392916,556.3875823170043,110.1048864498156,-110.29944402530295,-0.3197071283702613,155.8497853224882,0.28629532248820055,0.03657282230520064,-0.05631053065780649,0.7047553691804547,0.7062658298523223,0.0573
Basler_acA2040-35gm__23324651__20250529_164358463_0003.tiff,-72.98653492326852,56.29264185383298,568.0521196219647,55.357695253599374,-31.53013344390662,563.9115296310613,109.71340974931145,-110.28280966270395,1.7015816884236035,155.57064557995147,0.007155579951472646,0.08754498346170993,0.008571760038180899,0.7020992238180733,0.7066251345052734,0.0594
Basler_acA2040-35gm__23324651__20250529_164358463_0006.tiff,-50.782148735192735,44.108731200206606,627.8384528493525,97.20786944926166,-3.1953860933171643,629.8834196436165,109.6987315255511,-109.92949254111508,4.960025774350396,155.37987927767298,-0.18361072232701758,-0.020511992419850116,0.012714933499111783,0.7062178938578488,0.7075831223454001,0.0679
Basler_acA2040-35gm__23324651__20250529_164358463_0007.tiff,-49.32759511766045,41.16388259024426,628.0306291034377,100.12376604712121,4.0288064332090325,647.9099042514251,109.67607783994218,-109.83093561934609,4.2699351552693,155.273657829022,-0.28983217097800207,-0.019106331460896218,-0.0046473419180799455,0.7068584596692824,0.7070816560378103,0.0675
Basler_acA2040-35gm__23324651__20250529_164358463_0008.tiff,-46.173598777859034,45.119574438976095,623.1772921429102,101.54967874619561,-1.6218672027671597,635.2964383406737,109.79782873958989,-109.92224284789678,3.916647178368704,155.41493748594482,-0.14855251405518288,-0.015294654239211202,-0.0004062140200320125,0.706890012360268,0.707157987275243,0.0714
Basler_acA2040-35gm__23324651__20250529_164358463_0009.tiff,-46.041889017569616,54.073324166812995,634.9677483924795,93.05132216751454,-15.274466893771415,634.5131000503079,109.69351895856715,-110.06509420735384,3.0415725355025236,155.4227918545923,-0.14069814540769698,-0.017179761618885125,0.01046529353775961,0.7061534539459416,0.707773009447311,0.0966
Basler_acA2040-35gm__23324651__20250529_164358463_0010.tiff,-36.31780035755765,72.33031349307346,644.9419075445376,88.26790731543954,-20.728356326914213,644.9902183277702,110.07444478170599,-109.79333278955093,-3.249246057295707,155.50407364110683,-0.05941635889317354,-0.005800443138709215,0.002452152849202174,0.7058146264626147,0.7083685868792026,0.0657
Basler_acA2040-35gm__23324651__20250529_164358463_0011.tiff,-21.97947540265071,54.116273234591034,628.0967627023015,102.56422415258483,-34.84861449368684,652.2901132169109,109.7794766853184,-109.35147387464559,-1.3871613723505094,154.95548572584516,-0.6080042741548368,-0.003927129068407311,-0.00836944224800761,0.7060323289106074,0.7081192559356096,0.0661
