image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_161355582_0000.tiff,-119.852,95.9174,794.828,-17.9851,-2.23646,801.462,-100.555,99.6424,-3.87245,141.616,0.194276,0.999998,-0.000208658,-0.000146108,0.0020121,0.0924838
Basler_acA2040-35gm__23324651__20250619_161355582_0001.tiff,-119.852,95.9174,794.828,-17.9851,-2.23646,801.462,-100.555,99.6424,-3.87245,141.616,0.194276,0.999998,-0.000208658,-0.000146108,0.0020121,0.0885284
Basler_acA2040-35gm__23324651__20250619_161355582_0002.tiff,-119.86,95.9202,794.84,-17.9917,-2.23345,801.462,-100.557,99.6411,-3.88235,141.616,0.194528,0.999998,-0.000282887,-0.000157952,0.00201904,0.0769323
Basler_acA2040-35gm__23324651__20250619_161355582_0003.tiff,-119.86,95.9202,794.84,-17.9917,-2.23345,801.462,-100.557,99.6411,-3.88235,141.616,0.194528,0.999998,-0.000282887,-0.000157952,0.00201904,0.0904656
Basler_acA2040-35gm__23324651__20250619_161355582_0004.tiff,-119.849,95.9114,794.828,-17.9824,-2.24032,801.443,-100.555,99.6391,-3.89599,141.613,0.19199,0.999998,-0.000207271,-0.000164919,0.00202145,0.0768588
Basler_acA2040-35gm__23324651__20250619_161355582_0005.tiff,-119.849,95.9114,794.828,-17.9824,-2.24032,801.443,-100.555,99.6391,-3.89599,141.613,0.19199,0.999998,-0.000207271,-0.000164919,0.00202145,0.0790859
Basler_acA2040-35gm__23324651__20250619_161355582_0006.tiff,-119.848,95.9091,794.832,-17.9778,-2.2421,801.424,-100.552,99.6424,-3.91261,141.615,0.193334,-0.999998,-0.000130396,0.000106266,-0.00199431,0.080923
Basler_acA2040-35gm__23324651__20250619_161355582_0007.tiff,-119.85,95.9146,794.862,-17.9801,-2.24064,801.449,-100.557,99.6411,-3.9159,141.617,0.195433,0.999998,-0.000220502,-0.000266024,0.00202435,0.0845475
Basler_acA2040-35gm__23324651__20250619_161355582_0008.tiff,-119.85,95.9146,794.862,-17.9801,-2.24064,801.449,-100.557,99.6411,-3.9159,141.617,0.195433,0.999998,-0.000220502,-0.000266024,0.00202435,0.0756501
Basler_acA2040-35gm__23324651__20250619_161355582_0009.tiff,-119.853,95.9021,794.809,-17.9901,-2.24934,801.48,-100.55,99.6475,-3.79756,141.613,0.192019,-0.999998,1.43052e-05,-7.12385e-05,-0.00199424,0.0760667
Basler_acA2040-35gm__23324651__20250619_161355582_0010.tiff,-119.857,95.9041,794.834,-17.9906,-2.24921,801.461,-100.554,99.6426,-3.87252,141.615,0.193722,0.999998,-0.000156055,-9.35786e-05,0.00201588,0.074919
Basler_acA2040-35gm__23324651__20250619_161355582_0011.tiff,-119.85,95.9069,794.821,-17.9837,-2.24493,801.456,-100.553,99.6437,-3.85472,141.614,0.192966,0.999998,-0.000175228,-0.000135575,0.00200946,0.0871555
Basler_acA2040-35gm__23324651__20250619_161355582_0012.tiff,-119.851,95.9106,794.82,-17.9878,-2.2428,801.44,-100.552,99.6419,-3.83291,141.612,0.190793,-0.999998,0.000241394,-8.57312e-05,-0.00201215,0.0722457
Basler_acA2040-35gm__23324651__20250619_161355582_0013.tiff,-119.851,95.9106,794.82,-17.9878,-2.2428,801.44,-100.552,99.6419,-3.83291,141.612,0.190793,-0.999998,0.000241394,-8.57312e-05,-0.00201215,0.0766231
Basler_acA2040-35gm__23324651__20250619_161355582_0014.tiff,-119.861,95.9126,794.84,-17.9943,-2.24257,801.46,-100.554,99.6441,-3.86814,141.616,0.194416,0.999998,0.000151207,0.000141669,0.00200168,0.0709435
Basler_acA2040-35gm__23324651__20250619_161355582_0015.tiff,-119.863,95.9173,794.87,-17.9906,-2.23961,801.432,-100.556,99.6428,-3.95359,141.619,0.197379,-0.999998,-2.11463e-05,9.10992e-05,-0.00200572,0.0803861
