image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250701_095643785_0000.tiff,54.02986768941622,49.285862694929406,773.4489881905228,-49.157309319636276,-46.19556965874447,777.8529957749083,99.5755860972802,99.2877445949764,3.215452197737334,140.65451541351263,-0.7668405864873762,0.031227213628824038,0.007043015548097215,-0.0008625869228372694,0.9994871249819928,0.0462
Basler_acA2040-35gm__23324651__20250701_095643785_0001.tiff,54.02986768941622,49.285862694929406,773.4489881905228,-49.157309319636276,-46.19556965874447,777.8529957749083,99.5755860972802,99.2877445949764,3.215452197737334,140.65451541351263,-0.7668405864873762,0.031227213628824038,0.007043015548097215,-0.0008625869228372694,0.9994871249819928,0.0478
Basler_acA2040-35gm__23324651__20250701_095643785_0002.tiff,54.02087825015214,49.285144259634826,773.5080444218318,-49.17111204223796,-46.200494665825325,777.9640992703477,99.56645385915708,99.31939211319543,2.851340474013031,140.66254130478757,-0.7588146952124362,0.0290609712704988,0.008490619347057695,-0.0007112435521326945,0.9995413265415933,0.0437
Basler_acA2040-35gm__23324651__20250701_095643785_0003.tiff,54.02087825015214,49.285144259634826,773.5080444218318,-49.17111204223796,-46.200494665825325,777.9640992703477,99.56645385915708,99.31939211319543,2.851340474013031,140.66254130478757,-0.7588146952124362,0.0290609712704988,0.008490619347057695,-0.0007112435521326945,0.9995413265415933,0.0426
Basler_acA2040-35gm__23324651__20250701_095643785_0004.tiff,54.022320627674674,49.28099637290651,773.443852897955,-49.17012601495867,-46.200258619544954,777.9566844686314,99.5956076651103,99.27546683343445,3.2883683845692513,140.66171031169625,-0.759645688303749,0.031042867711547812,0.007886504007590289,-0.0009438874071633367,0.9994864944036734,0.0430
Basler_acA2040-35gm__23324651__20250701_095643785_0005.tiff,54.0190839629271,49.28189521310037,773.4065507130149,-49.1697072041366,-46.20015872802155,777.9826865088148,99.58865025237742,99.28740804810525,3.130752330588793,140.66161617924342,-0.7597398207565789,0.030675734983532547,0.008502911342374185,-0.0008903294481369098,0.9994928249344252,0.0541
Basler_acA2040-35gm__23324651__20250701_095643785_0006.tiff,54.046924084721795,49.283047200716325,773.4718718192989,-49.13845506251557,-46.201303627487825,777.8717790582385,99.5788417616412,99.29148396486993,3.0163540935999045,140.65504934610053,-0.7663066538994769,0.03066011631690403,0.006108355503579858,-0.0009550244654491562,0.9995107469100801,0.0483
Basler_acA2040-35gm__23324651__20250701_095643785_0007.tiff,54.04245727558412,49.27111566212448,773.234531923049,-49.11901199117637,-46.19279407039941,777.8163903127532,99.57082801816617,99.24517563782038,3.5616778903349022,140.6294429662563,-0.7919130337436968,0.0330561145955698,0.00704549427339679,-0.0009114311147945644,0.9994282483458286,0.0433
Basler_acA2040-35gm__23324651__20250701_095643785_0008.tiff,54.051219754819364,49.279255356413614,773.363410868208,-49.11824775576788,-46.19134939963899,777.8029313605044,99.5775647785293,99.25309559724154,3.378808702588443,140.6352898141361,-0.7860661858639162,0.03187481308529016,0.006162275394099563,-0.0009516074774104453,0.9994724193773202,0.0401
Basler_acA2040-35gm__23324651__20250701_095643785_0009.tiff,54.051219754819364,49.279255356413614,773.363410868208,-49.11824775576788,-46.19134939963899,777.8029313605044,99.5775647785293,99.25309559724154,3.378808702588443,140.6352898141361,-0.7860661858639162,0.03187481308529016,0.006162275394099563,-0.0009516074774104453,0.9994724193773202,0.0421
