image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250710_164529554_0000.tiff,59.72434211023137,36.55540361632026,776.0658144063432,-39.60367696251002,-48.55834683763316,781.299296626873,95.02819524407683,89.99376146280083,2.925787387261236,130.91140219784273,0.04887899784273486,-0.0009367462872714056,-0.0021996498492150773,-0.0008719112982244177,0.9999967619035685,0.0757
Basler_acA2040-35gm__23324651__20250710_164529554_0001.tiff,59.715048586717366,36.55677521491549,776.0302005974444,-39.605154810454565,-48.54907792676768,781.1926109496617,95.02294418588968,89.98012190101745,2.894350254782463,130.89751534110198,0.03499214110198068,-0.0010171315311257637,-0.0023138853681536255,-0.0009205938869446576,0.9999963819358781,0.0668
Basler_acA2040-35gm__23324651__20250710_164529554_0002.tiff,59.69246130927686,36.55126648420862,775.8969334043353,-39.61398273170256,-48.54569594892207,781.1905416485706,95.00041305452108,89.98080599044039,3.108247807748432,130.88653533367466,0.024012133674659708,0.0003782093394054953,-0.0009414256011379823,-0.0008344444530705871,0.9999991371886218,0.0662
Basler_acA2040-35gm__23324651__20250710_164529554_0003.tiff,59.69246130927686,36.55126648420862,775.8969334043353,-39.61398273170256,-48.54569594892207,781.1905416485706,95.00041305452108,89.98080599044039,3.108247807748432,130.88653533367466,0.024012133674659708,0.0003782093394054953,-0.0009414256011379823,-0.0008344444530705871,0.9999991371886218,0.0568
Basler_acA2040-35gm__23324651__20250710_164529554_0004.tiff,59.69327335263186,36.557076702981476,775.967882781286,-39.62192160866724,-48.54939455324446,781.2967380017723,95.01484978404726,89.99677643396612,2.7883059118793962,130.90078723158456,0.0382640315845606,-0.0001388703266269246,7.661157431365887e-05,-0.0008193005246465033,0.9999996517961142,0.0629
Basler_acA2040-35gm__23324651__20250710_164529554_0005.tiff,59.698210214408256,36.556433210589596,775.981987603263,-39.60736633784914,-48.540916596562376,781.1365734168611,95.00854941285023,89.97655532060183,2.705783544828644,130.8805800471819,0.01805684718189582,-0.0006634173966282424,-0.0011986960571524503,-0.0008327930500061065,0.9999987147296022,0.0660
Basler_acA2040-35gm__23324651__20250710_164529554_0006.tiff,59.704996771159834,36.554340030834815,775.9664581256785,-39.61261843413379,-48.55058072779543,781.2790148839144,95.02964832117559,89.97625679652421,2.9493456136238105,130.90095296333402,0.03842976333402248,-0.0006158018507667884,-0.0009671590846871281,-0.0009423618499315893,0.9999988986721582,0.0580
Basler_acA2040-35gm__23324651__20250710_164529554_0007.tiff,59.71819111084731,36.56314152352397,776.0757029836955,-39.60731589353637,-48.550179484511986,781.2600526174589,95.03075350407732,89.99152934042546,2.718781204619325,130.9072619674705,0.044738767470505536,-0.0012252176247206418,-0.0010331940602699144,-0.0008771660552979949,0.9999983309643659,0.0696
Basler_acA2040-35gm__23324651__20250710_164529554_0008.tiff,59.71819111084731,36.56314152352397,776.0757029836955,-39.60731589353637,-48.550179484511986,781.2600526174589,95.03075350407732,89.99152934042546,2.718781204619325,130.9072619674705,0.044738767470505536,-0.0012252176247206418,-0.0010331940602699144,-0.0008771660552979949,0.9999983309643659,0.0653
Basler_acA2040-35gm__23324651__20250710_164529554_0009.tiff,59.72465331938051,36.55381376950461,775.9897909028189,-39.594685410191985,-48.548065584348436,781.1741885033707,95.02812353604348,89.96736071055957,3.0114178907025835,130.89514465295466,0.03262145295465757,-0.0007151269812433209,-0.002892462951037644,-0.0008745171605771857,0.9999951787239842,0.0658
