image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250701_095643785_0000.tiff,53.197478190457865,49.47826084458606,772.698522130775,-49.995543075959255,-46.004165993385904,777.041613425548,99.58089385916077,99.28914173032904,3.1413098573385145,140.65758392264036,-0.763772077359647,0.030784017442875,0.007555002014365282,-0.0008855568067707764,0.9994971145550055,0.0703
Basler_acA2040-35gm__23324651__20250701_095643785_0001.tiff,53.197478190457865,49.47826084458606,772.698522130775,-49.995543075959255,-46.004165993385904,777.041613425548,99.58089385916077,99.28914173032904,3.1413098573385145,140.65758392264036,-0.763772077359647,0.030784017442875,0.007555002014365282,-0.0008855568067707764,0.9994971145550055,0.0520
Basler_acA2040-35gm__23324651__20250701_095643785_0002.tiff,53.188353788501125,49.4774860019254,772.7564144164579,-50.00947016946961,-46.00907514420223,777.1527276705672,99.57167929093173,99.32053023837835,2.7775449146600906,140.6655672131661,-0.7557887868339037,0.028616981323750307,0.009010329152860758,-0.0007341606974190276,0.9995495702347851,0.0790
Basler_acA2040-35gm__23324651__20250701_095643785_0003.tiff,53.188353788501125,49.4774860019254,772.7564144164579,-50.00947016946961,-46.00907514420223,777.1527276705672,99.57167929093173,99.32053023837835,2.7775449146600906,140.6655672131661,-0.7557887868339037,0.028616981323750307,0.009010329152860758,-0.0007341606974190276,0.9995495702347851,0.0725
Basler_acA2040-35gm__23324651__20250701_095643785_0004.tiff,53.18993526249566,49.473390470092085,772.6933600865575,-50.008475312588274,-46.00884406042199,777.1453788278808,99.60096394737958,99.2769134061197,3.214338554568652,140.66481268262075,-0.7565433173792542,0.030599152116283473,0.008403340129339801,-0.0009674162467984166,0.9994959428983394,0.0648
Basler_acA2040-35gm__23324651__20250701_095643785_0005.tiff,53.18671005691625,49.4742555597576,772.6557085264544,-50.00807464722334,-46.00872793402713,777.1711424836159,99.59389388209425,99.28882393104831,3.0559146946557147,140.6646823862677,-0.7566736137322891,0.03023482057154011,0.00902218628202315,-0.0009137613697344652,0.9995016862516333,0.0696
Basler_acA2040-35gm__23324651__20250701_095643785_0006.tiff,53.21451140721378,49.47546044910553,772.7214420647532,-49.97671299185124,-46.0099078761339,777.0605139931812,99.58413936867909,99.29283257407786,2.940151016622372,140.65813841504124,-0.7632175849587668,0.03021444291079723,0.006621565991719534,-0.0009788295346847995,0.9995210273906946,0.0729
Basler_acA2040-35gm__23324651__20250701_095643785_0007.tiff,53.21027348259854,49.46343519811112,772.4838328712973,-49.95719402820261,-46.001401312977485,777.0049784874827,99.57624331698126,99.2466437521451,3.489640551114337,140.63250733867986,-0.7888486613201451,0.032626515635831084,0.007553495573013817,-0.0009346600392279207,0.999438633230027,0.0622
Basler_acA2040-35gm__23324651__20250701_095643785_0008.tiff,53.21894159496531,49.47165026158535,772.6133201045682,-49.95641812768291,-45.999960094067134,776.991572649383,99.58293919362725,99.25457246946499,3.304602639898846,140.63837432630385,-0.7829816736961561,0.03143602704531357,0.0066694935012687135,-0.0009750186165860988,0.999483038074554,0.0688
Basler_acA2040-35gm__23324651__20250701_095643785_0009.tiff,53.21894159496531,49.47165026158535,772.6133201045682,-49.95641812768291,-45.999960094067134,776.991572649383,99.58293919362725,99.25457246946499,3.304602639898846,140.63837432630385,-0.7829816736961561,0.03143602704531357,0.0066694935012687135,-0.0009750186165860988,0.999483038074554,0.0666
Basler_acA2040-35gm__23324651__20250701_095643785_0010.tiff,53.22062785461508,49.46239669626057,772.5512595602297,-49.95569052490116,-46.013220720341735,777.084732795558,99.5804626278126,99.26939527240111,3.2889512144079758,140.64671547891956,-0.7746405210804426,0.031305063456269974,0.008042268663723446,-0.0008900274873266645,0.9994771246846079,0.0669
Basler_acA2040-35gm__23324651__20250701_095643785_0011.tiff,53.22062785461508,49.46239669626057,772.5512595602297,-49.95569052490116,-46.013220720341735,777.084732795558,99.5804626278126,99.26939527240111,3.2889512144079758,140.64671547891956,-0.7746405210804426,0.031305063456269974,0.008042268663723446,-0.0008900274873266645,0.9994771246846079,0.0582
Basler_acA2040-35gm__23324651__20250701_095643785_0012.tiff,53.21163808994134,49.481805759247614,772.694642561753,-49.9719443243972,-46.000204502072734,776.98920512954,99.58585946683476,99.26940538328492,3.2172939170982406,140.64888634841057,-0.7724696515894323,0.03207002872859285,0.006742152356057196,-0.0010662642146495034,0.9994623153073754,0.0558
Basler_acA2040-35gm__23324651__20250701_095643785_0013.tiff,53.20009444553966,49.461777998598535,772.5519178854537,-49.9783262881113,-46.007608868987525,777.009166444369,99.58106462824992,99.2614067173458,3.2927348324802708,140.64159199425703,-0.779764005742976,0.031188512186967176,0.006873594120668252,-0.0009728298366561859,0.9994894116565401,0.0610
Basler_acA2040-35gm__23324651__20250701_095643785_0014.tiff,53.18689774670267,49.47342612723896,772.6771189310173,-50.00830716870418,-46.00818999474001,777.1182953722887,99.58455270685347,99.28407178634853,3.3620432298505643,140.66169835097352,-0.7596576490264795,0.030708916729877547,0.007371052460681845,-0.0008734560299730075,0.9995008089508798,0.0664
Basler_acA2040-35gm__23324651__20250701_095643785_0015.tiff,53.20315413330937,49.4699220559216,772.6525370615317,-49.984160666087256,-46.008176233577394,777.0716082340956,99.58368582141568,99.28597994157535,2.932760436834214,140.65282570399071,-0.7685302960092883,0.03043449722536669,0.008091894082634454,-0.0010063971475537292,0.9995035016414779,0.0560
Basler_acA2040-35gm__23324651__20250701_095643785_0016.tiff,53.19005467131725,49.46909855424328,772.5705844098806,-49.991989153066115,-45.99834273865637,777.0209874506694,99.57543497673285,99.27163563819936,3.201204293186155,140.64271258055172,-0.7786434194482865,0.031397029816195084,0.008432461839138615,-0.0008498761339144087,0.9994710590190241,0.0579
Basler_acA2040-35gm__23324651__20250701_095643785_0017.tiff,53.19005467131725,49.46909855424328,772.5705844098806,-49.991989153066115,-45.99834273865637,777.0209874506694,99.57543497673285,99.27163563819936,3.201204293186155,140.64271258055172,-0.7786434194482865,0.031397029816195084,0.008432461839138615,-0.0008498761339144087,0.9994710590190241,0.0583
Basler_acA2040-35gm__23324651__20250701_095643785_0018.tiff,53.20197328274344,49.459020039744985,772.4477636194249,-49.975652017377335,-46.016236156791564,777.1669499898355,99.60771343137411,99.23744176254436,3.694753816421037,140.65353756079185,-0.7678184392081562,0.03214331402770765,0.007926228153102035,-0.0008743231156445237,0.9994514584659281,0.0652
Basler_acA2040-35gm__23324651__20250701_095643785_0019.tiff,53.22528585241228,49.46524758860046,772.5936704597898,-49.95003082377865,-46.01565536415176,777.0977325314734,99.59628798859818,99.24568156300519,3.5929771829975587,140.64862379366087,-0.7727322063391284,0.031557640600154875,0.006529994491408582,-0.0009830554918640972,0.9994801189086221,0.0597
Basler_acA2040-35gm__23324651__20250701_095643785_0020.tiff,53.22528585241228,49.46524758860046,772.5936704597898,-49.95003082377865,-46.01565536415176,777.0977325314734,99.59628798859818,99.24568156300519,3.5929771829975587,140.64862379366087,-0.7727322063391284,0.031557640600154875,0.006529994491408582,-0.0009830554918640972,0.9994801189086221,0.0671
