image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250710_164529554_0000.tiff,61.9334,-53.0182,786.101,-28.3344,41.6212,789.198,94.9826,-89.9551,0.91832,130.822,-0.0402246,-0.999953,0.00203136,0.00950901,0.000412929,0.115976
Basler_acA2040-35gm__23324651__20250710_164529554_0001.tiff,61.9264,-53.0152,786.108,-28.3421,41.6245,789.201,94.9831,-89.956,0.888095,130.823,-0.0395588,-0.999953,0.00202098,0.00944794,0.000417277,0.0913466
Basler_acA2040-35gm__23324651__20250710_164529554_0002.tiff,61.9143,-53.0143,786.114,-28.3544,41.6276,789.205,94.984,-89.9568,0.941491,130.825,-0.0379277,-0.999952,0.00204896,0.00958054,0.000417385,0.103801
Basler_acA2040-35gm__23324651__20250710_164529554_0003.tiff,61.9143,-53.0143,786.114,-28.3544,41.6276,789.205,94.984,-89.9568,0.941491,130.825,-0.0379277,-0.999952,0.00204896,0.00958054,0.000417385,0.115176
Basler_acA2040-35gm__23324651__20250710_164529554_0004.tiff,61.9077,-53.0108,786.098,-28.3573,41.6284,789.183,94.981,-89.9533,0.928705,130.82,-0.0426267,-0.999951,0.00204447,0.00966091,0.000411947,0.108482
Basler_acA2040-35gm__23324651__20250710_164529554_0005.tiff,61.9162,-53.0106,786.105,-28.3517,41.6289,789.212,94.9839,-89.9542,0.947953,130.823,-0.0397666,-0.999953,0.00203619,0.00951654,0.000415147,0.0980403
Basler_acA2040-35gm__23324651__20250710_164529554_0006.tiff,61.9202,-53.0119,786.101,-28.3471,41.6275,789.197,94.9836,-89.9533,0.950665,130.822,-0.0405104,-0.999951,0.00209758,0.0097124,0.000402437,0.107555
Basler_acA2040-35gm__23324651__20250710_164529554_0007.tiff,61.9269,-53.0114,786.099,-28.341,41.6277,789.2,94.9837,-89.954,0.93071,130.822,-0.0401894,-0.999952,0.00188959,0.00962415,0.000412902,0.0921677
Basler_acA2040-35gm__23324651__20250710_164529554_0008.tiff,61.9269,-53.0114,786.099,-28.341,41.6277,789.2,94.9837,-89.954,0.93071,130.822,-0.0401894,-0.999952,0.00188959,0.00962415,0.000412902,0.0915475
Basler_acA2040-35gm__23324651__20250710_164529554_0009.tiff,61.9373,-53.0138,786.099,-28.3321,41.6243,789.209,94.9836,-89.9547,0.921219,130.823,-0.0397783,-0.999954,0.00194946,0.00939561,0.000418912,0.0997039
Basler_acA2040-35gm__23324651__20250710_164529554_0010.tiff,61.9356,-53.0136,786.082,-28.3315,41.6246,789.202,94.9823,-89.9538,0.97244,130.822,-0.0409976,-0.999952,0.0019989,0.00960334,0.000418711,0.0928426
Basler_acA2040-35gm__23324651__20250710_164529554_0011.tiff,61.9356,-53.0136,786.082,-28.3315,41.6246,789.202,94.9823,-89.9538,0.97244,130.822,-0.0409976,-0.999952,0.0019989,0.00960334,0.000418711,0.102627
