image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250701_094915538_0000.tiff,64.83988976022455,49.66298282732583,971.5693652791759,-38.34216916928303,-45.89220113271531,975.6513864346484,99.58159059283439,99.3316829701972,3.2736732568702243,140.69112752154416,-0.7302284784558424,0.03338292869438543,0.0036926941751706014,-0.0009237908835989697,0.9994353859514469,0.0451
Basler_acA2040-35gm__23324651__20250701_094915538_0001.tiff,64.80432425279486,49.63975937359534,971.0317566791759,-38.33511387068795,-45.879866753323704,975.6222921760765,99.60533110135994,99.19643289032345,4.654181563546245,140.65139774635173,-0.7699582536482694,0.035761499399939736,-0.0003926739398542342,-0.0010860331842403696,0.9993596857487137,0.0468
Basler_acA2040-35gm__23324651__20250701_094915538_0002.tiff,64.80432425279486,49.63975937359534,971.0317566791759,-38.33511387068795,-45.879866753323704,975.6222921760765,99.60533110135994,99.19643289032345,4.654181563546245,140.65139774635173,-0.7699582536482694,0.035761499399939736,-0.0003926739398542342,-0.0010860331842403696,0.9993596857487137,0.0403
Basler_acA2040-35gm__23324651__20250701_094915538_0003.tiff,64.82714631763109,49.66262611906851,971.5213816611983,-38.324976048080295,-45.86820653733363,975.5300116401293,99.582887783963,99.25092996032434,3.882114565750605,140.65052239819155,-0.7708336018084481,0.03501732980568287,-0.0005454656914679501,-0.00122083830191933,0.9993858107029037,0.0419
Basler_acA2040-35gm__23324651__20250701_094915538_0004.tiff,64.82728074038637,49.687402302376,971.663111955349,-38.34768290898024,-45.86641806516068,975.5653579057715,99.5861255085345,99.30673746037527,3.4071594491148494,140.67989634036977,-0.7414596596302374,0.03253197125448024,-0.0009180631327465221,-0.0011698444100097236,0.9994695890673405,0.0405
Basler_acA2040-35gm__23324651__20250701_094915538_0005.tiff,64.81918707990484,49.65721227654296,971.430271795002,-38.3443378679534,-45.870168023322194,975.4528831046022,99.57087882914361,99.28000501937765,3.673603260411329,140.65693963815136,-0.7644163618486459,0.03372759568934465,-0.0003484596870614265,-0.0009853814608876217,0.9994305162882706,0.0401
Basler_acA2040-35gm__23324651__20250701_094915538_0006.tiff,64.81918707990484,49.65721227654296,971.430271795002,-38.3443378679534,-45.870168023322194,975.4528831046022,99.57087882914361,99.28000501937765,3.673603260411329,140.65693963815136,-0.7644163618486459,0.03372759568934465,-0.0003484596870614265,-0.0009853814608876217,0.9994305162882706,0.0400
Basler_acA2040-35gm__23324651__20250701_094915538_0007.tiff,64.81918707990484,49.65721227654296,971.430271795002,-38.3443378679534,-45.870168023322194,975.4528831046022,99.57087882914361,99.28000501937765,3.673603260411329,140.65693963815136,-0.7644163618486459,0.03372759568934465,-0.0003484596870614265,-0.0009853814608876217,0.9994305162882706,0.0461
Basler_acA2040-35gm__23324651__20250701_094915538_0008.tiff,64.8290177997976,49.63991605486154,971.6131580832515,-38.32274187371662,-45.87705265466074,975.3417466503591,99.54767640854845,99.30074804165986,2.701993324707108,140.63313694823512,-0.7882190517648837,0.0326543958956166,-0.0005519818361821953,-0.0010696059559194406,0.9994659782543095,0.0446
Basler_acA2040-35gm__23324651__20250701_094915538_0009.tiff,64.82183614146612,49.6412790924235,971.432911427841,-38.35366110660853,-45.90053899580125,975.7894652439397,99.59882473686338,99.28976061599681,3.7442415783541794,140.6854711658011,-0.735884834198913,0.03290722743354918,0.000794048969880108,-0.0009470344850538777,0.9994576464235762,0.0478
Basler_acA2040-35gm__23324651__20250701_094915538_0010.tiff,64.82183614146612,49.6412790924235,971.432911427841,-38.35366110660853,-45.90053899580125,975.7894652439397,99.59882473686338,99.28976061599681,3.7442415783541794,140.6854711658011,-0.735884834198913,0.03290722743354918,0.000794048969880108,-0.0009470344850538777,0.9994576464235762,0.0404
Basler_acA2040-35gm__23324651__20250701_094915538_0011.tiff,64.84823551966805,49.65424580460785,971.6384896457724,-38.31685088215441,-45.88294709747476,975.4181399704588,99.5520190923595,99.32328547648589,2.9927400944803617,140.65801092181752,-0.763345078182482,0.03327614420478124,-0.001134715886752955,-0.0011051847401721254,0.9994449405612142,0.0408
Basler_acA2040-35gm__23324651__20250701_094915538_0012.tiff,64.84044730539527,49.65281528302044,971.5694230887254,-38.3285884439788,-45.88595705996693,975.560589224546,99.57588227367584,99.30127896108513,3.3669023591883507,140.66782277900128,-0.7535332209987189,0.03381745130463227,0.0003409597619557962,-0.0010952142535562118,0.9994273681661107,0.0444
Basler_acA2040-35gm__23324651__20250701_094915538_0013.tiff,64.85083166263087,49.66313744335685,971.6986800015293,-38.31962735368765,-45.87333771823607,975.3693072445794,99.57350134466597,99.29179432752537,3.3305575330777604,140.65857671787006,-0.7627792821299408,0.032918063320630915,-0.001906046859354382,-0.0010871076187026966,0.9994556449836153,0.0400
Basler_acA2040-35gm__23324651__20250701_094915538_0014.tiff,64.85083166263087,49.66313744335685,971.6986800015293,-38.31962735368765,-45.87333771823607,975.3693072445794,99.57350134466597,99.29179432752537,3.3305575330777604,140.65857671787006,-0.7627792821299408,0.032918063320630915,-0.001906046859354382,-0.0010871076187026966,0.9994556449836153,0.0425
