image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250701_094915538_0000.tiff,64.83463870593576,49.659750269020876,971.5051249416798,-38.34244685670188,-45.892387869069104,975.6587216418951,99.58879363932463,99.31332322339081,3.4511541980672966,140.68750638741352,-0.7338496125864822,0.03367175456692705,0.0034224188819423243,-0.0009554328312810133,0.9994266291937023,0.0613
Basler_acA2040-35gm__23324651__20250701_094915538_0001.tiff,64.80016039453973,49.63707325043797,970.9796325414801,-38.33556295514194,-45.880302507939206,975.6334367735473,99.61113587608021,99.18037690222695,4.804044490717252,140.64922465644628,-0.772131343553724,0.03593846689311522,-0.0006260021490532019,-0.001111598198050276,0.9993531903527041,0.0432
Basler_acA2040-35gm__23324651__20250701_094915538_0002.tiff,64.80016039453973,49.63707325043797,970.9796325414801,-38.33556295514194,-45.880302507939206,975.6334367735473,99.61113587608021,99.18037690222695,4.804044490717252,140.64922465644628,-0.772131343553724,0.03593846689311522,-0.0006260021490532019,-0.001111598198050276,0.9993531903527041,0.0467
Basler_acA2040-35gm__23324651__20250701_094915538_0003.tiff,64.82357044017198,49.660300271246385,971.4756325992032,-38.3252086981166,-45.86855915094466,975.537925007471,99.58789432888445,99.23752134049425,4.01266758757024,140.64826994966714,-0.7730860503328643,0.03513835444797453,-0.0007457294809342798,-0.0012408255704986493,0.9993814088155399,0.0426
Basler_acA2040-35gm__23324651__20250701_094915538_0004.tiff,64.82539688307345,49.686121285487225,971.6367632139345,-38.347815360853176,-45.866537061122784,975.5683822187079,99.58903215335869,99.29937721669508,3.483996120376198,140.67864041791492,-0.7427155820850828,0.032682449195028745,-0.0010141707712121389,-0.0011817871465084203,0.999464572834576,0.0468
Basler_acA2040-35gm__23324651__20250701_094915538_0005.tiff,64.8168213211536,49.65563119704899,971.3987601455503,-38.34466139815887,-45.87043256473404,975.4609560835303,99.5752091766733,99.2703659535641,3.767488735617386,140.6556853117064,-0.7656706882935964,0.03386651037888525,-0.000482702669812162,-0.0010035282314621657,0.9994257448174817,0.0463
Basler_acA2040-35gm__23324651__20250701_094915538_0006.tiff,64.8168213211536,49.65563119704899,971.3987601455503,-38.34466139815887,-45.87043256473404,975.4609560835303,99.5752091766733,99.2703659535641,3.767488735617386,140.6556853117064,-0.7656706882935964,0.03386651037888525,-0.000482702669812162,-0.0010035282314621657,0.9994257448174817,0.0431
Basler_acA2040-35gm__23324651__20250701_094915538_0007.tiff,64.8168213211536,49.65563119704899,971.3987601455503,-38.34466139815887,-45.87043256473404,975.4609560835303,99.5752091766733,99.2703659535641,3.767488735617386,140.6556853117064,-0.7656706882935964,0.03386651037888525,-0.000482702669812162,-0.0010035282314621657,0.9994257448174817,0.0432
Basler_acA2040-35gm__23324651__20250701_094915538_0008.tiff,64.82622989282544,49.63808332572041,971.5774279577287,-38.32337051734645,-45.87768294435674,975.3577738450405,99.5532806704596,99.2906238380242,2.81229649406467,140.6321182588311,-0.789237741168904,0.03276263449700507,-0.0006640294820806368,-0.0010849241453224376,0.9994623513596004,0.0474
Basler_acA2040-35gm__23324651__20250701_094915538_0009.tiff,64.81692265710639,49.63803556178864,971.3696289404826,-38.35389209867644,-45.90056701098659,975.7939524317164,99.60592616484006,99.27088007445661,3.9202141999019613,140.6819684155927,-0.7393875844072966,0.03314274415796492,0.00046793087382167797,-0.0009804859877657701,0.99945003786963,0.0497
Basler_acA2040-35gm__23324651__20250701_094915538_0010.tiff,64.81692265710639,49.63803556178864,971.3696289404826,-38.35389209867644,-45.90056701098659,975.7939524317164,99.60592616484006,99.27088007445661,3.9202141999019613,140.6819684155927,-0.7393875844072966,0.03314274415796492,0.00046793087382167797,-0.0009804859877657701,0.99945003786963,0.0503
Basler_acA2040-35gm__23324651__20250701_094915538_0011.tiff,64.84439059630876,49.65175473825281,971.5903117366383,-38.31705034131911,-45.88312880891966,975.425096023229,99.55834325223664,99.30873987854878,3.132557075095521,140.65526097954591,-0.7660950204540882,0.03344058342024171,-0.0013795982738725738,-0.0011316565193965971,0.9994391144250052,0.0537
Basler_acA2040-35gm__23324651__20250701_094915538_0012.tiff,64.83648522069504,49.65027228644417,971.5207293786272,-38.32908844883449,-45.88637515551947,975.5731477859799,99.58269665020606,99.28631261115866,3.510462350425625,140.66559170586615,-0.7557642941338543,0.033955865377150424,7.812829747645781e-05,-0.0011217489104326935,0.9994227007537101,0.0602
Basler_acA2040-35gm__23324651__20250701_094915538_0013.tiff,64.84741634504807,49.660808677370625,971.6523815791113,-38.32022598607953,-45.87403163341866,975.3864776847939,99.58042612831211,99.27787901486104,3.471754817428563,140.65707096018298,-0.7642850398170253,0.033084729734319945,-0.002041002153404613,-0.0011106643827601796,0.9994498493637615,0.0456
