image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250710_164008603_0000.tiff,74.7798,-52.2672,987.583,-15.6018,42.2746,990.654,94.9935,-89.957,0.630406,130.83,-0.0327868,0.999937,0.00108216,-0.0111542,-0.000349296,0.0942113
Basler_acA2040-35gm__23324651__20250710_164008603_0001.tiff,74.7798,-52.2672,987.583,-15.6018,42.2746,990.654,94.9935,-89.957,0.630406,130.83,-0.0327868,0.999937,0.00108216,-0.0111542,-0.000349296,0.0917226
Basler_acA2040-35gm__23324651__20250710_164008603_0002.tiff,74.8048,-52.2686,987.579,-15.5785,42.272,990.641,94.9928,-89.9583,0.572645,130.83,-0.032673,0.999938,0.00131149,-0.0110223,-0.000359184,0.0742421
Basler_acA2040-35gm__23324651__20250710_164008603_0003.tiff,74.7956,-52.2763,987.582,-15.5873,42.2648,990.648,94.9944,-89.9565,0.606602,130.83,-0.0325736,0.999937,0.00132403,-0.011099,-0.000347155,0.0748817
Basler_acA2040-35gm__23324651__20250710_164008603_0004.tiff,74.8027,-52.2818,987.571,-15.5797,42.2563,990.641,94.9901,-89.9574,0.622436,130.828,-0.0349805,0.999939,0.000934016,-0.0110345,-0.000365405,0.0908625
Basler_acA2040-35gm__23324651__20250710_164008603_0005.tiff,74.8027,-52.2818,987.571,-15.5797,42.2563,990.641,94.9901,-89.9574,0.622436,130.828,-0.0349805,0.999939,0.000934016,-0.0110345,-0.000365405,0.078907
Basler_acA2040-35gm__23324651__20250710_164008603_0006.tiff,74.7874,-52.2821,987.573,-15.5957,42.2589,990.659,94.994,-89.9579,0.585326,130.831,-0.031984,0.999941,0.00113907,-0.0108228,-0.00035214,0.0763502
Basler_acA2040-35gm__23324651__20250710_164008603_0007.tiff,74.7757,-52.2795,987.606,-15.6072,42.2633,990.662,94.9952,-89.9577,0.532854,130.831,-0.0315179,0.99994,0.00126867,-0.0108362,-0.000337177,0.0682682
Basler_acA2040-35gm__23324651__20250710_164008603_0008.tiff,74.7757,-52.2795,987.606,-15.6072,42.2633,990.662,94.9952,-89.9577,0.532854,130.831,-0.0315179,0.99994,0.00126867,-0.0108362,-0.000337177,0.0777319
Basler_acA2040-35gm__23324651__20250710_164008603_0009.tiff,74.7582,-52.2706,987.588,-15.6222,42.2715,990.636,94.9918,-89.9575,0.555675,130.829,-0.0339717,0.999937,0.00123433,-0.0111775,-0.000347717,0.0671592
Basler_acA2040-35gm__23324651__20250710_164008603_0010.tiff,74.7582,-52.2706,987.588,-15.6222,42.2715,990.636,94.9918,-89.9575,0.555675,130.829,-0.0339717,0.999937,0.00123433,-0.0111775,-0.000347717,0.0659233
Basler_acA2040-35gm__23324651__20250710_164008603_0011.tiff,74.7617,-52.2657,987.597,-15.6205,42.2768,990.639,94.9937,-89.9578,0.512098,130.83,-0.0325512,0.999939,0.00131531,-0.0109595,-0.000347885,0.0664365
Basler_acA2040-35gm__23324651__20250710_164008603_0012.tiff,74.7764,-52.2647,987.592,-15.6074,42.2779,990.669,94.9945,-89.9595,0.585412,130.832,-0.0305048,0.99994,0.00102906,-0.0108917,-0.000351592,0.0652278
Basler_acA2040-35gm__23324651__20250710_164008603_0013.tiff,74.8003,-52.2643,987.592,-15.5848,42.2762,990.655,94.9928,-89.9601,0.542601,130.831,-0.0315696,0.999941,0.00122515,-0.0107561,-0.00035932,0.0755868
Basler_acA2040-35gm__23324651__20250710_164008603_0014.tiff,74.8,-52.2679,987.588,-15.5849,42.2721,990.647,94.992,-89.9602,0.534523,130.83,-0.0320811,0.999943,0.00113375,-0.0106003,-0.000369544,0.0737604
Basler_acA2040-35gm__23324651__20250710_164008603_0015.tiff,74.8,-52.2679,987.588,-15.5849,42.2721,990.647,94.992,-89.9602,0.534523,130.83,-0.0320811,0.999943,0.00113375,-0.0106003,-0.000369544,0.0663571
Basler_acA2040-35gm__23324651__20250710_164008603_0016.tiff,74.797,-52.273,987.579,-15.5862,42.2672,990.665,94.9941,-89.957,0.59427,130.83,-0.0324927,0.99994,0.00141663,-0.0108894,-0.000360629,0.0662927
Basler_acA2040-35gm__23324651__20250710_164008603_0017.tiff,74.8029,-52.2777,987.561,-15.5797,42.262,990.674,94.9923,-89.9583,0.662581,130.83,-0.0325918,0.99994,0.00118559,-0.0108527,-0.000356498,0.0755166
Basler_acA2040-35gm__23324651__20250710_164008603_0018.tiff,74.7898,-52.2747,987.576,-15.5926,42.2662,990.66,94.9941,-89.9567,0.633428,130.83,-0.0325038,0.999938,0.0011755,-0.0110822,-0.0003472,0.065828
Basler_acA2040-35gm__23324651__20250710_164008603_0019.tiff,74.7751,-52.2731,987.596,-15.6068,42.2695,990.646,94.9935,-89.9577,0.573347,130.83,-0.032536,0.999939,0.00118789,-0.011009,-0.000343913,0.0699685
Basler_acA2040-35gm__23324651__20250710_164008603_0020.tiff,74.7751,-52.2731,987.596,-15.6068,42.2695,990.646,94.9935,-89.9577,0.573347,130.83,-0.032536,0.999939,0.00118789,-0.011009,-0.000343913,0.0732515
Basler_acA2040-35gm__23324651__20250710_164008603_0021.tiff,74.7675,-52.2705,987.614,-15.6148,42.2729,990.675,94.995,-89.9578,0.572895,130.831,-0.0313978,0.999939,0.00134805,-0.0109545,-0.000342331,0.071673
Basler_acA2040-35gm__23324651__20250710_164008603_0022.tiff,74.7638,-52.2642,987.594,-15.6178,42.2798,990.667,94.9931,-89.9602,0.574983,130.831,-0.0311231,0.999942,0.00106466,-0.0107159,-0.000353616,0.0639435
Basler_acA2040-35gm__23324651__20250710_164008603_0023.tiff,74.7761,-52.2628,987.612,-15.6076,42.2804,990.662,94.9939,-89.9599,0.547261,130.832,-0.030841,0.999942,0.0011346,-0.0106894,-0.000346588,0.0646272
Basler_acA2040-35gm__23324651__20250710_164008603_0024.tiff,74.7761,-52.2628,987.612,-15.6076,42.2804,990.662,94.9939,-89.9599,0.547261,130.832,-0.030841,0.999942,0.0011346,-0.0106894,-0.000346588,0.0870046
Basler_acA2040-35gm__23324651__20250710_164008603_0025.tiff,74.7927,-52.2608,987.622,-15.5936,42.2814,990.674,94.995,-89.9606,0.535622,130.833,-0.0296659,0.999939,0.0014372,-0.0109492,-0.000359978,0.0661466
