image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250701_095246250_0000.tiff,59.38323665109285,49.470502719058935,872.3437054876484,-43.78358398270962,-46.03350225117539,877.0584022600274,99.60395963414281,99.26489642834412,3.4882335024135624,140.6649786218915,-0.7563773781085104,0.03227398368217282,0.00600242510876423,-0.0009694395361364668,0.9994605650334997,0.0595
Basler_acA2040-35gm__23324651__20250701_095246250_0001.tiff,59.38323665109285,49.470502719058935,872.3437054876484,-43.78358398270962,-46.03350225117539,877.0584022600274,99.60395963414281,99.26489642834412,3.4882335024135624,140.6649786218915,-0.7563773781085104,0.03227398368217282,0.00600242510876423,-0.0009694395361364668,0.9994605650334997,0.0461
Basler_acA2040-35gm__23324651__20250701_095246250_0002.tiff,59.38864495554448,49.462535013986916,872.2749310183233,-43.774876015179274,-46.03558152367196,877.0092835060638,99.60290733873094,99.25257613795226,3.633647540361107,140.65922086658736,-0.7621351334126416,0.03211621047233167,0.005282313660873746,-0.0009781724411631503,0.9994697040760967,0.0429
Basler_acA2040-35gm__23324651__20250701_095246250_0003.tiff,59.38864495554448,49.462535013986916,872.2749310183233,-43.774876015179274,-46.03558152367196,877.0092835060638,99.60290733873094,99.25257613795226,3.633647540361107,140.65922086658736,-0.7621351334126416,0.03211621047233167,0.005282313660873746,-0.0009781724411631503,0.9994697040760967,0.0457
Basler_acA2040-35gm__23324651__20250701_095246250_0004.tiff,59.40532657319761,49.47159260580335,872.4974151192986,-43.77816053206899,-46.041724774337254,877.0935694918121,99.62137521489738,99.27020729665882,3.428992089402394,140.67960208636563,-0.7417539136343692,0.032502891973345056,0.006014750354785952,-0.0011311580919099009,0.9994529029788796,0.0500
Basler_acA2040-35gm__23324651__20250701_095246250_0005.tiff,59.39881471145806,49.4655399257995,872.3232984021225,-43.77073921135505,-46.04161410083432,877.033769180206,99.62442876480723,99.24547884076277,3.615243394867629,140.66897974269443,-0.7523762573055706,0.03226760378907661,0.00474925759755885,-0.0010333945483239882,0.9994674473907045,0.0435
Basler_acA2040-35gm__23324651__20250701_095246250_0006.tiff,59.41494068901388,49.46220098479645,872.3504396189285,-43.76293284551654,-46.048490131292844,877.1765804300437,99.62040414067098,99.25187414535765,4.012218487664421,140.6814036740794,-0.7399523259205978,0.031593675144882996,0.00463131743796016,-0.0008697677740371235,0.9994896868370616,0.0500
Basler_acA2040-35gm__23324651__20250701_095246250_0007.tiff,59.398187613865254,49.464241261785375,872.2431754839816,-43.76504369847507,-46.029888012823626,877.0309696858656,99.60305134852689,99.24338767145453,3.832252548420012,140.65811030309902,-0.7632456969009809,0.03224547273516954,0.005342451459876958,-0.0009517250737239276,0.9994652479800727,0.0428
Basler_acA2040-35gm__23324651__20250701_095246250_0008.tiff,59.39286033407346,49.471033367735785,872.300694674225,-43.77653626444011,-46.03775524873652,877.1712562751285,99.6277754292412,99.24392708546964,3.8111372935432097,140.67542595562153,-0.7459300443784684,0.03292262099052602,0.006855962101172593,-0.0009267169571433659,0.9994339588019124,0.0448
Basler_acA2040-35gm__23324651__20250701_095246250_0009.tiff,59.39286033407346,49.471033367735785,872.300694674225,-43.77653626444011,-46.03775524873652,877.1712562751285,99.6277754292412,99.24392708546964,3.8111372935432097,140.67542595562153,-0.7459300443784684,0.03292262099052602,0.006855962101172593,-0.0009267169571433659,0.9994339588019124,0.0434
