image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250710_164311266_0000.tiff,68.342,-52.628,886.914,-21.9761,41.9668,889.941,94.9863,-89.9535,0.816426,130.823,-0.0393458,-0.999945,0.000437716,0.0104997,0.000380101,0.139898
Basler_acA2040-35gm__23324651__20250710_164311266_0001.tiff,68.3498,-52.6312,886.924,-21.9681,41.9633,889.968,94.9866,-89.9534,0.798064,130.823,-0.0393374,-0.999945,0.000231586,0.0105149,0.000385635,0.0749982
Basler_acA2040-35gm__23324651__20250710_164311266_0002.tiff,68.3642,-52.6335,886.914,-21.9545,41.9597,889.946,94.9851,-89.9541,0.783888,130.822,-0.0400506,-0.999945,0.000492539,0.0104985,0.000383093,0.104384
Basler_acA2040-35gm__23324651__20250710_164311266_0003.tiff,68.37,-52.6353,886.886,-21.9472,41.9544,889.931,94.9846,-89.9493,0.855855,130.819,-0.0432064,-0.999941,0.000681969,0.0108284,0.000370403,0.0700607
Basler_acA2040-35gm__23324651__20250710_164311266_0004.tiff,68.37,-52.6353,886.886,-21.9472,41.9544,889.931,94.9846,-89.9493,0.855855,130.819,-0.0432064,-0.999941,0.000681969,0.0108284,0.000370403,0.0738922
Basler_acA2040-35gm__23324651__20250710_164311266_0005.tiff,68.3628,-52.6359,886.892,-21.9532,41.9559,889.929,94.9824,-89.9527,0.826835,130.82,-0.0427035,-0.999944,0.000679572,0.0105616,0.000379638,0.0891011
Basler_acA2040-35gm__23324651__20250710_164311266_0006.tiff,68.3696,-52.6324,886.9,-21.9482,41.9589,889.949,94.9843,-89.9527,0.793311,130.821,-0.0415599,-0.999945,0.000591026,0.0104581,0.000376379,0.108792
Basler_acA2040-35gm__23324651__20250710_164311266_0007.tiff,68.3641,-52.6273,886.892,-21.9536,41.965,889.941,94.984,-89.9537,0.811072,130.822,-0.0408819,-0.999944,0.000752404,0.0105273,0.000375989,0.0651048
Basler_acA2040-35gm__23324651__20250710_164311266_0008.tiff,68.358,-52.6273,886.917,-21.9614,41.9668,889.94,94.9868,-89.9537,0.775477,130.823,-0.0391025,-0.999944,0.000358193,0.0105293,0.000376816,0.0714503
Basler_acA2040-35gm__23324651__20250710_164311266_0009.tiff,68.358,-52.6273,886.917,-21.9614,41.9668,889.94,94.9868,-89.9537,0.775477,130.823,-0.0391025,-0.999944,0.000358193,0.0105293,0.000376816,0.0680697
Basler_acA2040-35gm__23324651__20250710_164311266_0010.tiff,68.3498,-52.6239,886.904,-21.969,41.9698,889.963,94.9871,-89.953,0.846416,130.824,-0.0389377,-0.999945,0.000494063,0.0104651,0.00038162,0.0716628
Basler_acA2040-35gm__23324651__20250710_164311266_0011.tiff,68.3404,-52.6212,886.924,-21.9777,41.974,889.961,94.9864,-89.9542,0.822478,130.824,-0.0388295,-0.999946,0.000528771,0.0104009,0.000379528,0.064742
Basler_acA2040-35gm__23324651__20250710_164311266_0012.tiff,68.3404,-52.6212,886.924,-21.9777,41.974,889.961,94.9864,-89.9542,0.822478,130.824,-0.0388295,-0.999946,0.000528771,0.0104009,0.000379528,0.0665963
Basler_acA2040-35gm__23324651__20250710_164311266_0013.tiff,68.3449,-52.6236,886.906,-21.972,41.9712,889.933,94.9842,-89.9543,0.828565,130.822,-0.0402842,-0.999943,0.000674533,0.0106135,0.00037856,0.0640878
Basler_acA2040-35gm__23324651__20250710_164311266_0014.tiff,68.3534,-52.6261,886.906,-21.964,41.9665,889.939,94.9841,-89.9532,0.787123,130.821,-0.0413046,-0.999944,0.000479561,0.0105695,0.000380926,0.0658905
Basler_acA2040-35gm__23324651__20250710_164311266_0015.tiff,68.3632,-52.6328,886.917,-21.9558,41.9617,889.961,94.9868,-89.9545,0.77937,130.824,-0.0385869,-0.999945,0.000273582,0.0105232,0.000381407,0.0697614
Basler_acA2040-35gm__23324651__20250710_164311266_0016.tiff,68.3675,-52.6362,886.908,-21.9504,41.9558,889.939,94.983,-89.9538,0.827109,130.821,-0.0414977,-0.999944,0.000596955,0.0105892,0.000387295,0.0659136
Basler_acA2040-35gm__23324651__20250710_164311266_0017.tiff,68.3675,-52.6362,886.908,-21.9504,41.9558,889.939,94.983,-89.9538,0.827109,130.821,-0.0414977,-0.999944,0.000596955,0.0105892,0.000387295,0.0656016
Basler_acA2040-35gm__23324651__20250710_164311266_0018.tiff,68.3609,-52.6339,886.899,-21.9551,41.9585,889.951,94.9822,-89.954,0.816516,130.821,-0.0419861,-0.999944,0.000532978,0.0105584,0.000385746,0.059676
