pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,1,1,875.7567988926622,776.8840236464276,98.8727752462346,100,1.1272247537654039
0_+10,1,2,875.7567988926622,776.8840236464276,98.8727752462346,100,1.1272247537654039
0_+10,1,3,875.68957571231,776.9455961467387,98.7439795655713,100,1.2560204344287058
0_+10,1,4,875.68957571231,776.9455961467387,98.7439795655713,100,1.2560204344287058
0_+10,1,5,875.9094737936897,776.8800738115416,99.0293999821481,100,0.9706000178518934
0_+10,1,6,875.729951888996,776.8498136840246,98.88013820497133,100,1.119861795028669
0_+10,1,7,875.7547466847577,776.9101491813599,98.84459750339784,100,1.1554024966021643
0_+10,1,8,875.6581833756085,776.6764653606247,98.98171801498381,100,1.0182819850161877
0_+10,1,9,875.7128003513786,776.802746149123,98.91005420225565,100,1.089945797744349
0_+10,1,10,875.7128003513786,776.802746149123,98.91005420225565,100,1.089945797744349
0_+10,1,11,876.0041162270422,776.7478756489812,99.25624057806101,100,0.7437594219389894
0_+10,1,12,875.4970540392022,776.7478756489812,98.749178390221,100,1.2508216097789955
0_+10,1,13,875.7285305892599,776.8868094074511,98.8417211818088,100,1.1582788181912065
0_+10,1,14,875.8415445855059,776.7443389321851,99.09720565332077,100,0.9027943466792294
0_+10,1,15,875.8415445855059,776.858642653614,98.98290193189189,100,1.0170980681081119
0_+10,1,16,875.7562766791079,776.8402428690671,98.91603381004086,100,1.083966189959142
0_+10,1,17,875.7121846819808,776.7593804660812,98.95280421589962,100,1.0471957841003814
0_+10,1,18,875.7121846819808,776.7593804660812,98.95280421589962,100,1.0471957841003814
0_+10,1,19,875.7482660591564,776.6352196956113,99.1130463635451,100,0.8869536364549049
0_+10,1,20,875.8533323392919,776.788005937625,99.06532640166688,100,0.93467359833312
0_+10,1,21,875.8533323392919,776.788005937625,99.06532640166688,100,0.93467359833312
0_+10,1,22,875.6865555049179,776.7781400372164,98.9084154677015,100,1.0915845322984978
0_+10,1,23,875.7593345248918,776.8296234441879,98.9297110807039,100,1.0702889192961038
0_+10,1,24,875.7593345248918,776.8296234441879,98.9297110807039,100,1.0702889192961038
0_+10,1,25,875.6603877837914,776.8051445264254,98.85524325736606,100,1.1447567426339447
0_+10,1,26,875.6603877837914,776.8051445264254,98.85524325736606,100,1.1447567426339447
0_+10,1,27,875.4607197817696,776.8191921470703,98.64152763469929,100,1.3584723653007131
0_+10,1,28,875.4607197817696,776.7555525092567,98.70516727251288,100,1.294832727487119
0_+10,1,29,875.6197061100066,776.7628066177623,98.85689949224434,100,1.143100507755662
0_+10,1,30,875.7046760129664,776.7628066177623,98.9418693952041,100,1.058130604795906
0_+10,1,31,875.6228883006168,776.7458814322296,98.87700686838718,100,1.1229931316128159
0_+10,1,32,875.63433221868,776.7180091900341,98.91632302864593,100,1.0836769713540662
0_+10,1,33,876.0723439593006,776.6593426085549,99.41300135074573,100,0.5869986492542694
0_+10,1,34,876.0723439593006,776.6593426085549,99.41300135074573,100,0.5869986492542694
0_+10,1,35,875.8354060737173,776.6630090340324,99.17239703968494,100,0.8276029603150619
0_+10,1,36,875.6011489943882,776.7416496302111,98.85949936417705,100,1.1405006358229457
0_+10,1,37,875.5641047725546,776.7341005104581,98.83000426209651,100,1.1699957379034913
0_+10,1,38,875.5641047725546,776.7571208775663,98.80698389498832,100,1.1930161050116794
0_+10,1,39,875.8547898948178,776.7571208775663,99.09766901725152,100,0.9023309827484809
0_+10,1,40,875.8092327837752,776.7365448364296,99.07268794734557,100,0.927312052654429
0_+10,1,41,875.8092327837752,776.7979405736442,99.01129221013105,100,0.988707789868954
0_+10,1,42,875.7737325460454,776.7979405736442,98.97579197240123,100,1.0242080275987746
0_+10,1,43,875.885481218294,776.8559234134967,99.02955780479726,100,0.970442195202736
0_+10,1,44,875.7543159447691,776.8559234134967,98.8983925312724,100,1.1016074687275932
0_+10,1,45,875.5508005161817,776.8549645197443,98.69583599643738,100,1.3041640035626187
0_+10,1,46,875.5508005161817,776.8549645197443,98.69583599643738,100,1.3041640035626187
0_+10,1,47,875.7487483129313,776.7941977124289,98.95455060050244,100,1.0454493994975564
0_+10,1,48,875.8004165381758,776.7934747971957,99.0069417409801,100,0.9930582590199037
0_+10,1,49,875.8630464141239,776.8103281633429,99.05271825078103,100,0.9472817492189733
0_+10,1,50,875.8630464141239,776.8103281633429,99.05271825078103,100,0.9472817492189733
0_+10,1,51,875.7595677514074,776.6511520480624,99.10841570334503,100,0.891584296654969
0_+10,1,52,875.805891009717,776.8025735935261,99.00331741619095,100,0.9966825838090472
0_+10,1,53,875.805891009717,776.7126037916379,99.09328721807913,100,0.9067127819208736
0_+10,1,54,875.692456387967,776.7126037916379,98.97985259632912,100,1.020147403670876
0_+10,1,55,875.5338634323938,776.8831788094487,98.65068462294505,100,1.3493153770549497
0_+10,1,56,875.497197549603,776.573738126727,98.92345942287602,100,1.0765405771239784
0_+10,1,57,875.7731235667933,776.6323935668978,99.14072999989548,100,0.8592700001045159
0_+10,1,58,875.7731235667933,776.6323935668978,99.14072999989548,100,0.8592700001045159
0_+10,1,59,875.893183548965,776.6809410135799,99.21224253538514,100,0.787757464614856
0_+10,1,60,875.7186713159464,776.6809410135799,99.03773030236653,100,0.9622696976334737
0_+10,1,61,875.8366584532928,776.6937160758886,99.14294237740421,100,0.8570576225957893
0_+10,1,62,875.8366584532928,776.6937160758886,99.14294237740421,100,0.8570576225957893
