pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,1,1,875.7609490827718,776.898745138041,98.86220394473082,100,1.1377960552691775
0_+10,1,2,875.7609490827718,776.898745138041,98.86220394473082,100,1.1377960552691775
0_+10,1,3,875.6923596804338,776.9568685048721,98.73549117556172,100,1.2645088244382805
0_+10,1,4,875.6923596804338,776.9568685048721,98.73549117556172,100,1.2645088244382805
0_+10,1,5,875.9156184759354,776.8927991139699,99.0228193619655,100,0.977180638034497
0_+10,1,6,875.7413977678773,776.8554944864534,98.88590328142391,100,1.1140967185760928
0_+10,1,7,875.7693383572396,776.9225349029707,98.84680345426887,100,1.1531965457311344
0_+10,1,8,875.661471707986,776.685181643908,98.97629006407806,100,1.0237099359219428
0_+10,1,9,875.7187887274487,776.8146140715783,98.9041746558704,100,1.0958253441295938
0_+10,1,10,875.7187887274487,776.8146140715783,98.9041746558704,100,1.0958253441295938
0_+10,1,11,876.010318090096,776.7525605263228,99.25775756377323,100,0.7422424362267748
0_+10,1,12,875.5064417474139,776.7525605263228,98.75388122109109,100,1.246118778908908
0_+10,1,13,875.7266802584558,776.8957106397072,98.83096961874855,100,1.1690303812514458
0_+10,1,14,875.8422995554376,776.751747170001,99.0905523854367,100,0.9094476145633053
0_+10,1,15,875.8422995554376,776.8759956653694,98.96630389006827,100,1.033696109931725
0_+10,1,16,875.764140736199,776.8530390595372,98.91110167666181,100,1.088898323338185
0_+10,1,17,875.7192966080303,776.7705608232231,98.94873578480713,100,1.051264215192873
0_+10,1,18,875.7192966080303,776.7705608232231,98.94873578480713,100,1.051264215192873
0_+10,1,19,875.7562163383838,776.6479599928407,99.10825634554305,100,0.8917436544569455
0_+10,1,20,875.8551377289505,776.7945033264384,99.06063440251205,100,0.9393655974879493
0_+10,1,21,875.8551377289505,776.7945033264384,99.06063440251205,100,0.9393655974879493
0_+10,1,22,875.6904076603864,776.7808490390729,98.90955862131352,100,1.090441378686478
0_+10,1,23,875.7604170997151,776.8294712609583,98.93094583875688,100,1.0690541612431161
0_+10,1,24,875.7604170997151,776.8294712609583,98.93094583875688,100,1.0690541612431161
0_+10,1,25,875.6610739680901,776.8202809947225,98.84079297336768,100,1.1592070266323162
0_+10,1,26,875.6610739680901,776.8202809947225,98.84079297336768,100,1.1592070266323162
0_+10,1,27,875.4567290267956,776.8301655546563,98.62656347213931,100,1.3734365278606901
0_+10,1,28,875.4567290267956,776.7721653321312,98.68456369466446,100,1.3154363053355382
0_+10,1,29,875.6165543799073,776.7729874627529,98.84356691715436,100,1.1564330828456377
0_+10,1,30,875.7046678400527,776.7729874627529,98.93168037729981,100,1.0683196227001872
0_+10,1,31,875.6269021411572,776.757464502614,98.86943763854322,100,1.1305623614567821
0_+10,1,32,875.6418738494447,776.7271667325053,98.91470711693933,100,1.0852928830606743
0_+10,1,33,876.0708327866951,776.6731770377285,99.3976557489666,100,0.6023442510334007
0_+10,1,34,876.0708327866951,776.6731770377285,99.3976557489666,100,0.6023442510334007
0_+10,1,35,875.8434544692224,776.6731857427673,99.1702687264551,100,0.8297312735448941
0_+10,1,36,875.6052635767433,776.7463252585434,98.85893831819988,100,1.1410616818001245
0_+10,1,37,875.5660480082364,776.7389793718978,98.8270686363386,100,1.1729313636614052
0_+10,1,38,875.5660480082364,776.7549649632975,98.81108304493887,100,1.1889169550611314
0_+10,1,39,875.8535017877729,776.7549649632975,99.09853682447533,100,0.9014631755246683
0_+10,1,40,875.8040166985817,776.7403777447074,99.06363895387426,100,0.9363610461257394
0_+10,1,41,875.8040166985817,776.8084837170896,98.99553298149203,100,1.0044670185079667
0_+10,1,42,875.7806399401078,776.8084837170896,98.97215622301815,100,1.0278437769818538
0_+10,1,43,875.8947747006125,776.8694835462751,99.02529115433742,100,0.9747088456625761
0_+10,1,44,875.7632135569378,776.8694835462751,98.8937300106627,100,1.1062699893373065
0_+10,1,45,875.5613187554018,776.8650435865795,98.69627516882224,100,1.3037248311777603
0_+10,1,46,875.5613187554018,776.8650435865795,98.69627516882224,100,1.3037248311777603
0_+10,1,47,875.7572996623458,776.8088375254823,98.94846213686344,100,1.0515378631365593
0_+10,1,48,875.805537363022,776.8047909856751,99.0007463773469,100,0.9992536226531001
0_+10,1,49,875.8591450525436,776.8208468658922,99.03829818665133,100,0.9617018133486681
0_+10,1,50,875.8591450525436,776.8208468658922,99.03829818665133,100,0.9617018133486681
0_+10,1,51,875.7507529986727,776.6582934601637,99.09245953850905,100,0.907540461490953
0_+10,1,52,875.8062015811224,776.8108823975497,98.99531918357275,100,1.0046808164272534
0_+10,1,53,875.8062015811224,776.7229048551609,99.08329672596153,100,0.9167032740384684
0_+10,1,54,875.696294876644,776.7229048551609,98.97339002148306,100,1.0266099785169445
0_+10,1,55,875.5433456746078,776.8952222875696,98.64812338703825,100,1.351876612961746
0_+10,1,56,875.5099978003935,776.5780764075072,98.93192139288635,100,1.068078607113648
0_+10,1,57,875.7748501812515,776.6435849205773,99.13126526067424,100,0.8687347393257596
0_+10,1,58,875.7748501812515,776.6435849205773,99.13126526067424,100,0.8687347393257596
0_+10,1,59,875.9011495568385,776.6774629387055,99.223686618133,100,0.7763133818669985
0_+10,1,60,875.7262329341802,776.6774629387055,99.04876999547469,100,0.9512300045253141
0_+10,1,61,875.8380135793021,776.7016203264326,99.13639325286954,100,0.8636067471304614
0_+10,1,62,875.8380135793021,776.7016203264326,99.13639325286954,100,0.8636067471304614
0_+10,1,63,875.759607695553,776.7973530246469,98.96225467090608,100,1.037745329093923
0_+10,1,64,875.759607695553,776.8561630013012,98.90344469425179,100,1.0965553057482111
