pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,1,1,887.9836094989366,787.6589793218192,100.32463017711746,100,0.3246301771174558
0_+10,1,2,887.9836094989366,787.6589793218192,100.32463017711746,100,0.3246301771174558
0_+10,1,3,887.99544991506,787.6309625624045,100.36448735265549,100,0.3644873526554875
0_+10,1,4,887.99544991506,787.6309625624045,100.36448735265549,100,0.3644873526554875
0_+10,1,5,887.9775740403865,787.673410172833,100.30416386755348,100,0.3041638675534841
0_+10,1,6,888.0433468701401,787.6373165308129,100.40603033932723,100,0.40603033932723065
0_+10,1,7,887.9520417629828,787.6752730898755,100.27676867310731,100,0.2767686731073127
0_+10,1,8,888.0119605629927,787.657857247333,100.3541033156597,100,0.35410331565969955
0_+10,1,9,888.1016157883342,787.6841012153286,100.41751457300563,100,0.4175145730056329
0_+10,1,10,888.1016157883342,787.6841012153286,100.41751457300563,100,0.4175145730056329
0_+10,1,11,888.048981689552,787.6675646204114,100.38141706914053,100,0.3814170691405252
0_+10,1,12,888.1118789950791,787.6675646204114,100.44431437466767,100,0.44431437466766965   
0_+10,1,13,888.0163113267796,787.6667352868787,100.34957603990085,100,0.3495760399008532
0_+10,1,14,888.0264366172946,787.6662518524264,100.36018476486822,100,0.3601847648682224
0_+10,1,15,888.0264366172946,787.6659576082744,100.3604790090202,100,0.3604790090201959
0_+10,1,16,888.0308989036868,787.7258702430242,100.30502866066251,100,0.305028660662515
0_+10,1,17,887.9944250996004,787.6869287654138,100.30749633418668,100,0.30749633418668054
0_+10,1,18,887.9944250996004,787.6869287654138,100.30749633418668,100,0.30749633418668054
0_+10,1,19,888.0125399367398,787.6496950082568,100.36284492848301,100,0.362844928483014
0_+10,1,20,888.0620678694086,787.7053267680369,100.35674110137165,100,0.3567411013716537
0_+10,1,21,888.0620678694086,787.7053267680369,100.35674110137165,100,0.3567411013716537
0_+10,1,22,887.9146520894055,787.630734395332,100.28391769407358,100,0.2839176940735797
0_+10,1,23,888.0346626556702,787.641997379755,100.39266527591519,100,0.39266527591519207
0_+10,1,24,888.0346626556702,787.641997379755,100.39266527591519,100,0.39266527591519207
0_+10,1,25,888.0072171449283,787.6391540435505,100.36806310137774,100,0.3680631013777429
0_+10,1,26,888.0072171449283,787.6391540435505,100.36806310137774,100,0.3680631013777429
0_+10,1,27,888.0089352272364,787.7207339540709,100.28820127316555,100,0.288201273165555
0_+10,1,28,888.0089352272364,787.6427712393481,100.36616398788829,100,0.3661639878882852
0_+10,1,29,888.0816744988323,787.6939358625913,100.38773863624101,100,0.3877386362410107
0_+10,1,30,887.9713472816002,787.6939358625913,100.2774114190089,100,0.27741141900889943
0_+10,1,31,888.0072422349944,787.6743539121989,100.3328883227955,100,0.3328883227954975
0_+10,1,32,888.059946092813,787.6807880629183,100.37915802989471,100,0.37915802989471104
0_+10,1,33,887.986275344974,787.6950249706927,100.29125037428139,100,0.29125037428138967
0_+10,1,34,887.986275344974,787.6950249706927,100.29125037428139,100,0.29125037428138967
0_+10,1,35,887.9620576628317,787.6863748656885,100.27568279714319,100,0.27568279714319033
0_+10,1,36,887.9977494169904,787.6714701498843,100.32627926710609,100,0.3262792671060879
0_+10,1,37,888.0387269771967,787.6422683023367,100.39645867486001,100,0.39645867486001407
0_+10,1,38,888.0387269771967,787.6550419298602,100.38368504733648,100,0.3836850473364848
0_+10,1,39,887.9875367573353,787.6550419298602,100.3324948274751,100,0.3324948274751023
0_+10,1,40,888.0018998424272,787.6777191905328,100.32418065189438,100,0.3241806518943804
0_+10,1,41,888.0018998424272,787.6641431845746,100.33775665785254,100,0.3377566578525375
0_+10,1,42,888.1120214892095,787.6641431845746,100.44787830463486,100,0.44787830463485534
0_+10,1,43,888.0835622228857,787.5812672570685,100.50229496581721,100,0.5022949658172138
0_+10,1,44,888.0529474503984,787.5812672570685,100.47168019332992,100,0.4716801933299166
0_+10,1,45,888.0052322515729,787.6334914526235,100.37174079894942,100,0.3717407989494177
0_+10,1,46,888.0052322515729,787.6334914526235,100.37174079894942,100,0.3717407989494177
0_+10,1,47,887.9937031061651,787.6797768562044,100.31392624996067,100,0.313926249960673
0_+10,1,48,888.0555951142079,787.6177655985803,100.43782951562764,100,0.43782951562764083
0_+10,1,49,888.0025262670711,787.666396033911,100.33613023316002,100,0.33613023316002
0_+10,1,50,888.0025262670711,787.666396033911,100.33613023316002,100,0.33613023316002
0_+10,1,51,888.0357003244914,787.6208589447654,100.414841379726,100,0.4148413797259991
0_+10,1,52,888.0520988011008,787.6623098416287,100.38978895947207,100,0.38978895947207093
0_+10,1,53,888.0520988011008,787.6711807850405,100.38091801606026,100,0.38091801606026365
0_+10,1,54,888.0311885772087,787.6711807850405,100.36000779216818,100,0.3600077921681759
0_+10,1,55,888.0159854398174,787.686281941053,100.32970349876439,100,0.3297034987643883
0_+10,1,56,888.0604055438572,787.6620749000488,100.39833064380844,100,0.3983306438084355
0_+10,1,57,888.1246506706195,787.6367190914158,100.48793157920375,100,0.48793157920374597
0_+10,1,58,888.1246506706195,787.6367190914158,100.48793157920375,100,0.48793157920374597
0_+10,1,59,888.0251708461253,787.606888827853,100.4182820182723,100,0.4182820182722935
0_+10,1,60,888.064693748406,787.606888827853,100.45780492055292,100,0.4578049205529169
0_+10,1,61,888.0719398514797,787.6809639059777,100.39097594550196,100,0.3909759455019639
0_+10,1,62,888.0719398514797,787.6809639059777,100.39097594550196,100,0.3909759455019639
0_+10,1,63,888.0392089867541,787.7042499535532,100.3349590332009,100,0.3349590332009029
0_+10,1,64,888.0392089867541,787.7133711176231,100.32583786913108,100,0.32583786913107815
0_+10,1,65,887.9951500853144,787.6808634532644,100.31428663205008,100,0.31428663205008434
0_+10,1,66,888.0775960187771,787.7070059117032,100.3705901070739,100,0.3705901070738946
0_+10,1,67,888.0801314926993,787.7070059117032,100.37312558099609,100,0.3731255809960885
0_+10,1,68,888.0716256212277,787.6709584824617,100.40066713876593,100,0.4006671387659253
0_+10,1,69,888.0408202770018,787.6662237887442,100.37459648825757,100,0.3745964882575663
0_+10,1,70,888.0408202770018,787.6662237887442,100.37459648825757,100,0.3745964882575663
0_+10,1,71,888.0859241044191,787.6725185908799,100.41340551353915,100,0.41340551353914634
0_+10,1,72,888.0862415831809,787.6958436050617,100.39039797811927,100,0.39039797811926746
0_+10,1,73,887.9607027223559,787.6194221890735,100.34128053328243,100,0.34128053328242913
0_+10,1,74,888.0126985923399,787.6194221890735,100.39327640326644,100,0.39327640326644087
0_+10,1,75,888.0126985923399,787.7171817159569,100.29551687638298,100,0.2955168763829761
0_+10,1,76,887.9907550486661,787.657285937158,100.33346911150807,100,0.3334691115080659
0_+10,1,77,887.9907550486661,787.6760026966227,100.31475235204334,100,0.3147523520433424
0_+10,1,78,888.0758554845414,787.6760026966227,100.39985278791869,100,0.3998527879186895
0_+10,1,79,888.034795011575,787.6619539699376,100.37284104163746,100,0.37284104163745724
0_+10,1,80,888.0321261668408,787.6602360674938,100.37189009934707,100,0.37189009934706974
0_+10,1,81,887.9886151934663,787.5936166487004,100.39499854476594,100,0.3949985447659401
0_+10,1,82,887.9886151934663,787.6827972851318,100.30581790833457,100,0.3058179083345749
0_+10,1,83,887.9879343929173,787.6827972851318,100.30513710778553,100,0.3051371077855265
0_+10,1,84,888.0790711185632,787.630152554262,100.44891856430115,100,0.4489185643011524
0_+10,1,85,888.0790711185632,787.6700255201159,100.40904559844728,100,0.4090455984472783
0_+10,1,86,888.0843751115825,787.6700255201159,100.41434959146659,100,0.4143495914665891
